target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1455.59	63.6363	8.60628
XM_026478080.3	6046	5892.59	2.47486	0.0826787
XM_026478083.3	2509	2355.59	0	0
XM_026478085.3	2434	2280.59	0	0
XM_026478086.3	2425	2271.59	148.313	12.8528
XM_026478087.3	2288	2134.59	18.4008	1.69696
XM_026478088.3	2224	2070.59	23.2865	2.2139
XM_026478089.3	3098	2944.59	98.3676	6.57623
XM_026478090.3	1357	1203.59	7.09571	1.16056
XM_026478091.3	1312	1158.59	0	0
XM_026478092.3	1300	1146.59	50.9043	8.73968
XM_026478094.3	1697	1543.59	9.64733	1.23034
XM_026478095.3	3596	3442.59	47.0885	2.69264
XM_026478097.3	993	839.591	1.47645	0.346179
XM_026478098.3	10841	10687.6	2.92291	0.0538375
XM_026478099.3	2079	1925.59	0.286682	0.029308
XM_026478100.3	7847	7693.59	200.234	5.12341
XM_026478101.3	6255	6101.59	42.7656	1.37975
XM_026478102.3	4900	4746.59	14.1411	0.586477
XM_026478103.3	1628	1474.59	9.55426e-06	1.27548e-06
XM_026478105.3	4341	4187.59	49	2.30346
XM_026478106.1	1359	1205.59	0	0
XM_026478107.1	1359	1205.59	0	0
XM_026478108.3	4405	4251.59	37.8081	1.75058
XM_026478109.3	4078	3924.59	21.7763	1.09229
XM_026478110.3	4041	3887.59	17.4156	0.881876
XM_026478114.3	3144	2990.59	0	0
XM_026478122.3	5800	5646.59	0	0
XM_026478124.3	5185	5031.59	1.13812	0.0445279
XM_026478126.3	4573	4419.59	57.0286	2.54016
XM_026478127.3	1566	1412.59	269	37.4874
XM_026478128.3	1294	1140.59	264	45.5642
XM_026478129.3	1343	1189.59	75	12.4112
XM_026478130.3	1386	1232.59	0	0
XM_026478131.3	1762	1608.59	9.08843	1.11223
XM_026478132.3	1759	1605.59	36.9116	4.52561
XM_026478133.2	3175	3021.59	6714.7	437.462
XM_026478135.3	3662	3508.59	23	1.29046
XM_026478136.3	3554	3400.59	325	18.8139
XM_026478139.3	2722	2568.59	14.8771	1.14018
XM_026478140.3	2348	2194.59	33.2099	2.97895
XM_026478142.3	4236	4082.59	20.261	0.976955
XM_026478143.3	338	188.15	100	104.628
XM_026478144.3	8601	8447.59	1.77398	0.0413396
XM_026478146.3	3833	3679.59	13.5904	0.727077
XM_026478150.3	2311	2157.59	138	12.591
XM_026478151.3	6755	6601.59	0	0
XM_026478153.3	7000	6846.59	5	0.143762
XM_026478159.3	2152	1998.59	0	0
XM_026478163.3	9279	9125.59	0	0
XM_026478165.3	2434	2280.59	491.994	42.468
XM_026478167.3	1687	1533.59	0	0
XM_026478168.3	2138	1984.59	8	0.793539
XM_026478169.3	9315	9161.59	1241.67	26.6799
XM_026478170.3	3852	3698.59	19.1539	1.01946
XM_026478173.3	4464	4310.59	4.00914	0.18309
XM_026478174.3	5197	5043.59	4.72732	0.184512
XM_026478175.3	8598	8444.59	279.343	6.51191
XM_026478176.3	11857	11703.6	45.4179	0.763937
XM_026478179.3	8427	8273.59	934.29	22.2299
XM_026478180.3	843	689.591	0	0
XM_026478181.3	2987	2833.59	80	5.55779
XM_026478182.3	8430	8276.59	448.368	10.6643
XM_026478183.3	10477	10323.6	178	3.39421
XM_026478185.3	3015	2861.59	0	0
XM_026478189.3	2391	2237.59	146.181	12.8605
XM_026478191.3	6588	6434.59	227.305	6.95404
XM_026478192.3	6767	6613.59	0	0
XM_026478193.3	6597	6443.59	1.59054e-05	4.85921e-07
XM_026478194.3	6585	6431.59	338.981	10.3754
XM_026478195.3	5023	4869.59	18.5744	0.750883
XM_026478196.3	6484	6330.59	0	0
XM_026478199.3	4589	4435.59	720.063	31.9572
XM_026478200.3	4000	3846.59	100.94	5.16578
XM_026478202.3	21305	21151.6	5.24019e-08	4.87701e-10
XM_026478203.3	4061	3907.59	43.0089	2.1667
XM_026478206.2	939	785.591	1	0.250584
XM_026478207.3	1835	1681.59	0	0
XM_026478208.3	1465	1311.59	5064	760.055
XM_026478212.3	5507	5353.59	2	0.0735418
XM_026478213.3	1113	959.591	0	0
XM_026478215.3	1955	1801.59	0	0
XM_026478216.3	3721	3567.59	52.8743	2.91756
XM_026478217.3	1659	1505.59	43.635	5.70528
XM_026478218.3	4039	3885.59	21	1.06393
XM_026478219.3	6333	6179.59	350	11.1496
XM_026478220.3	4558	4404.59	0	0
XM_026478221.1	1824	1670.59	0	0
XM_026478223.3	7229	7075.59	264.695	7.36432
XM_026478225.3	4249	4095.59	13.8077	0.663675
XM_026478230.1	882	728.591	1	0.270188
XM_026478231.3	2913	2759.59	0	0
XM_026478232.3	4392	4238.59	564.983	26.24
XM_026478237.3	4071	3917.59	14.1403	0.710541
XM_026478240.3	2392	2238.59	10.67	0.938297
XM_026478241.3	4790	4636.59	2.54719	0.108146
XM_026478243.3	7888	7734.59	12.4354	0.316499
XM_026478244.3	2279	2125.59	2.69214	0.249326
XM_026478256.3	15206	15052.6	0.000764128	9.9932e-06
XM_026478257.3	2506	2352.59	0	0
XM_026478258.3	2525	2371.59	0	0
XM_026478259.3	6504	6350.59	304.005	9.42359
XM_026478260.3	2509	2355.59	0	0
XM_026478261.3	2458	2304.59	139.469	11.9134
XM_026478262.3	3255	3101.59	12.5157	0.794366
XM_026478263.3	2242	2088.59	2	0.188506
XM_026478265.3	5688	5534.59	17.9326	0.637835
XM_026478267.3	6675	6521.59	0	0
XM_026478270.3	1033	879.591	77	17.2329
XM_026478271.3	1861	1707.59	159.223	18.3557
XM_026478272.3	4162	4008.59	122.272	6.00459
XM_026478273.3	930	776.591	2561	649.182
XM_026478274.3	1809	1655.59	4	0.475616
XM_026478276.3	5005	4851.59	0	0
XM_026478278.3	5047	4893.59	0	0
XM_026478279.3	5035	4881.59	0	0
XM_026478280.3	4894	4740.59	10.2467	0.425503
XM_026478282.3	8406	8252.59	18.7025	0.446128
XM_026478283.3	8394	8240.59	9.02884e-08	2.15687e-09
XM_026478284.3	8294	8140.59	93.401	2.25863
XM_026478285.3	8279	8125.59	5.22754e-07	1.26646e-08
XM_026478290.3	4690	4536.59	508	22.0437
XM_026478291.3	7074	6920.59	166.2	4.72757
XM_026478292.3	6933	6779.59	9.7999	0.284556
XM_026478293.3	6961	6807.59	0	0
XM_026478295.3	6712	6558.59	0	0
XM_026478296.3	9714	9560.59	0	0
XM_026478297.3	4637	4483.59	6.00553e-05	2.63679e-06
XM_026478298.3	4580	4426.59	29.4105	1.30792
XM_026478299.3	9699	9545.59	0	0
XM_026478300.3	4622	4468.59	0	0
XM_026478303.3	9076	8922.59	2.33584	0.0515349
XM_026478308.3	9177	9023.59	205.55	4.48423
XM_026478309.3	1777	1623.59	124	15.0347
XM_026478311.3	1579	1425.59	122.335	16.8929
XM_026478312.3	2647	2493.59	52	4.10514
XM_026478313.3	513	359.908	0	0
XM_026478317.3	5855	5701.59	118.854	4.10364
XM_026478318.3	3547	3393.59	47	2.72639
XM_026478320.3	8741	8587.59	0	0
XM_026478321.3	3804	3650.59	1226	66.1115
XM_026478322.3	2471	2317.59	19.2267	1.63312
XM_026478323.3	2809	2655.59	0	0
XM_026478326.3	5940	5786.59	5.97017	0.203102
XM_026478327.3	2519	2365.59	0	0
XM_026478328.3	9165	9011.59	0	0
XM_026478329.3	6861	6707.59	0	0
XM_026478331.3	1885	1731.59	39.4404	4.48379
XM_026478335.3	2818	2664.59	231	17.066
XM_026478337.3	3820	3666.59	0	0
XM_026478339.3	11121	10967.6	83.6418	1.50128
XM_026478340.3	11278	11124.6	3.99456e-05	7.06862e-07
XM_026478341.3	6045	5891.59	0	0
XM_026478347.3	3434	3280.59	0	0
XM_026478348.3	907	753.591	333	86.9877
XM_026478350.3	3299	3145.59	28.5581	1.78721
XM_026478352.3	1414	1260.59	39.9928	6.24535
XM_026478353.3	1391	1237.59	0.0072407	0.00115174
XM_026478355.3	1613	1459.59	70.3864	9.49308
XM_026478356.3	1219	1065.59	29.6136	5.4708
XM_026478358.3	1976	1822.59	47.6555	5.14722
XM_026478361.3	335	185.244	1.18807	1.26255
XM_026478362.3	1440	1286.59	9759	1493.19
XM_026478365.3	1806	1652.59	0	0
XM_026478366.3	2953	2799.59	27	1.89854
XM_026478368.3	1990	1836.59	27.2415	2.9199
XM_026478371.3	2783	2629.59	110.413	8.26572
XM_026478372.3	2782	2628.59	47.5872	3.56383
XM_026478373.3	3090	2936.59	0	0
XM_026478374.3	2298	2144.59	0	0
XM_026478375.3	2175	2021.59	0	0
XM_026478376.3	1983	1829.59	0	0
XM_026478377.2	1899	1745.59	0	0
XM_026478378.2	1782	1628.59	0	0
XM_026478379.3	1764	1610.59	0	0
XM_026478380.3	605	451.701	8	3.48649
XM_026478382.3	1944	1790.59	51.9048	5.70638
XM_026478383.3	1914	1760.59	0	0
XM_026478386.3	2059	1905.59	76.3166	7.88386
XM_026478387.3	5606	5452.59	0	0
XM_026478388.3	5437	5283.59	0	0
XM_026478389.3	4186	4032.59	27	1.31804
XM_026478391.3	7161	7007.59	801	22.5016
XM_026478392.3	4871	4717.59	681	28.4169
XM_026478393.3	2107	1953.59	2.46666	0.248556
XM_026478394.3	3354	3200.59	7.33454	0.45112
XM_026478396.3	1980	1826.59	215	23.1711
XM_026478397.3	1470	1316.59	6	0.897119
XM_026478400.3	5098	4944.59	116.275	4.62918
XM_026478401.3	4206	4052.59	3	0.145726
XM_026478403.2	1315	1161.59	0.533345	0.0903866
XM_026478413.3	527	373.908	5279	2779.31
XM_026478414.3	5797	5643.59	0	0
XM_026478415.3	5787	5633.59	41.6199	1.45434
XM_026478417.3	5782	5628.59	0	0
XM_026478418.3	5772	5618.59	12.1211	0.424682
XM_026478419.3	5766	5612.59	0	0
XM_026478420.3	5757	5603.59	163.5	5.74381
XM_026478421.3	5752	5598.59	0	0
XM_026478422.3	5742	5588.59	48.3681	1.70375
XM_026478423.3	14639	14485.6	84.1625	1.14375
XM_026478424.3	12168	12014.6	339.837	5.56816
XM_026478426.3	2725	2571.59	333	25.4913
XM_026478427.3	3132	2978.59	60.9249	4.02656
XM_026478429.3	2934	2780.59	0	0
XM_026478431.2	1706	1552.59	0	0
XM_026478432.3	4236	4082.59	156.554	7.54878
XM_026478433.3	9958	9804.59	8	0.160624
XM_026478435.3	11864	11710.6	0	0
XM_026478436.3	11736	11582.6	0	0
XM_026478437.2	1170	1016.59	0	0
XM_026478438.3	3358	3204.59	36	2.21146
XM_026478440.3	11861	11707.6	208.359	3.50343
XM_026478443.3	1892	1738.59	42	4.75556
XM_026478445.2	996	842.591	12	2.80359
XM_026478446.3	8351	8197.59	0	0
XM_026478448.3	8322	8168.59	4.37637	0.105467
XM_026478449.3	8343	8189.59	0	0
XM_026478450.3	8347	8193.59	17.334	0.416462
XM_026478451.3	9211	9057.59	0	0
XM_026478452.3	9208	9054.59	25.6216	0.55704
XM_026478453.3	2394	2240.59	146.221	12.8468
XM_026478454.3	2401	2247.59	5035.78	441.061
XM_026478455.2	4157	4003.59	11	0.54087
XM_026478456.3	3058	2904.59	377.687	25.5974
XM_026478458.3	18169	18015.6	372.539	4.07074
XM_026478459.3	17911	17757.6	0	0
