target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1484.12	289.002	102.067
XM_026478080.3	6046	5921.12	4.47308	0.395965
XM_026478083.3	2509	2384.12	0	0
XM_026478085.3	2434	2309.12	9	2.04291
XM_026478086.3	2425	2300.12	27.6956	6.31122
XM_026478087.3	2288	2163.12	12.3044	2.9815
XM_026478088.3	2224	2099.12	0	0
XM_026478089.3	3098	2973.12	47.8055	8.4279
XM_026478090.3	1357	1232.12	0	0
XM_026478091.3	1312	1187.12	13.9264	6.1489
XM_026478092.3	1300	1175.12	37.0736	16.5362
XM_026478094.3	1697	1572.12	17.49	5.83118
XM_026478095.3	3596	3471.12	18.379	2.77527
XM_026478097.3	993	868.123	0	0
XM_026478098.3	10841	10716.1	14.8988	0.728734
XM_026478099.3	2079	1954.12	0.077938	0.0209051
XM_026478100.3	7847	7722.12	162	10.9959
XM_026478101.3	6255	6130.12	0	0
XM_026478102.3	4900	4775.12	15.4385	1.69463
XM_026478103.3	1628	1503.12	1.91731e-06	6.68577e-07
XM_026478105.3	4341	4216.12	9	1.11888
XM_026478106.1	1359	1234.12	0	0
XM_026478107.1	1359	1234.12	0	0
XM_026478108.3	4405	4280.12	22	2.69414
XM_026478109.3	4078	3953.12	0	0
XM_026478110.3	4041	3916.12	0	0
XM_026478114.3	3144	3019.12	0	0
XM_026478122.3	5800	5675.12	0	0
XM_026478124.3	5185	5060.12	13.4992	1.39831
XM_026478126.3	4573	4448.12	230.822	27.1991
XM_026478127.3	1566	1441.12	53	19.2765
XM_026478128.3	1294	1169.12	78.6735	35.2714
XM_026478129.3	1343	1218.12	42	18.0723
XM_026478130.3	1386	1261.12	0	0
XM_026478131.3	1762	1637.12	0	0
XM_026478132.3	1759	1634.12	0	0
XM_026478133.2	3175	3050.12	4729.66	812.768
XM_026478135.3	3662	3537.12	33	4.8901
XM_026478136.3	3554	3429.12	240	36.6845
XM_026478139.3	2722	2597.12	39.3178	7.93508
XM_026478140.3	2348	2223.12	0	0
XM_026478142.3	4236	4111.12	12.8288	1.63561
XM_026478143.3	338	213.527	28	68.732
