target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1481.4	1727.47	553.058
XM_026478080.3	6046	5918.4	4.43667	0.355537
XM_026478083.3	2509	2381.4	16.3432	3.25489
XM_026478085.3	2434	2306.4	10.6568	2.19142
XM_026478086.3	2425	2297.4	30.6412	6.32561
XM_026478087.3	2288	2160.4	9.79718	2.1508
XM_026478088.3	2224	2096.4	15.5616	3.52057
XM_026478089.3	3098	2970.4	47.2308	7.54124
XM_026478090.3	1357	1229.4	5.07053	1.95611
XM_026478091.3	1312	1184.4	0	0
XM_026478092.3	1300	1172.4	37.9295	15.3438
XM_026478094.3	1697	1569.4	12.5814	3.80215
XM_026478095.3	3596	3468.4	39.418	5.39011
XM_026478097.3	993	865.401	0	0
XM_026478098.3	10841	10713.4	5.09158	0.225402
XM_026478099.3	2079	1951.4	2.72208	0.661587
XM_026478100.3	7847	7719.4	138.811	8.5285
XM_026478101.3	6255	6127.4	20.1893	1.56271
XM_026478102.3	4900	4772.4	15.7464	1.56487
XM_026478103.3	1628	1500.4	24.2536	7.66658
XM_026478105.3	4341	4213.4	12	1.35077
XM_026478106.1	1359	1231.4	0	0
XM_026478107.1	1359	1231.4	0	0
XM_026478108.3	4405	4277.4	8.71753	0.966599
XM_026478109.3	4078	3950.4	48.2737	5.79565
XM_026478110.3	4041	3913.4	19.0088	2.30374
XM_026478114.3	3144	3016.4	18.3716	2.88862
XM_026478122.3	5800	5672.4	0	0
XM_026478124.3	5185	5057.4	23.7861	2.23063
XM_026478126.3	4573	4445.4	368.592	39.3249
XM_026478127.3	1566	1438.4	102	33.632
XM_026478128.3	1294	1166.4	103.857	42.2299
XM_026478129.3	1343	1215.4	56.1593	21.9147
XM_026478130.3	1386	1258.4	21.8407	8.23151
XM_026478131.3	1762	1634.4	0.234423	0.0680259
XM_026478132.3	1759	1631.4	1.76558	0.513286
XM_026478133.2	3175	3047.4	4170.31	649.04
XM_026478135.3	3662	3534.4	18	2.4154
XM_026478136.3	3554	3426.4	135	18.6865
XM_026478139.3	2722	2594.4	51.0934	9.34029
XM_026478140.3	2348	2220.4	0	0
XM_026478142.3	4236	4108.4	0	0
XM_026478143.3	338	211.416	23	51.5969
XM_026478144.3	8601	8473.4	25.5631	1.43083
XM_026478146.3	3833	3705.4	0	0
XM_026478150.3	2311	2183.4	60	13.0332
XM_026478151.3	6755	6627.4	3.74013	0.267656
XM_026478153.3	7000	6872.4	0	0
XM_026478159.3	2152	2024.4	1	0.234281
XM_026478163.3	9279	9151.4	1.64352	0.0851765
XM_026478165.3	2434	2306.4	569.572	117.124
XM_026478167.3	1687	1559.4	0	0
XM_026478168.3	2138	2010.4	6	1.41547
XM_026478169.3	9315	9187.4	385.575	19.9044
XM_026478170.3	3852	3724.4	6.72716	0.85666
XM_026478173.3	4464	4336.4	2.06051	0.22536
XM_026478174.3	5197	5069.4	11.9873	1.1215
XM_026478175.3	8598	8470.4	29.3471	1.64321
XM_026478176.3	11857	11729.4	48.1904	1.94858
XM_026478179.3	8427	8299.4	352.781	20.1601
XM_026478180.3	843	715.473	0	0
XM_026478181.3	2987	2859.4	61	10.1178
