target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1470.11	188	15.3261
XM_026478080.3	6046	5907.11	0	0
XM_026478083.3	2509	2370.11	0	0
XM_026478085.3	2434	2295.11	0	0
XM_026478086.3	2425	2286.11	375.163	19.6674
XM_026478087.3	2288	2149.11	26.8825	1.49912
XM_026478088.3	2224	2085.11	66.9548	3.84837
XM_026478089.3	3098	2959.11	174.748	7.07744
XM_026478090.3	1357	1218.11	6.94423	0.683223
XM_026478091.3	1312	1173.11	0	0
XM_026478092.3	1300	1161.11	98.0558	10.121
XM_026478094.3	1697	1558.11	0.00738377	0.000567943
XM_026478095.3	3596	3457.11	176.52	6.11936
XM_026478097.3	993	854.111	20.8957	2.93202
XM_026478098.3	10841	10702.1	4.26719	0.0477856
XM_026478099.3	2079	1940.11	0	0
XM_026478100.3	7847	7708.11	449.282	6.98548
XM_026478101.3	6255	6116.11	143.718	2.81618
XM_026478102.3	4900	4761.11	44.5057	1.12029
XM_026478103.3	1628	1489.11	28.433	2.28834
XM_026478105.3	4341	4202.11	81	2.31016
XM_026478106.1	1359	1220.11	0	0
XM_026478107.1	1359	1220.11	0	0
XM_026478108.3	4405	4266.11	69.5175	1.95293
XM_026478109.3	4078	3939.11	52.1512	1.58668
XM_026478110.3	4041	3902.11	33.3313	1.02371
XM_026478114.3	3144	3005.11	10.2135	0.407321
XM_026478122.3	5800	5661.11	0	0
XM_026478124.3	5185	5046.11	3.52733	0.083775
XM_026478126.3	4573	4434.11	31.2702	0.845179
XM_026478127.3	1566	1427.11	379	31.8278
XM_026478128.3	1294	1155.11	568.009	58.9328
XM_026478129.3	1343	1204.11	97.1238	9.66682
XM_026478130.3	1386	1247.11	53.8762	5.17746
XM_026478131.3	1762	1623.11	21.5728	1.59288
XM_026478132.3	1759	1620.11	22.4272	1.65903
XM_026478133.2	3175	3036.11	21990	868.024
XM_026478135.3	3662	3523.11	29	0.986499
XM_026478136.3	3554	3415.11	794	27.8638
XM_026478139.3	2722	2583.11	73.8888	3.42816
XM_026478140.3	2348	2209.11	70.9941	3.8515
XM_026478142.3	4236	4097.11	25.5377	0.747014
XM_026478143.3	338	203.186	338	199.364
XM_026478144.3	8601	8462.11	0	0
XM_026478146.3	3833	3694.11	94.3554	3.06113
XM_026478150.3	2311	2172.11	321	17.7112
XM_026478151.3	6755	6616.11	0	0
XM_026478153.3	7000	6861.11	0	0
XM_026478159.3	2152	2013.11	0	0
XM_026478163.3	9279	9140.11	6.3569	0.0833526
XM_026478165.3	2434	2295.11	813.208	42.4642
XM_026478167.3	1687	1548.11	0	0
XM_026478168.3	2138	1999.11	23	1.37885
XM_026478169.3	9315	9176.11	3011	39.3258
XM_026478170.3	3852	3713.11	34.2142	1.10432
XM_026478173.3	4464	4325.11	20.1013	0.556996
XM_026478174.3	5197	5058.11	12.2936	0.291283
XM_026478175.3	8598	8459.11	631.011	8.94
XM_026478176.3	11857	11718.1	104.798	1.07182
XM_026478179.3	8427	8288.11	2079.27	30.0663
XM_026478180.3	843	704.111	0	0
XM_026478181.3	2987	2848.11	199	8.37377
XM_026478182.3	8430	8291.11	286.876	4.14674
XM_026478183.3	10477	10338.1	384	4.45159
XM_026478185.3	3015	2876.11	0	0
XM_026478189.3	2391	2252.11	209.849	11.1672
XM_026478191.3	6588	6449.11	143.873	2.67365
XM_026478192.3	6767	6628.11	0	0
XM_026478193.3	6597	6458.11	8.39551	0.1558
XM_026478194.3	6585	6446.11	564.957	10.5037
XM_026478195.3	5023	4884.11	39.4123	0.9671
XM_026478196.3	6484	6345.11	0	0
XM_026478199.3	4589	4450.11	2288.53	61.6326
XM_026478200.3	4000	3861.11	208	6.45619
XM_026478202.3	21305	21166.1	0	0
XM_026478203.3	4061	3922.11	190.756	5.82887
XM_026478206.2	939	800.111	0	0
XM_026478207.3	1835	1696.11	2	0.141319
XM_026478208.3	1465	1326.11	12009	1085.31
XM_026478212.3	5507	5368.11	1	0.0223256
XM_026478213.3	1113	974.111	0	0
XM_026478215.3	1955	1816.11	5.0361	0.332336
XM_026478216.3	3721	3582.11	0	0
XM_026478217.3	1659	1520.11	0	0
XM_026478218.3	4039	3900.11	20.4125	0.627254
XM_026478219.3	6333	6194.11	673	13.0215
XM_026478220.3	4558	4419.11	0	0
XM_026478221.1	1824	1685.11	0	0
XM_026478223.3	7229	7090.11	841.201	14.2191
XM_026478225.3	4249	4110.11	146.24	4.26419
XM_026478230.1	882	743.111	0	0
XM_026478231.3	2913	2774.11	4.20652	0.181729
XM_026478232.3	4392	4253.11	1132.33	31.9075
XM_026478237.3	4071	3932.11	0	0
XM_026478240.3	2392	2253.11	20.5169	1.09133
XM_026478241.3	4790	4651.11	5.03747	0.129802
XM_026478243.3	7888	7749.11	8.73808	0.135142
XM_026478244.3	2279	2140.11	7.42094	0.415573
XM_026478256.3	15206	15067.1	0.0260691	0.000207358
XM_026478257.3	2506	2367.11	12.2331	0.619361
XM_026478258.3	2525	2386.11	55.6266	2.79394
XM_026478259.3	6504	6365.11	1052.92	19.8251
XM_026478260.3	2509	2370.11	0	0
XM_026478261.3	2458	2319.11	192.213	9.93311
XM_026478262.3	3255	3116.11	5.48661	0.211016
XM_026478263.3	2242	2103.11	10	0.569853
XM_026478265.3	5688	5549.11	26.4728	0.571744
XM_026478267.3	6675	6536.11	82.0376	1.50424
XM_026478270.3	1033	894.111	115	15.4146
XM_026478271.3	1861	1722.11	380.811	26.5017
XM_026478272.3	4162	4023.11	268.172	7.98869
XM_026478273.3	930	791.111	8902	1348.57
XM_026478274.3	1809	1670.11	12.7058	0.911762
XM_026478276.3	5005	4866.11	1.64685e-05	4.05598e-07
XM_026478278.3	5047	4908.11	0.00105875	2.58525e-05
XM_026478279.3	5035	4896.11	0	0
XM_026478280.3	4894	4755.11	0.076048	0.00191669
XM_026478282.3	8406	8267.11	0.058301	0.000845176
XM_026478283.3	8394	8255.11	0	0
XM_026478284.3	8294	8155.11	9.37771	0.137814
XM_026478285.3	8279	8140.11	0	0
XM_026478290.3	4690	4551.11	1052	27.7028
XM_026478291.3	7074	6935.11	232.675	4.02089
XM_026478292.3	6933	6794.11	11.656	0.205609
XM_026478293.3	6961	6822.11	67.5228	1.1862
XM_026478295.3	6712	6573.11	5.14585	0.0938233
XM_026478296.3	9714	9575.11	0	0
XM_026478297.3	4637	4498.11	5.56463e-05	1.48262e-06
XM_026478298.3	4580	4441.11	54.0254	1.45791
XM_026478299.3	9699	9560.11	0	0
XM_026478300.3	4622	4483.11	0.00205881	5.5038e-05
XM_026478303.3	9076	8937.11	4.62492	0.06202
XM_026478308.3	9177	9038.11	463.92	6.15163
XM_026478309.3	1777	1638.11	276	20.1925
XM_026478311.3	1579	1440.11	180.193	14.9957
XM_026478312.3	2647	2508.11	165	7.88428
XM_026478313.3	513	374.281	0	0
XM_026478317.3	5855	5716.11	132.928	2.78703
XM_026478318.3	3547	3408.11	88	3.09452
XM_026478320.3	8741	8602.11	0	0
XM_026478321.3	3804	3665.11	1734	56.7005
XM_026478322.3	2471	2332.11	0	0
XM_026478323.3	2809	2670.11	19.8643	0.891597
XM_026478326.3	5940	5801.11	65.2692	1.34841
XM_026478327.3	2519	2380.11	0	0
XM_026478328.3	9165	9026.11	0	0
XM_026478329.3	6861	6722.11	0	0
XM_026478331.3	1885	1746.11	179.841	12.3436
XM_026478335.3	2818	2679.11	609	27.2428
XM_026478337.3	3820	3681.11	1	0.0325571
XM_026478339.3	11121	10982.1	22.9856	0.250839
XM_026478340.3	11278	11139.1	40.1406	0.431875
XM_026478341.3	6045	5906.11	46.586	0.94532
XM_026478347.3	3434	3295.11	0	0
XM_026478348.3	907	768.111	714	111.404
XM_026478350.3	3299	3160.11	76.3067	2.89391
XM_026478352.3	1414	1275.11	27.6516	2.59895
XM_026478353.3	1391	1252.11	72.3484	6.92486
XM_026478355.3	1613	1474.11	183.329	14.9048
XM_026478356.3	1219	1080.11	98.6714	10.9483
XM_026478358.3	1976	1837.11	43.5134	2.83865
XM_026478361.3	335	200.35	3.10755	1.85889
XM_026478362.3	1440	1301.11	31101	2864.74
XM_026478365.3	1806	1667.11	0	0
XM_026478366.3	2953	2814.11	57	2.4275
XM_026478368.3	1990	1851.11	25.9581	1.6806
XM_026478371.3	2783	2644.11	204.545	9.27115
XM_026478372.3	2782	2643.11	185.455	8.40908
XM_026478373.3	3090	2951.11	0	0
XM_026478374.3	2298	2159.11	0	0
XM_026478375.3	2175	2036.11	0	0
XM_026478376.3	1983	1844.11	0	0
XM_026478377.2	1899	1760.11	0	0
XM_026478378.2	1782	1643.11	0	0
XM_026478379.3	1764	1625.11	0	0
XM_026478380.3	605	466.164	12	3.08509
XM_026478382.3	1944	1805.11	69.7096	4.62822
XM_026478383.3	1914	1775.11	27.8987	1.88358
XM_026478386.3	2059	1920.11	109.115	6.81054
XM_026478387.3	5606	5467.11	0	0
XM_026478388.3	5437	5298.11	0.00142962	3.23388e-05
XM_026478389.3	4186	4047.11	53	1.56948
XM_026478391.3	7161	7022.11	1528	26.0784
XM_026478392.3	4871	4732.11	2609	66.0761
XM_026478393.3	2107	1968.11	4.96998	0.302642
XM_026478394.3	3354	3215.11	8.13203	0.303129
XM_026478396.3	1980	1841.11	440	28.6416
XM_026478397.3	1470	1331.11	13	1.17045
XM_026478400.3	5098	4959.11	204.531	4.94289
XM_026478401.3	4206	4067.11	3	0.0884016
XM_026478403.2	1315	1176.11	1.03002	0.10496
XM_026478413.3	527	388.243	14625	4514.58
XM_026478414.3	5797	5658.11	4.06691	0.0861427
XM_026478415.3	5787	5648.11	44.518	0.944621
XM_026478417.3	5782	5643.11	0.000151539	3.21833e-06
XM_026478418.3	5772	5633.11	13.4727	0.286636
XM_026478419.3	5766	5627.11	39.3513	0.838106
XM_026478420.3	5757	5618.11	341.224	7.27904
XM_026478421.3	5752	5613.11	0.00121284	2.58955e-05
XM_026478422.3	5742	5603.11	106.642	2.28099
XM_026478423.3	14639	14500.1	83.5807	0.690811
XM_026478424.3	12168	12029.1	710.419	7.07793
XM_026478426.3	2725	2586.11	782	36.2397
XM_026478427.3	3132	2993.11	215.181	8.61603
XM_026478429.3	2934	2795.11	0	0
XM_026478431.2	1706	1567.11	0	0
XM_026478432.3	4236	4097.11	317.223	9.27924
XM_026478433.3	9958	9819.11	8	0.0976434
XM_026478435.3	11864	11725.1	0.445206	0.0045506
XM_026478436.3	11736	11597.1	75.4698	0.779917
XM_026478437.2	1170	1031.11	0	0
XM_026478438.3	3358	3219.11	30	1.11689
XM_026478440.3	11861	11722.1	238.595	2.43938
XM_026478443.3	1892	1753.11	76	5.19552
XM_026478445.2	996	857.111	22	3.07617
XM_026478446.3	8351	8212.11	0	0
XM_026478448.3	8322	8183.11	14.6919	0.215171
XM_026478449.3	8343	8204.11	0	0
XM_026478450.3	8347	8208.11	30.7736	0.449324
XM_026478451.3	9211	9072.11	0	0
XM_026478452.3	9208	9069.11	41.3916	0.546982
XM_026478453.3	2394	2255.11	331.601	17.6227
XM_026478454.3	2401	2262.11	12578.4	666.402
XM_026478455.2	4157	4018.11	21	0.626358
XM_026478456.3	3058	2919.11	852.388	34.9954
XM_026478458.3	18169	18030.1	576.372	3.83115
XM_026478459.3	17911	17772.1	0	0
XM_026478460.3	2874	2735.11	22.5824	0.989509
XM_026478461.3	5383	5244.11	552	12.6151
XM_026478462.3	2452	2313.11	333.257	17.2666
XM_026478463.3	6859	6720.11	963.432	17.1818
XM_026478464.3	7383	7244.11	80.5679	1.33291
XM_026478465.3	7567	7428.11	37.7458	0.608996
XM_026478466.3	7394	7255.11	28.8167	0.476021
XM_026478467.3	7382	7243.11	9.71713	0.160782
XM_026478468.3	7283	7144.11	1.99406e-06	3.34515e-08
XM_026478469.3	7190	7051.11	2.5937e-06	4.40847e-08
XM_026478470.3	7223	7084.11	1.11275e-05	1.88251e-07
XM_026478471.3	3606	3467.11	0	0
XM_026478472.3	789	650.111	0	0
XM_026478473.3	1807	1668.11	2	0.143691
XM_026478474.3	705	566.111	0	0
XM_026478476.3	2229	2090.11	82.8295	4.74942
XM_026478478.3	2422	2283.11	548	28.7659
XM_026478479.3	3922	3783.11	40.0886	1.26998
XM_026478480.3	3897	3758.11	94.5168	3.01415
XM_026478481.3	3784	3645.11	11.7739	0.38711
XM_026478482.3	3759	3620.11	0	0
XM_026478483.3	6695	6556.11	0.00841083	0.000153751
XM_026478485.3	6655	6516.11	6.27981	0.1155
XM_026478492.3	5348	5209.11	10.4182	0.239693
XM_026478494.3	29744	29605.1	707.202	2.86287
XM_026478495.3	4099	3960.11	0	0
XM_026478496.3	4071	3932.11	0	0
XM_026478508.2	1563	1424.11	0	0
XM_026478509.3	3378	3239.11	101	3.73698
XM_026478510.3	1249	1110.11	159	17.1655
XM_026478514.3	4197	4058.11	193	5.69978
XM_026478515.3	1793	1654.11	269.184	19.5034
XM_026478517.3	3331	3192.11	217.109	8.15125
XM_026478518.3	3328	3189.11	132.854	4.99262
XM_026478521.3	2895	2756.11	80.9223	3.51882
XM_026478522.3	804	665.111	126.298	22.7576
XM_026478524.3	2946	2807.11	76.9885	3.28693
XM_026478527.3	2690	2551.11	7.01154	0.329389
XM_026478528.3	2552	2413.11	589	29.2525
XM_026478529.3	2662	2523.11	0	0
XM_026478531.3	1315	1176.11	609.666	62.1253
XM_026478532.3	714	575.111	277.702	57.8699
XM_026478534.3	1354	1215.11	33.5707	3.31108
XM_026478535.3	3220	3081.11	131.284	5.10657
XM_026478536.3	3226	3087.11	0.775715	0.0301145
XM_026478539.3	752	613.111	1368	267.406
XM_026478540.3	1929	1790.11	8	0.535593
XM_026478541.3	5671	5532.11	3.55846	0.0770896
XM_026478543.3	3350	3211.11	24.4415	0.912217
XM_026478544.3	4146	4007.11	130.716	3.9095
XM_026478545.3	8428	8289.11	254.445	3.67884
XM_026478546.3	4180	4041.11	0	0
XM_026478548.3	4847	4708.11	10.2844	0.261792
XM_026478549.3	8569	8430.11	26	0.369628
XM_026478553.3	5480	5341.11	281.412	6.31447
XM_026478554.3	8413	8274.11	17.4554	0.252833
XM_026478555.3	5414	5275.11	27.5875	0.626767
XM_026478556.3	6915	6776.11	0	0
XM_026478557.3	3410	3271.11	141.365	5.17932
XM_026478564.3	10082	9943.11	390.145	4.7025
XM_026478565.3	1446	1307.11	205.163	18.811
XM_026478566.3	4481	4342.11	417	11.5096
XM_026478568.3	1447	1308.11	89.7571	8.22335
XM_026478569.3	1580	1441.11	27.6162	2.29663
XM_026478570.3	10374	10235.1	299.583	3.50792
XM_026478572.3	14600	14461.1	417	3.45589
XM_026478573.3	2048	1909.11	3	0.188328
XM_026478575.3	4220	4081.11	0	0
XM_026478577.3	4109	3970.11	0	0
XM_026478578.3	3990	3851.11	14.7546	0.459161
XM_026478583.3	3888	3749.11	150.694	4.81718
XM_026478584.3	4007	3868.11	53.1778	1.64762
XM_026478585.3	10399	10260.1	6.05292e-05	7.0703e-07
XM_026478586.3	10271	10132.1	87.4773	1.03471
XM_026478587.3	10344	10205.1	201.21	2.36296
XM_026478589.3	10096	9957.11	0	0
XM_026478592.3	8688	8549.11	1781.99	24.981
XM_026478593.3	1678	1539.11	2	0.155735
XM_026478594.3	1877	1738.11	0	0
XM_026478596.3	4810	4671.11	64.6345	1.65832
XM_026478597.3	1820	1681.11	500.365	35.671
XM_026478599.3	20719	20580.1	925.225	5.38796
XM_026478605.3	6295	6156.11	41	0.798183
XM_026478606.1	813	674.111	0	0
XM_026478608.3	3258	3119.11	0	0
XM_026478609.1	2889	2750.11	0	0
XM_026478610.3	16630	16491.1	0	0
XM_026478611.2	1239	1100.11	0	0
XM_026478612.2	1011	872.111	0	0
XM_026478613.3	16618	16479.1	1.623e-05	1.18035e-07
XM_026478615.2	477	338.423	0	0
XM_026478616.3	866	727.111	0	0
XM_026478617.3	16613	16474.1	2.43013e-05	1.76788e-07
XM_026478618.3	16604	16465.1	0	0
XM_026478619.3	6465	6326.11	0.00125795	2.38316e-05
XM_026478620.3	5155	5016.11	2.17914e-08	5.20647e-10
XM_026478621.3	5149	5010.11	32.3293	0.773346
XM_026478622.3	5226	5087.11	5.48524e-07	1.29226e-08
XM_026478623.3	5138	4999.11	8.55199e-07	2.05021e-08
XM_026478624.3	5229	5090.11	83.2285	1.95961
XM_026478625.3	5233	5094.11	1.2406e-07	2.9187e-09
XM_026478626.3	5201	5062.11	0	0
XM_026478627.3	16588	16449.1	2.17213e-05	1.58259e-07
XM_026478629.3	4929	4790.11	0	0
XM_026478630.3	16562	16423.1	4.48425e-05	3.27235e-07
XM_026478631.3	16453	16314.1	347	2.54912
XM_026478633.3	1072	933.111	24.4939	3.14593
XM_026478634.3	4866	4727.11	0	0
XM_026478635.3	4792	4653.11	0	0
XM_026478636.3	16549	16410.1	207	1.51176
XM_026478637.2	3923	3784.11	43.184	1.36768
XM_026478639.3	7898	7759.11	45.3371	0.700273
XM_026478640.3	2896	2757.11	38.89	1.69047
XM_026478641.3	1901	1762.11	22.6395	1.53978
XM_026478642.3	1253	1114.11	564	60.6702
XM_026478645.3	16531	16392.1	0	0
XM_026478647.3	2006	1867.11	397.324	25.5035
XM_026478648.3	7220	7081.11	34	0.575443
XM_026478649.3	13711	13572.1	8.03927	0.0709895
XM_026478650.3	16498	16359.1	5.87018e-06	4.30048e-08
XM_026478651.3	1970	1831.11	714.559	46.768
XM_026478652.3	5439	5300.11	121.517	2.74775
XM_026478654.3	1958	1819.11	315.801	20.8055
XM_026478656.3	2908	2769.11	0	0
XM_026478658.3	843	704.111	0	0
XM_026478659.3	7402	7263.11	597.161	9.85357
XM_026478660.3	455	316.62	0	0
XM_026478662.3	9669	9530.11	0.000149789	1.88368e-06
XM_026478663.3	9657	9518.11	120.387	1.51584
XM_026478664.3	9647	9508.11	1.11148e-06	1.40098e-08
XM_026478665.3	9692	9553.11	0	0
XM_026478666.3	9638	9499.11	186.353	2.35113
XM_026478667.3	9631	9492.11	0	0
XM_026478669.3	9501	9362.11	4.49172	0.0574995
XM_026478670.3	9469	9330.11	14.1343	0.181557
XM_026478671.3	9424	9285.11	39.4871	0.509674
XM_026478672.3	9357	9218.11	20.5663	0.267386
XM_026478673.3	8059	7920.11	24.6483	0.372975
XM_026478674.3	8023	7884.11	293.779	4.46574
XM_026478675.3	7889	7750.11	16.0132	0.247626
XM_026478676.3	7855	7716.11	154.407	2.39824
XM_026478678.3	13725	13586.1	313.106	2.76198
XM_026478679.3	3183	3044.11	148.556	5.84864
XM_026478680.3	3171	3032.11	735.444	29.069
XM_026478681.3	7162	7023.11	103.271	1.76227
XM_026478682.3	7262	7123.11	0	0
XM_026478683.3	7160	7021.11	49.6631	0.847721
XM_026478685.3	3512	3373.11	558	19.8257
XM_026478686.3	2737	2598.11	2258	104.158
XM_026478687.3	3818	3679.11	3402	110.82
XM_026478689.3	1691	1552.11	105	8.10758
XM_026478690.3	1226	1087.11	19.5304	2.15309
XM_026478691.3	1588	1449.11	3.46958	0.286946
XM_026478692.3	5228	5089.11	905.099	21.3147
XM_026478693.3	5364	5225.11	173.901	3.98871
XM_026478695.3	1355	1216.11	0	0
XM_026478696.3	5565	5426.11	14	0.309218
XM_026478697.3	9650	9511.11	236.759	2.98332
XM_026478703.3	3773	3634.11	2164	71.3648
XM_026478705.3	9255	9116.11	101.519	1.33463
XM_026478707.3	3452	3313.11	458.869	16.5988
XM_026478708.3	3227	3088.11	30.3422	1.17755
XM_026478710.3	2478	2339.11	0	0
XM_026478713.3	11262	11123.1	9.02118	0.097199
XM_026478717.3	9030	8891.11	0.00855104	0.000115262
XM_026478719.3	3296	3157.11	2140.65	81.2608
XM_026478720.3	4448	4309.11	11.4339	0.318003
XM_026478721.3	3122	2983.11	7.80317	0.313492
XM_026478723.3	8345	8206.11	0	0
XM_026478724.3	8904	8765.11	0	0
XM_026478726.3	13027	12888.1	25.5557	0.237642
XM_026478728.3	13088	12949.1	0.15513	0.00143576
XM_026478731.3	8871	8732.11	0.00191101	2.62283e-05
XM_026478732.3	3683	3544.11	1297	43.8589
XM_026478733.3	3244	3105.11	0	0
XM_026478734.3	8021	7882.11	182	2.76728
XM_026478735.3	1187	1048.11	91.0308	10.4089
XM_026478736.3	912	773.111	207.525	32.1701
XM_026478737.3	1186	1047.11	2095.44	239.833
XM_026478738.3	8567	8428.11	619.456	8.80857
XM_026478739.3	1006	867.111	0	0
XM_026478740.3	7106	6967.11	14.3949	0.247617
XM_026478742.3	3186	3047.11	1	0.0393312
XM_026478748.3	8407	8268.11	185.374	2.68699
XM_026478749.1	333	198.512	0	0
XM_026478750.3	6150	6011.11	1	0.0199375
XM_026478754.2	3984	3845.11	0	0
XM_026478756.3	7104	6965.11	0	0
XM_026478757.1	1326	1187.11	0	0
XM_026478758.3	4272	4133.11	0	0
XM_026478759.3	381	244.288	0	0
XM_026478762.3	2951	2812.11	156.991	6.69061
XM_026478765.2	645	506.164	0	0
XM_026478766.3	1119	980.111	3	0.366835
XM_026478767.2	3327	3188.11	0	0
XM_026478768.2	414	276.299	0	0
XM_026478769.3	4217	4078.11	253	7.43509
XM_026478771.3	3942	3803.11	453	14.2753
XM_026478772.2	906	767.111	0	0
XM_026478773.3	2942	2803.11	2	0.0855096
XM_026478774.3	4138	3999.11	0	0
XM_026478775.3	4763	4624.11	0	0
XM_026478777.3	4724	4585.11	3.6845e-05	9.6306e-07
XM_026478782.3	2580	2441.11	0	0
XM_026478783.3	4086	3947.11	217.835	6.61415
XM_026478784.3	2807	2668.11	0	0
XM_026478785.3	2475	2336.11	0	0
XM_026478786.3	5747	5608.11	230.715	4.93042
XM_026478789.3	4069	3930.11	0	0
XM_026478790.3	2857	2718.11	0	0
XM_026478791.3	3934	3795.11	348.611	11.0088
XM_026478792.3	3896	3757.11	544.389	17.3652
XM_026478793.3	3568	3429.11	0	0
XM_026478799.3	4099	3960.11	899.496	27.2218
XM_026478800.3	2519	2380.11	274	13.7968
XM_026478801.3	2249	2110.11	26.3763	1.49807
XM_026478802.3	1966	1827.11	220.839	14.4856
XM_026478803.3	9602	9463.11	20.7876	0.263266
XM_026478805.3	9512	9373.11	106.081	1.35637
XM_026478806.3	9673	9534.11	26.8448	0.337447
XM_026478807.3	4288	4149.11	229.765	6.63673
XM_026478808.3	2423	2284.11	240.928	12.6414
XM_026478809.3	2154	2015.11	168.775	10.0377
XM_026478810.3	6086	5947.11	0	0
XM_026478811.3	2973	2834.11	185	7.82312
XM_026478812.3	3879	3740.11	34.3748	1.10149
XM_026478813.3	3065	2926.11	0	0
XM_026478814.3	6841	6702.11	511.248	9.14208
XM_026478815.3	6549	6410.11	887.323	16.5898
XM_026478816.3	6690	6551.11	51.3029	0.938539
XM_026478817.3	6546	6407.11	229.281	4.28876
XM_026478819.3	5356	5217.11	43	0.987787
XM_026478820.2	1374	1235.11	0	0
XM_026478822.3	1318	1179.11	14.1879	1.44208
XM_026478823.3	1287	1148.11	0	0
XM_026478825.3	2266	2127.11	48.1658	2.71378
XM_026478828.3	1153	1014.11	0	0
XM_026478831.3	599	460.164	2.1466	0.559066
XM_026478832.3	905	766.111	1	0.156435
XM_026478836.3	977	838.111	0	0
XM_026478837.3	5261	5122.11	115.644	2.70583
XM_026478838.3	5829	5690.11	0	0
XM_026478839.3	5257	5118.11	603.811	14.1389
