target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1494.83	0	0
XM_026478080.3	6046	5931.83	48.5497	3.50976
XM_026478083.3	2509	2394.83	0	0
XM_026478085.3	2434	2319.83	2	0.369703
XM_026478086.3	2425	2310.83	0	0
XM_026478087.3	2288	2173.83	0	0
XM_026478088.3	2224	2109.83	2	0.406501
XM_026478089.3	3098	2983.83	125.419	18.0247
XM_026478090.3	1357	1242.83	16.6318	5.73862
XM_026478091.3	1312	1197.83	4.98488	1.78459
XM_026478092.3	1300	1185.83	17.3833	6.28621
XM_026478094.3	1697	1582.83	3.99897	1.08341
XM_026478095.3	3596	3481.83	11.001	1.35489
XM_026478097.3	993	878.827	0	0
XM_026478098.3	10841	10726.8	4.01864	0.160652
XM_026478099.3	2079	1964.83	0.25871	0.0564635
XM_026478100.3	7847	7732.83	92.8915	5.15129
XM_026478101.3	6255	6140.83	25.1085	1.75336
XM_026478102.3	4900	4785.83	1.45333	0.130223
XM_026478103.3	1628	1513.83	1.0813e-07	3.06302e-08
XM_026478105.3	4341	4226.83	1	0.101453
XM_026478106.1	1359	1244.83	0	0
XM_026478107.1	1359	1244.83	0	0
XM_026478108.3	4405	4290.83	0	0
XM_026478109.3	4078	3963.83	0.000252637	2.73313e-05
XM_026478110.3	4041	3926.83	7.99975	0.873601
XM_026478114.3	3144	3029.83	0	0
XM_026478122.3	5800	5685.83	0	0
XM_026478124.3	5185	5070.83	16.2164	1.37137
XM_026478126.3	4573	4458.83	33.4522	3.21723
XM_026478127.3	1566	1451.83	25	7.3842
XM_026478128.3	1294	1179.83	50	18.1731
XM_026478129.3	1343	1228.83	19	6.63042
XM_026478130.3	1386	1271.83	0	0
XM_026478131.3	1762	1647.83	0	0
XM_026478132.3	1759	1644.83	1	0.26071
XM_026478133.2	3175	3060.83	1345	188.436
XM_026478135.3	3662	3547.83	0	0
XM_026478136.3	3554	3439.83	131	16.331
XM_026478139.3	2722	2607.83	0	0
XM_026478140.3	2348	2233.83	39	7.48675
XM_026478142.3	4236	4121.83	0	0
XM_026478143.3	338	223.912	6	11.4908
XM_026478144.3	8601	8486.83	1.79742	0.0908203
XM_026478146.3	3833	3718.83	3.64316	0.420098
XM_026478150.3	2311	2196.83	33	6.44164
XM_026478151.3	6755	6640.83	21.2382	1.37143
XM_026478153.3	7000	6885.83	54.2247	3.37691
XM_026478159.3	2152	2037.83	3	0.631295
XM_026478163.3	9279	9164.83	49.2625	2.305
XM_026478165.3	2434	2319.83	72.4225	13.3874
XM_026478167.3	1687	1572.83	8.39784	2.28963
XM_026478168.3	2138	2023.83	18	3.81397
XM_026478169.3	9315	9200.83	137.481	6.40758
XM_026478170.3	3852	3737.83	6.7294	0.772032
XM_026478173.3	4464	4349.83	15.2448	1.50289
XM_026478174.3	5197	5082.83	39.9803	3.37302
XM_026478175.3	8598	8483.83	1.25588e-08	6.34795e-10
XM_026478176.3	11857	11742.8	30.7038	1.12124
XM_026478179.3	8427	8312.83	74.2214	3.82877
XM_026478180.3	843	728.912	797	468.88
XM_026478181.3	2987	2872.83	22	3.28391
XM_026478182.3	8430	8315.83	49.8164	2.56889
XM_026478183.3	10477	10362.8	60	2.48286
XM_026478185.3	3015	2900.83	0	0
XM_026478189.3	2391	2276.83	315	59.3279
XM_026478191.3	6588	6473.83	6.67115	0.441894
XM_026478192.3	6767	6652.83	0	0
XM_026478193.3	6597	6482.83	1.02193e-05	6.75981e-07
XM_026478194.3	6585	6470.83	65.0024	4.30773
XM_026478195.3	5023	4908.83	6.61116	0.577535
XM_026478196.3	6484	6369.83	0	0
XM_026478199.3	4589	4474.83	163.668	15.6843
XM_026478200.3	4000	3885.83	150	16.5534
XM_026478202.3	21305	21190.8	0	0
XM_026478203.3	4061	3946.83	25.6974	2.79203
XM_026478206.2	939	824.912	0	0
XM_026478207.3	1835	1720.83	5.85576	1.45923
XM_026478208.3	1465	1350.83	1421	451.1
XM_026478212.3	5507	5392.83	9.17292	0.729406
XM_026478213.3	1113	998.827	0	0
XM_026478215.3	1955	1840.83	4.44438	1.03533
XM_026478216.3	3721	3606.83	32.0156	3.8064
XM_026478217.3	1659	1544.83	0	0
XM_026478218.3	4039	3924.83	60	6.55555
XM_026478219.3	6333	6218.83	147	10.1365
XM_026478220.3	4558	4443.83	11	1.06149
XM_026478221.1	1824	1709.83	0	0
XM_026478223.3	7229	7114.83	5.85283	0.35276
XM_026478225.3	4249	4134.83	5.41208	0.561287
XM_026478230.1	882	767.912	0	0
XM_026478231.3	2913	2798.83	0	0
XM_026478232.3	4392	4277.83	124.877	12.5181
XM_026478237.3	4071	3956.83	0	0
XM_026478240.3	2392	2277.83	0	0
XM_026478241.3	4790	4675.83	7.30884	0.670299
XM_026478243.3	7888	7773.83	22.098	1.21898
XM_026478244.3	2279	2164.83	5.56321	1.102
XM_026478256.3	15206	15091.8	0.332357	0.00944369
XM_026478257.3	2506	2391.83	0	0
XM_026478258.3	2525	2410.83	0.00686369	0.00122087
XM_026478259.3	6504	6389.83	178.182	11.9579
XM_026478260.3	2509	2394.83	14.8456	2.65829
XM_026478261.3	2458	2343.83	180.237	32.9758
XM_026478262.3	3255	3140.83	10.7906	1.47326
XM_026478263.3	2242	2127.83	5	1.00766
XM_026478265.3	5688	5573.83	29.0342	2.23375
XM_026478267.3	6675	6560.83	0	0
XM_026478270.3	1033	918.827	28	13.0678
XM_026478271.3	1861	1746.83	55.7046	13.6748
XM_026478272.3	4162	4047.83	40.6816	4.30978
XM_026478273.3	930	815.912	790	415.205
XM_026478274.3	1809	1694.83	5	1.26509
XM_026478276.3	5005	4890.83	0	0
XM_026478278.3	5047	4932.83	0	0
XM_026478279.3	5035	4920.83	0	0
XM_026478280.3	4894	4779.83	5.11153	0.458582
XM_026478282.3	8406	8291.83	0	0
XM_026478283.3	8394	8279.83	0	0
XM_026478284.3	8294	8179.83	32.8278	1.72098
XM_026478285.3	8279	8164.83	3.40009e-07	1.78576e-08
XM_026478290.3	4690	4575.83	19	1.78058
XM_026478291.3	7074	6959.83	29.9622	1.84609
XM_026478292.3	6933	6818.83	0.000149575	9.40652e-06
XM_026478293.3	6961	6846.83	27.2321	1.70557
XM_026478295.3	6712	6597.83	7.80554	0.507318
XM_026478296.3	9714	9599.83	16.3105	0.728589
XM_026478297.3	4637	4522.83	2.10937e-05	1.99996e-06
XM_026478298.3	4580	4465.83	25.7384	2.47148
XM_026478299.3	9699	9584.83	0.00271394	0.000121421
XM_026478300.3	4622	4507.83	0	0
XM_026478303.3	9076	8961.83	6.60584	0.316089
XM_026478308.3	9177	9062.83	20.2601	0.958642
XM_026478309.3	1777	1662.83	66	17.0206
XM_026478311.3	1579	1464.83	21.3621	6.25367
XM_026478312.3	2647	2532.83	4	0.677225
XM_026478313.3	513	398.912	0	0
XM_026478317.3	5855	5740.83	104.786	7.8272
XM_026478318.3	3547	3432.83	23	2.87312
XM_026478320.3	8741	8626.83	0	0
XM_026478321.3	3804	3689.83	538	62.5251
XM_026478322.3	2471	2356.83	0.00853594	0.00155311
XM_026478323.3	2809	2694.83	6.27353	0.998297
XM_026478326.3	5940	5825.83	23.3439	1.71828
XM_026478327.3	2519	2404.83	0	0
XM_026478328.3	9165	9050.83	0	0
XM_026478329.3	6861	6746.83	2.02625	0.128787
XM_026478331.3	1885	1770.83	29	7.02264
XM_026478335.3	2818	2703.83	263	41.7114
XM_026478337.3	3820	3705.83	0	0
XM_026478339.3	11121	11006.8	7.86737e-05	3.06511e-06
XM_026478340.3	11278	11163.8	0	0
XM_026478341.3	6045	5930.83	16.7337	1.20992
XM_026478347.3	3434	3319.83	0	0
XM_026478348.3	907	792.912	136	73.5516
XM_026478350.3	3299	3184.83	0	0
XM_026478352.3	1414	1299.83	1.35319e-08	4.46429e-09
XM_026478353.3	1391	1276.83	5	1.67925
XM_026478355.3	1613	1498.83	15.2165	4.35354
XM_026478356.3	1219	1104.83	9.78348	3.79732
XM_026478358.3	1976	1861.83	23.6235	5.44106
XM_026478361.3	335	220.912	2.37647	4.61309
XM_026478362.3	1440	1325.83	2675	865.198
XM_026478365.3	1806	1691.83	0	0
XM_026478366.3	2953	2838.83	14	2.11479
XM_026478368.3	1990	1875.83	18.0088	4.11689
XM_026478371.3	2783	2668.83	1.36126e-06	2.18725e-07
XM_026478372.3	2782	2667.83	67	10.7695
XM_026478373.3	3090	2975.83	0	0
XM_026478374.3	2298	2183.83	0	0
XM_026478375.3	2175	2060.83	0	0
XM_026478376.3	1983	1868.83	0	0
XM_026478377.2	1899	1784.83	0	0
XM_026478378.2	1782	1667.83	0	0
XM_026478379.3	1764	1649.83	0	0
XM_026478380.3	605	490.912	11	9.60876
XM_026478382.3	1944	1829.83	26.944	6.31439
XM_026478383.3	1914	1799.83	0	0
XM_026478386.3	2059	1944.83	47.7077	10.5193
XM_026478387.3	5606	5491.83	0	0
XM_026478388.3	5437	5322.83	11	0.886194
XM_026478389.3	4186	4071.83	12	1.26378
XM_026478391.3	7161	7046.83	161	9.7974
XM_026478392.3	4871	4756.83	0	0
XM_026478393.3	2107	1992.83	0	0
XM_026478394.3	3354	3239.83	6	0.79416
XM_026478396.3	1980	1865.83	53	12.181
XM_026478397.3	1470	1355.83	5	1.58141
XM_026478400.3	5098	4983.83	161.391	13.8865
XM_026478401.3	4206	4091.83	1	0.1048
XM_026478403.2	1315	1200.83	0	0
XM_026478413.3	527	412.912	1345	1396.83
XM_026478414.3	5797	5682.83	0.0376809	0.00284338
XM_026478415.3	5787	5672.83	0.263834	0.0199439
XM_026478417.3	5782	5667.83	0.699029	0.052888
XM_026478418.3	5772	5657.83	4.91976	0.372883
XM_026478419.3	5766	5651.83	0.0458804	0.0034811
XM_026478420.3	5757	5642.83	0.266946	0.0202864
XM_026478421.3	5752	5637.83	0.710949	0.0540761
XM_026478422.3	5742	5627.83	5.05592	0.385246
XM_026478423.3	14639	14524.8	22.7606	0.671972
XM_026478424.3	12168	12053.8	50.2394	1.7873
XM_026478426.3	2725	2610.83	5	0.82124
XM_026478427.3	3132	3017.83	0	0
XM_026478429.3	2934	2819.83	0	0
XM_026478431.2	1706	1591.83	0	0
XM_026478432.3	4236	4121.83	186.888	19.4433
XM_026478433.3	9958	9843.83	4.11031	0.179056
XM_026478435.3	11864	11749.8	12.5348	0.457471
XM_026478436.3	11736	11621.8	2.30748	0.0851417
XM_026478437.2	1170	1055.83	0	0
XM_026478438.3	3358	3243.83	137	18.111
XM_026478440.3	11861	11746.8	6.62109	0.241706
XM_026478443.3	1892	1777.83	3	0.723619
XM_026478445.2	996	881.827	0	0
XM_026478446.3	8351	8236.83	0	0
XM_026478448.3	8322	8207.83	0	0
XM_026478449.3	8343	8228.83	0	0
XM_026478450.3	8347	8232.83	5.68225	0.295971
XM_026478451.3	9211	9096.83	0	0
XM_026478452.3	9208	9093.83	0	0
XM_026478453.3	2394	2279.83	0	0
XM_026478454.3	2401	2286.83	22	4.12542
XM_026478455.2	4157	4042.83	1	0.10607
XM_026478456.3	3058	2943.83	195	28.4054
XM_026478458.3	18169	18054.8	203.689	4.83786
XM_026478459.3	17911	17796.8	15.423	0.371625
XM_026478460.3	2874	2759.83	32.5314	5.05475
XM_026478461.3	5383	5268.83	633	51.5191
XM_026478462.3	2452	2337.83	107.469	19.7128
XM_026478463.3	6859	6744.83	89.945	5.71853
XM_026478464.3	7383	7268.83	8.82189	0.520446
XM_026478465.3	7567	7452.83	0	0
XM_026478466.3	7394	7279.83	47.7615	2.81343
XM_026478467.3	7382	7267.83	0	0
XM_026478468.3	7283	7168.83	0	0
XM_026478469.3	7190	7075.83	0	0
XM_026478470.3	7223	7108.83	0	0
XM_026478471.3	3606	3491.83	0	0
XM_026478472.3	789	674.912	0	0
XM_026478473.3	1807	1692.83	0	0
XM_026478474.3	705	590.912	0	0
XM_026478476.3	2229	2114.83	36.4352	7.38797
XM_026478478.3	2422	2307.83	15	2.78719
XM_026478479.3	3922	3807.83	3.71785	0.41869
XM_026478480.3	3897	3782.83	0	0
XM_026478481.3	3784	3669.83	8.28215	0.967778
XM_026478482.3	3759	3644.83	0	0
XM_026478483.3	6695	6580.83	23.8387	1.55339
XM_026478485.3	6655	6540.83	0	0
XM_026478492.3	5348	5233.83	8.94171	0.732622
XM_026478494.3	29744	29629.8	87.5681	1.26735
XM_026478495.3	4099	3984.83	0	0
XM_026478496.3	4071	3956.83	0	0
XM_026478508.2	1563	1448.83	0	0
XM_026478509.3	3378	3263.83	4	0.525547
XM_026478510.3	1249	1134.83	32	12.092
XM_026478514.3	4197	4082.83	28	2.94087
XM_026478515.3	1793	1678.83	17.88	4.5671
XM_026478517.3	3331	3216.83	551.804	73.5589
XM_026478518.3	3328	3213.83	356.494	47.5673
XM_026478521.3	2895	2780.83	28.5773	4.40682
XM_026478522.3	804	689.912	10.4145	6.47324
XM_026478524.3	2946	2831.83	27	4.08861
XM_026478527.3	2690	2575.83	0	0
XM_026478528.3	2552	2437.83	184	32.3663
XM_026478529.3	2662	2547.83	0	0
XM_026478531.3	1315	1200.83	0	0
XM_026478532.3	714	599.912	27.5855	19.7184
XM_026478534.3	1354	1239.83	0	0
XM_026478535.3	3220	3105.83	10.0236	1.38396
XM_026478536.3	3226	3111.83	0	0
XM_026478539.3	752	637.912	252	169.402
XM_026478540.3	1929	1814.83	1	0.236289
XM_026478541.3	5671	5556.83	5.48725	0.423454
XM_026478543.3	3350	3235.83	4.51275	0.598046
XM_026478544.3	4146	4031.83	11.4994	1.22308
XM_026478545.3	8428	8313.83	79.2456	4.08745
XM_026478546.3	4180	4065.83	0	0
XM_026478548.3	4847	4732.83	4.50055	0.407778
XM_026478549.3	8569	8454.83	22	1.11583
XM_026478553.3	5480	5365.83	30.1917	2.41285
XM_026478554.3	8413	8298.83	0	0
XM_026478555.3	5414	5299.83	0	0
XM_026478556.3	6915	6800.83	0	0
XM_026478557.3	3410	3295.83	8.85845	1.15258
XM_026478564.3	10082	9967.83	133	5.72176
XM_026478565.3	1446	1331.83	20.2349	6.51526
XM_026478566.3	4481	4366.83	51	5.00821
XM_026478568.3	1447	1332.83	8.82892	2.84061
XM_026478569.3	1580	1465.83	0	0
XM_026478570.3	10374	10259.8	99.8094	4.17167
XM_026478572.3	14600	14485.8	0	0
XM_026478573.3	2048	1933.83	0	0
XM_026478575.3	4220	4105.83	0.310519	0.0324314
XM_026478577.3	4109	3994.83	0	0
XM_026478578.3	3990	3875.83	0	0
XM_026478583.3	3888	3773.83	17.3142	1.96743
XM_026478584.3	4007	3892.83	18.3815	2.02486
XM_026478585.3	10399	10284.8	0	0
XM_026478586.3	10271	10156.8	0	0
XM_026478587.3	10344	10229.8	0.626721	0.0262715
XM_026478589.3	10096	9981.83	0	0
XM_026478592.3	8688	8573.83	110.122	5.50778
XM_026478593.3	1678	1563.83	1	0.274214
XM_026478594.3	1877	1762.83	0	0
XM_026478596.3	4810	4695.83	15.3197	1.399
XM_026478597.3	1820	1705.83	22.6803	5.70153
