target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1482.11	12.9999	4.5906
XM_026478080.3	6046	5919.11	0	0
XM_026478083.3	2509	2382.11	0	0
XM_026478085.3	2434	2307.11	2	0.453702
XM_026478086.3	2425	2298.11	0	0
XM_026478087.3	2288	2161.11	0	0
XM_026478088.3	2224	2097.11	10	2.49567
XM_026478089.3	3098	2971.11	10.1724	1.79189
XM_026478090.3	1357	1230.11	0	0
XM_026478091.3	1312	1185.11	0	0
XM_026478092.3	1300	1173.11	35	15.6148
XM_026478094.3	1697	1570.11	0	0
XM_026478095.3	3596	3469.11	4.94643	0.746246
XM_026478097.3	993	866.111	0	0
XM_026478098.3	10841	10714.1	0	0
XM_026478099.3	2079	1952.11	0	0
XM_026478100.3	7847	7720.11	18	1.22028
XM_026478101.3	6255	6128.11	0	0
XM_026478102.3	4900	4773.11	5.53511	0.606923
XM_026478103.3	1628	1501.11	8.46489	2.95133
XM_026478105.3	4341	4214.11	3	0.372584
XM_026478106.1	1359	1232.11	0	0
XM_026478107.1	1359	1232.11	0	0
XM_026478108.3	4405	4278.11	15.2894	1.87046
XM_026478109.3	4078	3951.11	7.71059	1.02136
XM_026478110.3	4041	3914.11	0	0
XM_026478114.3	3144	3017.11	3	0.520402
XM_026478122.3	5800	5673.11	0	0
XM_026478124.3	5185	5058.11	0	0
XM_026478126.3	4573	4446.11	19	2.23657
XM_026478127.3	1566	1439.11	88	32.0035
XM_026478128.3	1294	1167.11	18.9384	8.4926
XM_026478129.3	1343	1216.11	38	16.3538
XM_026478130.3	1386	1259.11	0	0
XM_026478131.3	1762	1635.11	0	0
XM_026478132.3	1759	1632.11	0	0
XM_026478133.2	3175	3048.11	298.23	51.207
XM_026478135.3	3662	3535.11	0	0
XM_026478136.3	3554	3427.11	12	1.83258
XM_026478139.3	2722	2595.11	18.0939	3.6491
XM_026478140.3	2348	2221.11	30.6385	7.21948
XM_026478142.3	4236	4109.11	0	0
XM_026478143.3	338	211.598	77	190.453
XM_026478144.3	8601	8474.11	5.33187	0.329302
XM_026478146.3	3833	3706.11	22.421	3.16625
XM_026478150.3	2311	2184.11	185	44.3308
XM_026478151.3	6755	6628.11	0	0
XM_026478153.3	7000	6873.11	45.8207	3.48913
XM_026478159.3	2152	2025.11	0	0
XM_026478163.3	9279	9152.11	1.20512	0.0689156
XM_026478165.3	2434	2307.11	71.383	16.1933
XM_026478167.3	1687	1560.11	0	0
XM_026478168.3	2138	2011.11	10	2.60239
XM_026478169.3	9315	9188.11	131	7.46198
