target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1484.17	14	4.26216
XM_026478080.3	6046	5921.17	2.03206	0.155065
XM_026478083.3	2509	2384.17	0	0
XM_026478085.3	2434	2309.17	1	0.195672
XM_026478086.3	2425	2300.17	30	5.89313
XM_026478087.3	2288	2163.17	0	0
XM_026478088.3	2224	2099.17	0	0
XM_026478089.3	3098	2973.17	28.3548	4.30915
XM_026478090.3	1357	1232.17	0	0
XM_026478091.3	1312	1187.17	6.57928	2.5041
XM_026478092.3	1300	1175.17	40.4207	15.5414
XM_026478094.3	1697	1572.17	4.17211	1.19906
XM_026478095.3	3596	3471.17	1.82789	0.237936
XM_026478097.3	993	868.168	0	0
XM_026478098.3	10841	10716.2	9.54933	0.402641
XM_026478099.3	2079	1954.17	0.0833437	0.0192706
XM_026478100.3	7847	7722.17	33.5335	1.96211
XM_026478101.3	6255	6130.17	10.4665	0.771461
XM_026478102.3	4900	4775.17	5.80039	0.548849
XM_026478103.3	1628	1503.17	1.5333e-07	4.60896e-08
XM_026478105.3	4341	4216.17	2	0.214337
XM_026478106.1	1359	1234.17	0	0
XM_026478107.1	1359	1234.17	0	0
XM_026478108.3	4405	4280.17	0	0
XM_026478109.3	4078	3953.17	16.3213	1.8655
XM_026478110.3	4041	3916.17	5.67868	0.655195
XM_026478114.3	3144	3019.17	15	2.24486
XM_026478122.3	5800	5675.17	0	0
XM_026478124.3	5185	5060.17	1.27515	0.113862
XM_026478126.3	4573	4448.17	14.2375	1.44623
XM_026478127.3	1566	1441.17	99	31.0388
XM_026478128.3	1294	1169.17	41	15.845
XM_026478129.3	1343	1218.17	53	19.6586
XM_026478130.3	1386	1261.17	0	0
XM_026478131.3	1762	1637.17	0	0
XM_026478132.3	1759	1634.17	0	0
XM_026478133.2	3175	3050.17	660.555	97.852
XM_026478135.3	3662	3537.17	1	0.127741
XM_026478136.3	3554	3429.17	29	3.82115
XM_026478139.3	2722	2597.17	26.755	4.65468
XM_026478140.3	2348	2223.17	9.42636	1.91583
XM_026478142.3	4236	4111.17	7.63395	0.839013
XM_026478143.3	338	213.577	134	283.488
XM_026478144.3	8601	8476.17	5.18575	0.276437
XM_026478146.3	3833	3708.17	27.359	3.33369
XM_026478150.3	2311	2186.17	214	44.2298
