target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1499.88	0	0
XM_026478080.3	6046	5936.88	9.59586	0.880067
XM_026478083.3	2509	2399.88	0	0
XM_026478085.3	2434	2324.88	1	0.234201
XM_026478086.3	2425	2315.88	0	0
XM_026478087.3	2288	2178.88	0	0
XM_026478088.3	2224	2114.88	0	0
XM_026478089.3	3098	2988.88	95.6975	17.4334
XM_026478090.3	1357	1247.88	0	0
XM_026478091.3	1312	1202.88	0	0
XM_026478092.3	1300	1190.88	4	1.82886
XM_026478094.3	1697	1587.88	0	0
XM_026478095.3	3596	3486.88	9.93095	1.55076
XM_026478097.3	993	883.884	0	0
XM_026478098.3	10841	10731.9	0	0
XM_026478099.3	2079	1969.88	0.293469	0.0811169
XM_026478100.3	7847	7737.88	69.3556	4.88033
XM_026478101.3	6255	6145.88	11.6444	1.03163
XM_026478102.3	4900	4790.88	1.45487	0.165348
XM_026478103.3	1628	1518.88	2.27784e-07	8.16561e-08
XM_026478105.3	4341	4231.88	4	0.514655
XM_026478106.1	1359	1249.88	0	0
XM_026478107.1	1359	1249.88	0	0
XM_026478108.3	4405	4295.88	0	0
XM_026478109.3	4078	3968.88	0.000255573	3.5062e-05
XM_026478110.3	4041	3931.88	4.99974	0.692369
XM_026478114.3	3144	3034.88	7.60458	1.36434
XM_026478122.3	5800	5690.88	0	0
XM_026478124.3	5185	5075.88	20.9479	2.24708
XM_026478126.3	4573	4463.88	18.5107	2.25788
XM_026478127.3	1566	1456.88	23	8.59593
XM_026478128.3	1294	1184.88	42.9433	19.7338
XM_026478129.3	1343	1233.88	11	4.8541
XM_026478130.3	1386	1276.88	0	0
XM_026478131.3	1762	1652.88	0	0
XM_026478132.3	1759	1649.88	0	0
XM_026478133.2	3175	3065.88	1454.15	258.253
XM_026478135.3	3662	3552.88	5	0.766265
XM_026478136.3	3554	3444.88	94	14.8574
XM_026478139.3	2722	2612.88	24.5247	5.11063
XM_026478140.3	2348	2238.88	0	0
XM_026478142.3	4236	4126.88	2.69093e-07	3.55034e-08
XM_026478143.3	338	228.924	14	33.2987
XM_026478144.3	8601	8491.88	1.6101	0.103238
XM_026478146.3	3833	3723.88	0	0
XM_026478150.3	2311	2201.88	28	6.92395
