target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1502.95	4	0.994641
XM_026478080.3	6046	5939.95	0	0
XM_026478083.3	2509	2402.95	0	0
XM_026478085.3	2434	2327.95	0	0
XM_026478086.3	2425	2318.95	21	3.38437
XM_026478087.3	2288	2181.95	0	0
XM_026478088.3	2224	2117.95	0	0
XM_026478089.3	3098	2991.95	22.4277	2.80143
XM_026478090.3	1357	1250.95	14.0935	4.21046
XM_026478091.3	1312	1205.95	0	0
XM_026478092.3	1300	1193.95	9.90652	3.10089
XM_026478094.3	1697	1590.95	4.26626	1.00217
XM_026478095.3	3596	3489.95	5.51334	0.590399
XM_026478097.3	993	886.946	0.2204	0.0928676
XM_026478098.3	10841	10734.9	4.35746	0.151699
XM_026478099.3	2079	1972.95	0.462453	0.0875995
XM_026478100.3	7847	7740.95	29.2937	1.41426
XM_026478101.3	6255	6148.95	11.7063	0.711492
XM_026478102.3	4900	4793.95	11.2446	0.876597
XM_026478103.3	1628	1521.95	4.50286e-07	1.1057e-07
XM_026478105.3	4341	4234.95	0	0
XM_026478106.1	1359	1252.95	0	0
XM_026478107.1	1359	1252.95	0	0
XM_026478108.3	4405	4298.95	10.8365	0.942059
XM_026478109.3	4078	3971.95	0	0
XM_026478110.3	4041	3934.95	9.16346	0.870303
XM_026478114.3	3144	3037.95	0	0
XM_026478122.3	5800	5693.95	0	0
XM_026478124.3	5185	5078.95	1.33542	0.0982636
XM_026478126.3	4573	4466.95	5.80686	0.485825
XM_026478127.3	1566	1459.95	64	16.383
XM_026478128.3	1294	1187.95	25.8636	8.13659
XM_026478129.3	1343	1236.95	37.1885	11.2359
XM_026478130.3	1386	1279.95	21.8115	6.3686
XM_026478131.3	1762	1655.95	0	0
XM_026478132.3	1759	1652.95	0	0
XM_026478133.2	3175	3068.95	474.01	57.7229
XM_026478135.3	3662	3555.95	2	0.210196
XM_026478136.3	3554	3447.95	17	1.84263
XM_026478139.3	2722	2615.95	0	0
XM_026478140.3	2348	2241.95	67.494	11.251
XM_026478142.3	4236	4129.95	0	0
XM_026478143.3	338	232.021	132	212.616
XM_026478144.3	8601	8494.95	1.79386	0.0789184
XM_026478146.3	3833	3726.95	32.7954	3.28859
XM_026478150.3	2311	2204.95	160	27.1189
XM_026478151.3	6755	6648.95	0	0
XM_026478153.3	7000	6893.95	0	0
XM_026478159.3	2152	2045.95	0	0
XM_026478163.3	9279	9172.95	0	0
XM_026478165.3	2434	2327.95	77.1132	12.3796
XM_026478167.3	1687	1580.95	0	0
XM_026478168.3	2138	2031.95	5	0.919618
XM_026478169.3	9315	9208.95	130	5.27574
XM_026478170.3	3852	3745.95	8.31816	0.82988
XM_026478173.3	4464	4357.95	3	0.25727
XM_026478174.3	5197	5090.95	5.51866	0.405121
XM_026478175.3	8598	8491.95	303.041	13.3365
XM_026478176.3	11857	11750.9	9.97164	0.317135
XM_026478179.3	8427	8320.95	503.477	22.6129
XM_026478180.3	843	736.946	0	0
XM_026478181.3	2987	2880.95	31	4.02139
XM_026478182.3	8430	8323.95	148.404	6.66292
XM_026478183.3	10477	10370.9	68	2.45042
XM_026478185.3	3015	2908.95	0	0
XM_026478189.3	2391	2284.95	0	0
XM_026478191.3	6588	6481.95	0	0
XM_026478192.3	6767	6660.95	0	0
XM_026478193.3	6597	6490.95	0	0
XM_026478194.3	6585	6478.95	0	0
XM_026478195.3	5023	4916.95	1.56292	0.118793
XM_026478196.3	6484	6377.95	0.0715951	0.00419519
XM_026478199.3	4589	4482.95	0.0586951	0.00489315
XM_026478200.3	4000	3893.95	361	34.6471
XM_026478202.3	21305	21198.9	6.75672	0.119116
XM_026478203.3	4061	3954.95	39	3.68531
XM_026478206.2	939	832.946	0	0
XM_026478207.3	1835	1728.95	1	0.216156
XM_026478208.3	1465	1358.95	216	59.402
XM_026478212.3	5507	5400.95	2.16584	0.149867
XM_026478213.3	1113	1006.95	0	0
XM_026478215.3	1955	1848.95	0	0
XM_026478216.3	3721	3614.95	0	0
XM_026478217.3	1659	1552.95	13.9465	3.35629
XM_026478218.3	4039	3932.95	1	0.0950236
XM_026478219.3	6333	6226.95	134	8.04228
XM_026478220.3	4558	4451.95	4	0.335784
XM_026478221.1	1824	1717.95	0	0
XM_026478223.3	7229	7122.95	29.751	1.56096
XM_026478225.3	4249	4142.95	29.156	2.63008
XM_026478230.1	882	775.946	0	0
XM_026478231.3	2913	2806.95	5.49049	0.731016
XM_026478232.3	4392	4285.95	109	9.5045
XM_026478237.3	4071	3964.95	0.000111907	1.0548e-05
XM_026478240.3	2392	2285.95	0	0
XM_026478241.3	4790	4683.95	5.55703	0.443384
XM_026478243.3	7888	7781.95	20.3165	0.975688
XM_026478244.3	2279	2172.95	1.96413	0.33781
XM_026478256.3	15206	15099.9	1.73188e-05	4.2864e-07
XM_026478257.3	2506	2399.95	0	0
XM_026478258.3	2525	2418.95	21.4066	3.30728
XM_026478259.3	6504	6397.95	146.437	8.55382
XM_026478260.3	2509	2402.95	0	0
XM_026478261.3	2458	2351.95	2.53196e-05	4.02328e-06
XM_026478262.3	3255	3148.95	0	0
XM_026478263.3	2242	2135.95	20	3.49937
XM_026478265.3	5688	5581.95	8.7076	0.582991
XM_026478267.3	6675	6568.95	0	0
XM_026478270.3	1033	926.946	52	20.9652
XM_026478271.3	1861	1754.95	88.7278	18.8949
XM_026478272.3	4162	4055.95	68.4236	6.30468
XM_026478273.3	930	823.946	145	65.7686
XM_026478274.3	1809	1702.95	0	0
XM_026478276.3	5005	4898.95	0	0
XM_026478278.3	5047	4940.95	0	0
XM_026478279.3	5035	4928.95	0	0
XM_026478280.3	4894	4787.95	0	0
XM_026478282.3	8406	8299.95	1.97636e-08	8.899e-10
XM_026478283.3	8394	8287.95	14.3523	0.64718
XM_026478284.3	8294	8187.95	1.52815e-08	6.97496e-10
XM_026478285.3	8279	8172.95	22.8968	1.047
XM_026478290.3	4690	4583.95	18	1.46752
XM_026478291.3	7074	6967.95	68.7499	3.68737
XM_026478292.3	6933	6826.95	0	0
XM_026478293.3	6961	6854.95	0	0
XM_026478295.3	6712	6605.95	6.25013	0.353593
XM_026478296.3	9714	9607.95	0	0
XM_026478297.3	4637	4530.95	1.43909e-05	1.18699e-06
XM_026478298.3	4580	4473.95	88.7769	7.41582
XM_026478299.3	9699	9592.95	0	0
XM_026478300.3	4622	4515.95	0.000864306	7.15267e-05
XM_026478303.3	9076	8969.95	2.20392	0.0918238
XM_026478308.3	9177	9070.95	44	1.8128
XM_026478309.3	1777	1670.95	18	4.02587
XM_026478311.3	1579	1472.95	21.4805	5.45012
XM_026478312.3	2647	2540.95	5	0.735401
XM_026478313.3	513	406.991	0	0
XM_026478317.3	5855	5748.95	0	0
XM_026478318.3	3547	3440.95	56	6.08219
XM_026478320.3	8741	8634.95	24.3371	1.05332
XM_026478321.3	3804	3697.95	336	33.9569
XM_026478322.3	2471	2364.95	0	0
XM_026478323.3	2809	2702.95	0	0
XM_026478326.3	5940	5833.95	20.0658	1.28541
XM_026478327.3	2519	2412.95	0	0
XM_026478328.3	9165	9058.95	0	0
XM_026478329.3	6861	6754.95	0	0
XM_026478331.3	1885	1778.95	23.0207	4.83621
XM_026478335.3	2818	2711.95	31	4.27199
XM_026478337.3	3820	3713.95	0	0
XM_026478339.3	11121	11014.9	3.79158	0.128643
XM_026478340.3	11278	11171.9	9.7263e-08	3.25363e-09
XM_026478341.3	6045	5938.95	0	0
XM_026478347.3	3434	3327.95	0	0
XM_026478348.3	907	800.946	101	47.1268
XM_026478350.3	3299	3192.95	39.2895	4.59869
XM_026478352.3	1414	1307.95	0	0
XM_026478353.3	1391	1284.95	8	2.32678
XM_026478355.3	1613	1506.95	80.3195	19.9192
XM_026478356.3	1219	1112.95	30.6805	10.3024
XM_026478358.3	1976	1869.95	47.6165	9.51652
XM_026478361.3	335	229.021	1.38349	2.25761
XM_026478362.3	1440	1333.95	6591	1846.56
XM_026478365.3	1806	1699.95	0	0
XM_026478366.3	2953	2846.95	15	1.96907
XM_026478368.3	1990	1883.95	17.5863	3.48863
XM_026478371.3	2783	2676.95	68.2206	9.52414
XM_026478372.3	2782	2675.95	68.7794	9.60574
XM_026478373.3	3090	2983.95	0	0
XM_026478374.3	2298	2191.95	0	0
XM_026478375.3	2175	2068.95	0	0
XM_026478376.3	1983	1876.95	0	0
XM_026478377.2	1899	1792.95	0	0
XM_026478378.2	1782	1675.95	0	0
XM_026478379.3	1764	1657.95	0	0
XM_026478380.3	605	498.946	45	33.7061
XM_026478382.3	1944	1837.95	61	12.4036
XM_026478383.3	1914	1807.95	2.05178e-08	4.24125e-09
XM_026478386.3	2059	1952.95	37.7487	7.22373
XM_026478387.3	5606	5499.95	0	0
XM_026478388.3	5437	5330.95	0	0
XM_026478389.3	4186	4079.95	21	1.9236
XM_026478391.3	7161	7054.95	257	13.6141
XM_026478392.3	4871	4764.95	44	3.45099
XM_026478393.3	2107	2000.95	0	0
XM_026478394.3	3354	3247.95	8	0.920515
XM_026478396.3	1980	1873.95	139	27.7209
XM_026478397.3	1470	1363.95	0	0
XM_026478400.3	5098	4991.95	0.00215202	0.000161111
XM_026478401.3	4206	4099.95	0	0
XM_026478403.2	1315	1208.95	0	0
XM_026478413.3	527	420.991	8011	7111.54
XM_026478414.3	5797	5690.95	0	0
XM_026478415.3	5787	5680.95	0	0
XM_026478417.3	5782	5675.95	0	0
XM_026478418.3	5772	5665.95	0.0747978	0.00493363
XM_026478419.3	5766	5659.95	0	0
XM_026478420.3	5757	5650.95	0	0
XM_026478421.3	5752	5645.95	0	0
XM_026478422.3	5742	5635.95	52.6398	3.49058
XM_026478423.3	14639	14532.9	103.457	2.66046
XM_026478424.3	12168	12061.9	246.482	7.6369
XM_026478426.3	2725	2618.95	12	1.7124
XM_026478427.3	3132	3025.95	0	0
XM_026478429.3	2934	2827.95	0	0
XM_026478431.2	1706	1599.95	0.406894	0.0950443
XM_026478432.3	4236	4129.95	77.2099	6.9868
XM_026478433.3	9958	9851.95	11	0.417273
XM_026478435.3	11864	11757.9	5.79079e-07	1.84058e-08
XM_026478436.3	11736	11629.9	0	0
XM_026478437.2	1170	1063.95	0	0
XM_026478438.3	3358	3251.95	4	0.459691
XM_026478440.3	11861	11754.9	90.2234	2.86846
XM_026478443.3	1892	1785.95	30	6.27773
XM_026478445.2	996	889.946	1	0.419939
XM_026478446.3	8351	8244.95	0	0
XM_026478448.3	8322	8215.95	0	0
XM_026478449.3	8343	8236.95	13.7399	0.623399
XM_026478450.3	8347	8240.95	0	0
XM_026478451.3	9211	9104.95	0	0
XM_026478452.3	9208	9101.95	49.8905	2.04849
XM_026478453.3	2394	2287.95	1600.67	261.461
XM_026478454.3	2401	2294.95	104.327	16.9893
XM_026478455.2	4157	4050.95	0	0
XM_026478456.3	3058	2951.95	128.993	16.3308
XM_026478458.3	18169	18062.9	217.691	4.50402
XM_026478459.3	17911	17804.9	6.12116	0.128482
XM_026478460.3	2874	2767.95	0	0
XM_026478461.3	5383	5276.95	221	15.6516
XM_026478462.3	2452	2345.95	55.883	8.90248
XM_026478463.3	6859	6752.95	35.0897	1.94194
XM_026478464.3	7383	7276.95	6.91441	0.355104
XM_026478465.3	7567	7460.95	23.8268	1.1935
XM_026478466.3	7394	7287.95	0	0
XM_026478467.3	7382	7275.95	0	0
XM_026478468.3	7283	7176.95	2.22338e-07	1.15777e-08
XM_026478469.3	7190	7083.95	0	0
XM_026478470.3	7223	7116.95	0.00707675	0.000371612
XM_026478471.3	3606	3499.95	0	0
XM_026478472.3	789	682.946	0	0
XM_026478473.3	1807	1700.95	0	0
XM_026478474.3	705	598.946	0	0
XM_026478476.3	2229	2122.95	33.4458	5.88779
XM_026478478.3	2422	2315.95	12	1.93643
XM_026478479.3	3922	3815.95	91.9437	9.0047
XM_026478480.3	3897	3790.95	0	0
XM_026478481.3	3784	3677.95	10.3941	1.05617
XM_026478482.3	3759	3652.95	1.66219	0.170054
XM_026478483.3	6695	6588.95	0.00363285	0.000206054
XM_026478485.3	6655	6548.95	6.70274	0.382499
XM_026478492.3	5348	5241.95	1.63573	0.116619
XM_026478494.3	29744	29637.9	135.339	1.70657
XM_026478495.3	4099	3992.95	8	0.748766
XM_026478496.3	4071	3964.95	0	0
XM_026478508.2	1563	1456.95	0	0
XM_026478509.3	3378	3271.95	102	11.6505
XM_026478510.3	1249	1142.95	65	21.2538
XM_026478514.3	4197	4090.95	15.2545	1.39356
XM_026478515.3	1793	1686.95	47	10.4123
XM_026478517.3	3331	3224.95	0	0
XM_026478518.3	3328	3221.95	0	0
XM_026478521.3	2895	2788.95	0	0
XM_026478522.3	804	697.946	25.8418	13.8373
XM_026478524.3	2946	2839.95	11.0935	1.45985
XM_026478527.3	2690	2583.95	10.9065	1.57743
XM_026478528.3	2552	2445.95	124	18.9463
XM_026478529.3	2662	2555.95	0	0
XM_026478531.3	1315	1208.95	24.5951	7.60311
XM_026478532.3	714	607.946	77.1582	47.4315
XM_026478534.3	1354	1247.95	40.9629	12.2672
XM_026478535.3	3220	3113.95	76.51	9.18241
XM_026478536.3	3226	3119.95	28.0209	3.35649
XM_026478539.3	752	645.946	1328	768.336
XM_026478540.3	1929	1822.95	0	0
XM_026478541.3	5671	5564.95	0	0
XM_026478543.3	3350	3243.95	0	0
XM_026478544.3	4146	4039.95	22	2.03515
XM_026478545.3	8428	8321.95	13.6209	0.611687
XM_026478546.3	4180	4073.95	0	0
XM_026478548.3	4847	4740.95	0	0
XM_026478549.3	8569	8462.95	3	0.13248
XM_026478553.3	5480	5373.95	55.6324	3.86887
XM_026478554.3	8413	8306.95	0	0
XM_026478555.3	5414	5307.95	3.36765	0.23711
XM_026478556.3	6915	6808.95	0.00770575	0.000422946
XM_026478557.3	3410	3303.95	37	4.18522
XM_026478564.3	10082	9975.95	33	1.23626
XM_026478565.3	1446	1339.95	67.3669	18.7892
XM_026478566.3	4481	4374.95	30	2.5627
XM_026478568.3	1447	1340.95	0	0
XM_026478569.3	1580	1473.95	0	0
XM_026478570.3	10374	10267.9	37	1.34669
XM_026478572.3	14600	14493.9	29	0.747758
XM_026478573.3	2048	1941.95	1	0.192448
XM_026478575.3	4220	4113.95	0	0
XM_026478577.3	4109	4002.95	0	0
XM_026478578.3	3990	3883.95	0	0
XM_026478583.3	3888	3781.95	1.46331e-05	1.446e-06
XM_026478584.3	4007	3900.95	2.78188	0.266512
XM_026478585.3	10399	10292.9	3.9243	0.142486
XM_026478586.3	10271	10164.9	0.850841	0.0312819
XM_026478587.3	10344	10237.9	0	0
XM_026478589.3	10096	9989.95	7.1122e-06	2.66067e-07
XM_026478592.3	8688	8581.95	715	31.1365
XM_026478593.3	1678	1571.95	5	1.18873
XM_026478594.3	1877	1770.95	0	0
XM_026478596.3	4810	4703.95	1.53187	0.121705
XM_026478597.3	1820	1713.95	42.4681	9.2601
XM_026478599.3	20719	20612.9	140.144	2.54087
XM_026478605.3	6295	6188.95	78	4.71007
XM_026478606.1	813	706.946	0	0
XM_026478608.3	3258	3151.95	13	1.5414
XM_026478609.1	2889	2782.95	0	0
XM_026478610.3	16630	16523.9	0.00164205	3.71382e-05
XM_026478611.2	1239	1132.95	0	0
XM_026478612.2	1011	904.946	0	0
XM_026478613.3	16618	16511.9	5.45169e-07	1.23391e-08
XM_026478615.2	477	370.991	0	0
XM_026478616.3	866	759.946	0	0
XM_026478617.3	16613	16506.9	8.06482e-05	1.8259e-06
XM_026478618.3	16604	16497.9	1.64218e-05	3.71998e-07
XM_026478619.3	6465	6358.95	1.20808e-08	7.10004e-10
XM_026478620.3	5155	5048.95	0	0
XM_026478621.3	5149	5042.95	0	0
XM_026478622.3	5226	5119.95	4.22172e-07	3.08158e-08
XM_026478623.3	5138	5031.95	3.45819e-07	2.5684e-08
XM_026478624.3	5229	5122.95	0.00472581	0.000344752
XM_026478625.3	5233	5126.95	54.621	3.98153
XM_026478626.3	5201	5094.95	0	0
XM_026478627.3	16588	16481.9	29.4722	0.668272
XM_026478629.3	4929	4822.95	0	0
XM_026478630.3	16562	16455.9	0.306787	0.00696729
XM_026478631.3	16453	16346.9	12.5708	0.287393
XM_026478633.3	1072	965.946	4.95879	1.91855
XM_026478634.3	4866	4759.95	0	0
XM_026478635.3	4792	4685.95	27	2.15336
XM_026478636.3	16549	16442.9	0.000110209	2.50488e-06
XM_026478637.2	3923	3816.95	42.463	4.15761
XM_026478639.3	7898	7791.95	6.23806	0.299194
