target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1492.2	206.979	73.7019
XM_026478080.3	6046	5929.2	0	0
XM_026478083.3	2509	2392.2	5.93573	1.31843
XM_026478085.3	2434	2317.2	7.06427	1.61988
XM_026478086.3	2425	2308.2	66.3211	15.2672
XM_026478087.3	2288	2171.2	20.0998	4.91894
XM_026478088.3	2224	2107.2	12.5791	3.17194
XM_026478089.3	3098	2981.2	62.5566	11.1497
XM_026478090.3	1357	1240.2	0.000278856	0.000119472
XM_026478091.3	1312	1195.2	8.76626	3.89721
XM_026478092.3	1300	1183.2	27.2335	12.23
XM_026478094.3	1697	1580.2	13.726	4.61543
XM_026478095.3	3596	3479.2	17.274	2.63811
XM_026478097.3	993	876.199	0	0
XM_026478098.3	10841	10724.2	10.0632	0.498596
XM_026478099.3	2079	1962.2	2.68957	0.728316
XM_026478100.3	7847	7730.2	194.722	13.3846
XM_026478101.3	6255	6138.2	17.278	1.49566
XM_026478102.3	4900	4783.2	11.3787	1.26402
XM_026478103.3	1628	1511.2	16.6213	5.84418
XM_026478105.3	4341	4224.2	8	1.0063
XM_026478106.1	1359	1242.2	0	0
XM_026478107.1	1359	1242.2	0	0
XM_026478108.3	4405	4288.2	29.6406	3.67276
XM_026478109.3	4078	3961.2	39.9753	5.36222
XM_026478110.3	4041	3924.2	9.3841	1.27064
XM_026478114.3	3144	3027.2	0	0
XM_026478122.3	5800	5683.2	0	0
XM_026478124.3	5185	5068.2	17.1201	1.79487
XM_026478126.3	4573	4456.2	277.268	33.061
XM_026478127.3	1566	1449.2	116	42.5314
XM_026478128.3	1294	1177.2	155.925	70.3793
XM_026478129.3	1343	1226.2	49.2084	21.3235
XM_026478130.3	1386	1269.2	17.7916	7.44843
XM_026478131.3	1762	1645.2	0.169988	0.054901
XM_026478132.3	1759	1642.2	1.83001	0.592117
XM_026478133.2	3175	3058.2	6019.39	1045.84
XM_026478135.3	3662	3545.2	11	1.64866
XM_026478136.3	3554	3437.2	202	31.2267
XM_026478139.3	2722	2605.2	26.434	5.3914
XM_026478140.3	2348	2231.2	27.5224	6.55432
XM_026478142.3	4236	4119.2	13.4222	1.73138
XM_026478143.3	338	221.405	52	124.794
XM_026478144.3	8601	8484.2	23.3372	1.46156
XM_026478146.3	3833	3716.2	0	0
XM_026478150.3	2311	2194.2	72	17.4356
XM_026478151.3	6755	6638.2	0	0
XM_026478153.3	7000	6883.2	0	0
XM_026478159.3	2152	2035.2	2	0.522159
XM_026478163.3	9279	9162.2	2.76493	0.160348
XM_026478165.3	2434	2317.2	80.437	18.4447
XM_026478167.3	1687	1570.2	0	0
XM_026478168.3	2138	2021.2	7	1.84022
XM_026478169.3	9315	9198.2	474.743	27.4243
XM_026478170.3	3852	3735.2	17.668	2.51335
XM_026478173.3	4464	4347.2	4.07682	0.498301
XM_026478174.3	5197	5080.2	11.9072	1.2454
XM_026478175.3	8598	8481.2	72.0249	4.51237
XM_026478176.3	11857	11740.2	11.4086	0.51634
XM_026478179.3	8427	8310.2	257.649	16.4739
XM_026478180.3	843	726.199	0	0
XM_026478181.3	2987	2870.2	58	10.7373
XM_026478182.3	8430	8313.2	123.147	7.87108
XM_026478183.3	10477	10360.2	544	27.9004
XM_026478185.3	3015	2898.2	0	0
XM_026478189.3	2391	2274.2	74.5639	17.4213
XM_026478191.3	6588	6471.2	30.0283	2.46561
XM_026478192.3	6767	6650.2	12.3498	0.986745
XM_026478193.3	6597	6480.2	2.93169	0.240386
XM_026478194.3	6585	6468.2	417.365	34.2857
XM_026478195.3	5023	4906.2	9.53024	1.03214
XM_026478196.3	6484	6367.2	0	0
XM_026478199.3	4589	4472.2	1028.13	122.154
XM_026478200.3	4000	3883.2	91	12.4518
XM_026478202.3	21305	21188.2	53.1223	1.33218
XM_026478203.3	4061	3944.2	36.6883	4.94253
XM_026478206.2	939	822.199	0	0
XM_026478207.3	1835	1718.2	18.7578	5.80079
XM_026478208.3	1465	1348.2	1875	738.97
XM_026478212.3	5507	5390.2	11.3611	1.11994
XM_026478213.3	1113	996.199	0	0
XM_026478215.3	1955	1838.2	6.28736	1.81742
XM_026478216.3	3721	3604.2	0	0
XM_026478217.3	1659	1542.2	0	0
XM_026478218.3	4039	3922.2	15.0867	2.04383
XM_026478219.3	6333	6216.2	143	12.2234
XM_026478220.3	4558	4441.2	2	0.239282
XM_026478221.1	1824	1707.2	0	0
XM_026478223.3	7229	7112.2	655.726	48.989
XM_026478225.3	4249	4132.2	0	0
XM_026478230.1	882	765.199	0	0
XM_026478231.3	2913	2796.2	0	0
XM_026478232.3	4392	4275.2	311.462	38.7105
XM_026478237.3	4071	3954.2	9.35241	1.25674
XM_026478240.3	2392	2275.2	8.09029	1.8894
XM_026478241.3	4790	4673.2	16.743	1.9037
XM_026478243.3	7888	7771.2	56.8988	3.89041
XM_026478244.3	2279	2162.2	0	0
XM_026478256.3	15206	15089.2	0.00175693	6.18682e-05
XM_026478257.3	2506	2389.2	6.44014	1.43226
XM_026478258.3	2525	2408.2	0.0020084	0.000443136
XM_026478259.3	6504	6387.2	344.46	28.6555
XM_026478260.3	2509	2392.2	14.8124	3.29009
XM_026478261.3	2458	2341.2	94.4008	21.4248
XM_026478262.3	3255	3138.2	0	0
XM_026478263.3	2242	2125.2	11	2.75025
XM_026478265.3	5688	5571.2	42.0375	4.0093
XM_026478267.3	6675	6558.2	25.4367	2.0609
XM_026478270.3	1033	916.199	35	20.2982
XM_026478271.3	1861	1744.2	148.668	45.29
XM_026478272.3	4162	4045.2	104.503	13.7268
XM_026478273.3	930	813.199	1102	720.053
XM_026478274.3	1809	1692.2	21.4412	6.73253
XM_026478276.3	5005	4888.2	0	0
XM_026478278.3	5047	4930.2	0	0
XM_026478279.3	5035	4918.2	0	0
XM_026478280.3	4894	4777.2	0	0
XM_026478282.3	8406	8289.2	18.9805	1.21668
XM_026478283.3	8394	8277.2	0.017851	0.00114593
XM_026478284.3	8294	8177.2	40.6247	2.63976
XM_026478285.3	8279	8162.2	0.0563328	0.00366719
XM_026478290.3	4690	4573.2	73	8.48169
XM_026478291.3	7074	6957.2	63.9674	4.88545
XM_026478292.3	6933	6816.2	51.2306	3.99362
XM_026478293.3	6961	6844.2	0	0
XM_026478295.3	6712	6595.2	4.80195	0.386874
