target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1448.11	111.006	15.1675
XM_026478080.3	6046	5885.11	4.71722	0.158599
XM_026478083.3	2509	2348.11	0	0
XM_026478085.3	2434	2273.11	0	0
XM_026478086.3	2425	2264.11	59.2487	5.17785
XM_026478087.3	2288	2127.11	10.9715	1.02057
XM_026478088.3	2224	2063.11	16.7798	1.60928
XM_026478089.3	3098	2937.11	135.084	9.10022
XM_026478090.3	1357	1196.11	6.75027	1.11665
XM_026478091.3	1312	1151.11	0	0
XM_026478092.3	1300	1139.11	104.25	18.1083
XM_026478094.3	1697	1536.11	5.23021	0.673698
XM_026478095.3	3596	3435.11	115.77	6.66841
XM_026478097.3	993	832.107	0	0
XM_026478098.3	10841	10680.1	3.75512	0.0695689
XM_026478099.3	2079	1918.11	0.0787983	0.00812853
XM_026478100.3	7847	7686.11	356.753	9.18393
XM_026478101.3	6255	6094.11	26.2473	0.8522
XM_026478102.3	4900	4739.11	8.12224	0.339115
XM_026478103.3	1628	1467.11	44.8778	6.05253
XM_026478105.3	4341	4180.11	56	2.65075
XM_026478106.1	1359	1198.11	0	0
XM_026478107.1	1359	1198.11	0	0
XM_026478108.3	4405	4244.11	15.1513	0.706366
XM_026478109.3	4078	3917.11	44.5796	2.25184
XM_026478110.3	4041	3880.11	8.26918	0.421683
XM_026478114.3	3144	2983.11	0	0
XM_026478122.3	5800	5639.11	0	0
XM_026478124.3	5185	5024.11	3.65175	0.143817
XM_026478126.3	4573	4412.11	37.037	1.66095
XM_026478127.3	1566	1405.11	230	32.3881
XM_026478128.3	1294	1133.11	259	45.2269
XM_026478129.3	1343	1182.11	55.0065	9.20714
XM_026478130.3	1386	1225.11	37.9935	6.13625
XM_026478131.3	1762	1601.11	48.2129	5.95813
XM_026478132.3	1759	1598.11	41.7871	5.17374
XM_026478133.2	3175	3014.11	8934.19	586.495
XM_026478135.3	3662	3501.11	16	0.904237
XM_026478136.3	3554	3393.11	459	26.766
XM_026478139.3	2722	2561.11	14.1507	1.09324
XM_026478140.3	2348	2187.11	42.6624	3.8596
XM_026478142.3	4236	4075.11	0	0
XM_026478143.3	338	179.626	161	177.347
XM_026478144.3	8601	8440.11	0	0
XM_026478146.3	3833	3672.11	33.6779	1.81467
XM_026478150.3	2311	2150.11	263	24.2027
XM_026478151.3	6755	6594.11	0	0
XM_026478153.3	7000	6839.11	0	0
XM_026478159.3	2152	1991.11	0	0
XM_026478163.3	9279	9118.11	7.24861	0.157296
XM_026478165.3	2434	2273.11	517.529	45.0487
XM_026478167.3	1687	1526.11	0	0
XM_026478168.3	2138	1977.11	32	3.20249
XM_026478169.3	9315	9154.11	2062	44.5698
XM_026478170.3	3852	3691.11	17.7588	0.951975
XM_026478173.3	4464	4303.11	8.0004	0.367872
XM_026478174.3	5197	5036.11	5.22382	0.205239
XM_026478175.3	8598	8437.11	294.482	6.9061
XM_026478176.3	11857	11696.1	67.8437	1.14772
XM_026478179.3	8427	8266.11	1427.55	34.1711
XM_026478180.3	843	682.107	0	0
XM_026478181.3	2987	2826.11	163	11.4121
XM_026478182.3	8430	8269.11	0.00137022	3.27867e-05
XM_026478183.3	10477	10316.1	579	11.1053
XM_026478185.3	3015	2854.11	0	0
XM_026478189.3	2391	2230.11	120.973	10.7332
XM_026478191.3	6588	6427.11	3.86438	0.118968
XM_026478192.3	6767	6606.11	1.13166	0.0338951
XM_026478193.3	6597	6436.11	1.29705	0.0398749
XM_026478194.3	6585	6424.11	314.014	9.67173
XM_026478195.3	5023	4862.11	34.0007	1.38367
XM_026478196.3	6484	6323.11	0	0
XM_026478199.3	4589	4428.11	1083.4	48.4104
XM_026478200.3	4000	3839.11	168	8.65858
XM_026478202.3	21305	21144.1	0	0
XM_026478203.3	4061	3900.11	57.2164	2.90276
XM_026478206.2	939	778.107	0	0
XM_026478207.3	1835	1674.11	2	0.236382
XM_026478208.3	1465	1304.11	6934	1052.05
XM_026478212.3	5507	5346.11	1	0.0370109
XM_026478213.3	1113	952.107	0	0
XM_026478215.3	1955	1794.11	18.0116	1.98642
XM_026478216.3	3721	3560.11	105.065	5.83932
XM_026478217.3	1659	1498.11	40.9607	5.40994
XM_026478218.3	4039	3878.11	43	2.1939
XM_026478219.3	6333	6172.11	592	18.9782
XM_026478220.3	4558	4397.11	0	0
XM_026478221.1	1824	1663.11	0	0
XM_026478223.3	7229	7068.11	252.609	7.07154
XM_026478225.3	4249	4088.11	23.1873	1.12227
XM_026478230.1	882	721.107	0	0
XM_026478231.3	2913	2752.11	0	0
XM_026478232.3	4392	4231.11	517.981	24.2229
XM_026478237.3	4071	3910.11	0	0
XM_026478240.3	2392	2231.11	13.9143	1.23398
XM_026478241.3	4790	4629.11	1.19379	0.0510269
XM_026478243.3	7888	7727.11	5.72768	0.146666
XM_026478244.3	2279	2118.11	4.63408	0.432895
XM_026478256.3	15206	15045.1	0.0229223	0.000301461
XM_026478257.3	2506	2345.11	0	0
XM_026478258.3	2525	2364.11	5.07927	0.42511
XM_026478259.3	6504	6343.11	481.658	15.0246
XM_026478260.3	2509	2348.11	0	0
XM_026478261.3	2458	2297.11	129.817	11.1819
XM_026478262.3	3255	3094.11	0	0
XM_026478263.3	2242	2081.11	1	0.0950765
XM_026478265.3	5688	5527.11	20.8177	0.745252
XM_026478267.3	6675	6514.11	15.4521	0.469354
XM_026478270.3	1033	872.107	105	23.8225
XM_026478271.3	1861	1700.11	224.526	26.1311
XM_026478272.3	4162	4001.11	155.474	7.68855
XM_026478273.3	930	769.107	3983	1024.69
XM_026478274.3	1809	1648.11	0	0
XM_026478276.3	5005	4844.11	7.72816	0.315668
XM_026478278.3	5047	4886.11	5.99965	0.242958
XM_026478279.3	5035	4874.11	0	0
XM_026478280.3	4894	4733.11	0.00394077	0.000164741
XM_026478282.3	8406	8245.11	3.60226	0.0864463
XM_026478283.3	8394	8233.11	0	0
XM_026478284.3	8294	8133.11	125.705	3.05818
XM_026478285.3	8279	8118.11	0	0
XM_026478290.3	4690	4529.11	431	18.8292
XM_026478291.3	7074	6913.11	115.16	3.29606
XM_026478292.3	6933	6772.11	22.1391	0.64685
XM_026478293.3	6961	6800.11	56.7147	1.65024
XM_026478295.3	6712	6551.11	18.9866	0.573455
XM_026478296.3	9714	9553.11	0	0
XM_026478297.3	4637	4476.11	1.52732e-05	6.75146e-07
XM_026478298.3	4580	4419.11	71.1099	3.18393
XM_026478299.3	9699	9538.11	0	0
XM_026478300.3	4622	4461.11	0	0
XM_026478303.3	9076	8915.11	8	0.177554
XM_026478308.3	9177	9016.11	187.401	4.11265
XM_026478309.3	1777	1616.11	144	17.6303
XM_026478311.3	1579	1418.11	138.272	19.2927
XM_026478312.3	2647	2486.11	99	7.87922
XM_026478313.3	513	352.183	0	0
XM_026478317.3	5855	5694.11	90.8617	3.15735
XM_026478318.3	3547	3386.11	59	3.44762
XM_026478320.3	8741	8580.11	13	0.299791
XM_026478321.3	3804	3643.11	1292	70.1711
XM_026478322.3	2471	2310.11	17.5671	1.50465
XM_026478323.3	2809	2648.11	0	0
XM_026478326.3	5940	5779.11	48.5786	1.66323
XM_026478327.3	2519	2358.11	0	0
XM_026478328.3	9165	9004.11	0	0
XM_026478329.3	6861	6700.11	24.6702	0.728548
XM_026478331.3	1885	1724.11	147.288	16.9033
XM_026478335.3	2818	2657.11	391	29.1162
XM_026478337.3	3820	3659.11	0	0
XM_026478339.3	11121	10960.1	28.4135	0.512952
XM_026478340.3	11278	11117.1	37.8478	0.673622
XM_026478341.3	6045	5884.11	18.2677	0.614286
XM_026478347.3	3434	3273.11	0	0
XM_026478348.3	907	746.107	491	130.211
XM_026478350.3	3299	3138.11	24.3581	1.53583
XM_026478352.3	1414	1253.11	66.6169	10.5187
XM_026478353.3	1391	1230.11	110.383	17.7553
XM_026478355.3	1613	1452.11	199.02	27.1185
XM_026478356.3	1219	1058.11	48.9803	9.15924
XM_026478358.3	1976	1815.11	61	6.6496
XM_026478361.3	335	176.751	0	0
XM_026478362.3	1440	1279.11	13464	2082.74
XM_026478365.3	1806	1645.11	0	0
XM_026478366.3	2953	2792.11	29	2.0551
XM_026478368.3	1990	1829.11	22.3599	2.41879
XM_026478371.3	2783	2622.11	163.988	12.3746
XM_026478372.3	2782	2621.11	38.0119	2.86947
XM_026478373.3	3090	2929.11	0	0
XM_026478374.3	2298	2137.11	0	0
XM_026478375.3	2175	2014.11	0	0
XM_026478376.3	1983	1822.11	0	0
XM_026478377.2	1899	1738.11	0	0
XM_026478378.2	1782	1621.11	0	0
XM_026478379.3	1764	1603.11	0	0
XM_026478380.3	605	444.107	7	3.11873
XM_026478382.3	1944	1783.11	13.4486	1.49233
XM_026478383.3	1914	1753.11	36.3103	4.09816
XM_026478386.3	2059	1898.11	84.1633	8.77344
XM_026478387.3	5606	5445.11	0	0
XM_026478388.3	5437	5276.11	0	0
XM_026478389.3	4186	4025.11	40.2599	1.97908
XM_026478391.3	7161	7000.11	897	25.3545
XM_026478392.3	4871	4710.11	1280	53.7708
XM_026478393.3	2107	1946.11	10	1.01672
XM_026478394.3	3354	3193.11	8	0.495729
XM_026478396.3	1980	1819.11	285	30.9995
XM_026478397.3	1470	1309.11	3	0.453434
XM_026478400.3	5098	4937.11	135.22	5.4192
XM_026478401.3	4206	4045.11	1	0.0489145
XM_026478403.2	1315	1154.11	0	0
XM_026478413.3	527	366.146	7650	4134.04
XM_026478414.3	5797	5636.11	6.27527	0.220303
XM_026478415.3	5787	5626.11	23.1563	0.814382
XM_026478417.3	5782	5621.11	0.00021976	7.73561e-06
XM_026478418.3	5772	5611.11	21.1264	0.744981
XM_026478419.3	5766	5605.11	37.1345	1.31088
XM_026478420.3	5757	5596.11	108.622	3.84061
XM_026478421.3	5752	5591.11	0.00102026	3.61062e-05
XM_026478422.3	5742	5581.11	99.9664	3.54406
XM_026478423.3	14639	14478.1	92.9205	1.26989
XM_026478424.3	12168	12007.1	379.158	6.24812
XM_026478426.3	2725	2564.11	416	32.1015
XM_026478427.3	3132	2971.11	77.4746	5.15951
XM_026478429.3	2934	2773.11	9.46565	0.675385
XM_026478431.2	1706	1545.11	0	0
XM_026478432.3	4236	4075.11	246.516	11.9695
XM_026478433.3	9958	9797.11	11	0.222158
XM_026478435.3	11864	11703.1	1.80348e-06	3.04914e-08
XM_026478436.3	11736	11575.1	0	0
XM_026478437.2	1170	1009.11	0	0
XM_026478438.3	3358	3197.11	85	5.26053
XM_026478440.3	11861	11700.1	68.0126	1.15018
XM_026478443.3	1892	1731.11	62	7.08656
XM_026478445.2	996	835.107	13	3.08013
XM_026478446.3	8351	8190.11	0	0
XM_026478448.3	8322	8161.11	13.0598	0.316632
XM_026478449.3	8343	8182.11	0	0
XM_026478450.3	8347	8186.11	10.5276	0.254459
XM_026478451.3	9211	9050.11	0	0
XM_026478452.3	9208	9047.11	59.3876	1.29883
XM_026478453.3	2394	2233.11	229.803	20.3617
XM_026478454.3	2401	2240.11	7821.2	690.831
XM_026478455.2	4157	3996.11	18	0.891257
XM_026478456.3	3058	2897.11	570.674	38.9754
XM_026478458.3	18169	18008.1	421	4.62574
XM_026478459.3	17911	17750.1	0	0
XM_026478460.3	2874	2713.11	0	0
XM_026478461.3	5383	5222.11	287	10.8744
XM_026478462.3	2452	2291.11	135.429	11.6959
XM_026478463.3	6859	6698.11	508.025	15.0072
XM_026478464.3	7383	7222.11	149.975	4.10886
XM_026478465.3	7567	7406.11	14.6012	0.390091
XM_026478466.3	7394	7233.11	149.72	4.09565
XM_026478467.3	7382	7221.11	0	0
XM_026478468.3	7283	7122.11	0	0
XM_026478469.3	7190	7029.11	0	0
XM_026478470.3	7223	7062.11	0	0
XM_026478471.3	3606	3445.11	0	0
XM_026478472.3	789	628.107	0	0
XM_026478473.3	1807	1646.11	1	0.120201
XM_026478474.3	705	544.107	0	0
XM_026478476.3	2229	2068.11	66.1395	6.32784
XM_026478478.3	2422	2261.11	434	37.9784
XM_026478479.3	3922	3761.11	0.0662821	0.00348697
XM_026478480.3	3897	3736.11	72.1232	3.81965
XM_026478481.3	3784	3623.11	40.8023	2.22829
XM_026478482.3	3759	3598.11	0	0
XM_026478483.3	6695	6534.11	0.00361502	0.000109469
XM_026478485.3	6655	6494.11	5.6616	0.172499
XM_026478492.3	5348	5187.11	3.02998	0.11558
XM_026478494.3	29744	29583.1	629.173	4.20817
XM_026478495.3	4099	3938.11	0	0
XM_026478496.3	4071	3910.11	0	0
XM_026478508.2	1563	1402.11	0	0
XM_026478509.3	3378	3217.11	84	5.16632
XM_026478510.3	1249	1088.11	104	18.9116
XM_026478514.3	4197	4036.11	119	5.8338
XM_026478515.3	1793	1632.11	119.061	14.4341
XM_026478517.3	3331	3170.11	0	0
XM_026478518.3	3328	3167.11	148.964	9.30652
XM_026478521.3	2895	2734.11	66.3329	4.80044
XM_026478522.3	804	643.107	73.6442	22.6581
XM_026478524.3	2946	2785.11	50	3.55219
XM_026478527.3	2690	2529.11	0	0
XM_026478528.3	2552	2391.11	422	34.9205
XM_026478529.3	2662	2501.11	0	0
XM_026478531.3	1315	1154.11	407.603	69.8811
XM_026478532.3	714	553.107	211.356	75.6089
XM_026478534.3	1354	1193.11	113.838	18.8789
XM_026478535.3	3220	3059.11	62.4979	4.04239
XM_026478536.3	3226	3065.11	10.5817	0.683092
XM_026478539.3	752	591.107	1037	347.121
XM_026478540.3	1929	1768.11	3	0.335722
XM_026478541.3	5671	5510.11	6.28782	0.225791
XM_026478543.3	3350	3189.11	20.7122	1.28506
XM_026478544.3	4146	3985.11	86.723	4.30588
XM_026478545.3	8428	8267.11	103.693	2.48178
XM_026478546.3	4180	4019.11	0.00329621	0.000162276
XM_026478548.3	4847	4686.11	6.27366	0.264897
