target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1454.51	856.504	268.967
XM_026478080.3	6046	5891.51	2.08328	0.161513
XM_026478083.3	2509	2354.51	0	0
XM_026478085.3	2434	2279.51	23	4.60865
XM_026478086.3	2425	2270.51	28.0367	5.64015
XM_026478087.3	2288	2133.51	7.9633	1.70485
XM_026478088.3	2224	2069.51	0	0
XM_026478089.3	3098	2943.51	78.3618	12.1598
XM_026478090.3	1357	1202.51	0	0
XM_026478091.3	1312	1157.51	0	0
XM_026478092.3	1300	1145.51	25	9.96845
XM_026478094.3	1697	1542.51	8.7571	2.5931
XM_026478095.3	3596	3441.51	18.2429	2.42121
XM_026478097.3	993	838.514	0	0
XM_026478098.3	10841	10686.5	13.0762	0.558897
XM_026478099.3	2079	1924.51	0.0818606	0.0194286
XM_026478100.3	7847	7692.51	162.322	9.63824
XM_026478101.3	6255	6100.51	12.3698	0.926156
XM_026478102.3	4900	4745.51	16.5082	1.58893
XM_026478103.3	1628	1473.51	41.4918	12.8616
XM_026478105.3	4341	4186.51	10	1.09103
XM_026478106.1	1359	1204.51	0	0
XM_026478107.1	1359	1204.51	0	0
XM_026478108.3	4405	4250.51	15.8416	1.70234
XM_026478109.3	4078	3923.51	8.25765	0.961323
XM_026478110.3	4041	3886.51	28.9007	3.39654
XM_026478114.3	3144	2989.51	17.183	2.62534
XM_026478122.3	5800	5645.51	0	0
XM_026478124.3	5185	5030.51	12.3857	1.12459
XM_026478126.3	4573	4418.51	651.893	67.3889
XM_026478127.3	1566	1411.51	88	28.4764
XM_026478128.3	1294	1139.51	145.883	58.4755
XM_026478129.3	1343	1188.51	66.5061	25.5591
XM_026478130.3	1386	1231.51	25.4939	9.45553
XM_026478131.3	1762	1607.51	0.14463	0.0410953
XM_026478132.3	1759	1604.51	1.85537	0.528172
XM_026478133.2	3175	3020.51	5602.07	847.142
XM_026478135.3	3662	3507.51	17	2.2138
XM_026478136.3	3554	3399.51	169	22.7069
XM_026478139.3	2722	2567.51	47.1833	8.3939
XM_026478140.3	2348	2193.51	0	0
XM_026478142.3	4236	4081.51	21.7645	2.43566
XM_026478143.3	338	188.252	48	116.463
XM_026478144.3	8601	8446.51	27.0176	1.46102
XM_026478146.3	3833	3678.51	0	0
XM_026478150.3	2311	2156.51	85	18.0034
XM_026478151.3	6755	6600.51	9.52023	0.658806
XM_026478153.3	7000	6845.51	0	0
XM_026478159.3	2152	1997.51	0	0
XM_026478163.3	9279	9124.51	1.03961	0.0520415
XM_026478165.3	2434	2279.51	529.466	106.092
XM_026478167.3	1687	1532.51	0	0
XM_026478168.3	2138	1983.51	5	1.15139
XM_026478169.3	9315	9160.51	628.054	31.3159
XM_026478170.3	3852	3697.51	20.5189	2.53474
XM_026478173.3	4464	4309.51	14.0424	1.48834
XM_026478174.3	5197	5042.51	23.7883	2.15479
XM_026478175.3	8598	8443.51	0	0
XM_026478176.3	11857	11702.5	52.8835	2.06409
XM_026478179.3	8427	8272.51	290.354	16.0316
XM_026478180.3	843	688.597	0	0
XM_026478181.3	2987	2832.51	63	10.1591
XM_026478182.3	8430	8275.51	122.638	6.76889
XM_026478183.3	10477	10322.5	166	7.34532
XM_026478185.3	3015	2860.51	0	0
XM_026478189.3	2391	2236.51	191.919	39.1954
XM_026478191.3	6588	6433.51	522.112	37.0683
XM_026478192.3	6767	6612.51	0	0
XM_026478193.3	6597	6442.51	101.209	7.17549
XM_026478194.3	6585	6430.51	692.872	49.2148
XM_026478195.3	5023	4868.51	12.7074	1.1922
XM_026478196.3	6484	6329.51	0	0
XM_026478199.3	4589	4434.51	1062.24	109.412
XM_026478200.3	4000	3845.51	103	12.2341
XM_026478202.3	21305	21150.5	8.8883e-08	1.91949e-09
XM_026478203.3	4061	3906.51	52.8847	6.18342
XM_026478206.2	939	784.597	0	0
XM_026478207.3	1835	1680.51	0	0
XM_026478208.3	1465	1310.51	1964	684.523
XM_026478212.3	5507	5352.51	18.1033	1.54486
XM_026478213.3	1113	958.514	0	0
XM_026478215.3	1955	1800.51	0	0
XM_026478216.3	3721	3566.51	2.23221	0.285877
XM_026478217.3	1659	1504.51	0	0
XM_026478218.3	4039	3884.51	11.0358	1.29764
XM_026478219.3	6333	6178.51	124	9.16697
XM_026478220.3	4558	4403.51	4	0.414905
XM_026478221.1	1824	1669.51	0	0
XM_026478223.3	7229	7074.51	1089.27	70.3279
XM_026478225.3	4249	4094.51	21.4372	2.39141
XM_026478230.1	882	727.597	0	0
XM_026478231.3	2913	2758.51	0	0
XM_026478232.3	4392	4237.51	241.147	25.9932
XM_026478237.3	4071	3916.51	0	0
XM_026478240.3	2392	2237.51	22.2209	4.53611
XM_026478241.3	4790	4635.51	13.2504	1.30562
XM_026478243.3	7888	7733.51	56.9823	3.36551
XM_026478244.3	2279	2124.51	0	0
XM_026478256.3	15206	15051.5	0.000613467	1.86165e-05
XM_026478257.3	2506	2351.51	20.1942	3.92255
XM_026478258.3	2525	2370.51	0.870536	0.167738
XM_026478259.3	6504	6349.51	416.686	29.9748
XM_026478260.3	2509	2354.51	5.84017	1.13295
XM_026478261.3	2458	2303.51	142.508	28.2577
XM_026478262.3	3255	3100.51	12.2478	1.80432
XM_026478263.3	2242	2087.51	7	1.53164
XM_026478265.3	5688	5533.51	43.6664	3.60441
XM_026478267.3	6675	6520.51	0	0
XM_026478270.3	1033	878.514	38	19.7571
XM_026478271.3	1861	1706.51	100.9	27.0065
XM_026478272.3	4162	4007.51	102.948	11.7336
XM_026478273.3	930	775.597	1030	606.581
XM_026478274.3	1809	1654.51	15.236	4.20618
XM_026478276.3	5005	4850.51	4.62731	0.435742
XM_026478278.3	5047	4892.51	0	0
XM_026478279.3	5035	4880.51	0	0
XM_026478280.3	4894	4739.51	20.9831	2.0222
XM_026478282.3	8406	8251.51	0	0
XM_026478283.3	8394	8239.51	0	0
XM_026478284.3	8294	8139.51	28.6618	1.6084
XM_026478285.3	8279	8124.51	0	0
XM_026478290.3	4690	4535.51	80	8.0566
XM_026478291.3	7074	6919.51	77.6774	5.12752
XM_026478292.3	6933	6778.51	17.2222	1.1605
XM_026478293.3	6961	6806.51	0	0
XM_026478295.3	6712	6557.51	4.10031	0.285605
XM_026478296.3	9714	9559.51	0	0
XM_026478297.3	4637	4482.51	9.99387e-07	1.01836e-07
XM_026478298.3	4580	4425.51	39.0727	4.03272
XM_026478299.3	9699	9544.51	0	0
XM_026478300.3	4622	4467.51	0.0048856	0.000499505
XM_026478303.3	9076	8921.51	20.0813	1.02812
XM_026478308.3	9177	9022.51	65.2723	3.30437
XM_026478309.3	1777	1622.51	133	37.4413
XM_026478311.3	1579	1424.51	52.0406	16.6864
XM_026478312.3	2647	2492.51	8	1.46602
XM_026478313.3	513	358.826	0	0
XM_026478317.3	5855	5700.51	1.96647e-06	1.57565e-07
XM_026478318.3	3547	3392.51	52.8503	7.11564
XM_026478320.3	8741	8586.51	163.526	8.69877
XM_026478321.3	3804	3649.51	240	30.0375
XM_026478322.3	2471	2316.51	1.93495	0.381525
XM_026478323.3	2809	2654.51	29.5454	5.08385
XM_026478326.3	5940	5785.51	0	0
XM_026478327.3	2519	2364.51	0	0
XM_026478328.3	9165	9010.51	0	0
XM_026478329.3	6861	6706.51	21.2202	1.44524
XM_026478331.3	1885	1730.51	0.138811	0.0366385
XM_026478335.3	2818	2663.51	93	15.9484
