target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1456.85	84.2095	9.78969
XM_026478080.3	6046	5893.85	2.39291	0.068762
XM_026478083.3	2509	2356.85	0	0
XM_026478085.3	2434	2281.85	0	0
XM_026478086.3	2425	2272.85	205.136	15.286
XM_026478087.3	2288	2135.85	4.86366	0.385669
XM_026478088.3	2224	2071.85	0	0
XM_026478089.3	3098	2945.85	129.957	7.47153
XM_026478090.3	1357	1204.85	8.48447	1.19265
XM_026478091.3	1312	1159.85	0	0
XM_026478092.3	1300	1147.85	67.5155	9.96189
XM_026478094.3	1697	1544.85	0.000485999	5.32809e-05
XM_026478095.3	3596	3443.85	105.295	5.17826
XM_026478097.3	993	840.846	10.6919	2.15358
XM_026478098.3	10841	10688.8	0	0
XM_026478099.3	2079	1926.85	0	0
XM_026478100.3	7847	7694.85	236.989	5.21615
XM_026478101.3	6255	6102.85	61.0107	1.69315
XM_026478102.3	4900	4747.85	14.7804	0.527242
XM_026478103.3	1628	1475.85	28.2196	3.23841
XM_026478105.3	4341	4188.85	42	1.69815
XM_026478106.1	1359	1206.85	0	0
XM_026478107.1	1359	1206.85	0	0
XM_026478108.3	4405	4252.85	14.0227	0.558436
XM_026478109.3	4078	3925.85	64.6216	2.78783
XM_026478110.3	4041	3888.85	42.3557	1.84464
XM_026478114.3	3144	2991.85	0	0
XM_026478122.3	5800	5647.85	0	0
XM_026478124.3	5185	5032.85	4.77425	0.160662
XM_026478126.3	4573	4420.85	21.8003	0.835176
XM_026478127.3	1566	1413.85	253	30.3068
XM_026478128.3	1294	1141.85	323	47.9089
XM_026478129.3	1343	1190.85	100	14.2222
XM_026478130.3	1386	1233.85	0	0
XM_026478131.3	1762	1609.85	64.117	6.74544
XM_026478132.3	1759	1606.85	10.883	1.14708
XM_026478133.2	3175	3022.85	8741.12	489.748
XM_026478135.3	3662	3509.85	13	0.627302
XM_026478136.3	3554	3401.85	406	20.2131
XM_026478139.3	2722	2569.85	45.8417	3.02117
XM_026478140.3	2348	2195.85	97.4633	7.51728
XM_026478142.3	4236	4083.85	0	0
XM_026478143.3	338	189.76	136	121.382
XM_026478144.3	8601	8448.85	2.18617	0.0438235
XM_026478146.3	3833	3680.85	25.4878	1.17275
XM_026478150.3	2311	2158.85	194	15.2195
XM_026478151.3	6755	6602.85	0	0
XM_026478153.3	7000	6847.85	0	0
XM_026478159.3	2152	1999.85	0	0
XM_026478163.3	9279	9126.85	7.60932	0.141204
XM_026478165.3	2434	2281.85	762.427	56.5892
XM_026478167.3	1687	1534.85	0	0
XM_026478168.3	2138	1985.85	15	1.27928
XM_026478169.3	9315	9162.85	1956	36.1543
XM_026478170.3	3852	3699.85	10.9544	0.501448
XM_026478173.3	4464	4311.85	8.08695	0.317646
XM_026478174.3	5197	5044.85	10.3483	0.347411
XM_026478175.3	8598	8445.85	282.071	5.65635
XM_026478176.3	11857	11704.8	75.5337	1.09294
XM_026478179.3	8427	8274.85	1690.2	34.594
XM_026478180.3	843	690.846	0	0
XM_026478181.3	2987	2834.85	121	7.22899
XM_026478182.3	8430	8277.85	115.768	2.3686
XM_026478183.3	10477	10324.8	315	5.16712
XM_026478185.3	3015	2862.85	0	0
XM_026478189.3	2391	2238.85	142.981	10.8162
XM_026478191.3	6588	6435.85	206.934	5.44564
XM_026478192.3	6767	6614.85	25.6714	0.657281
XM_026478193.3	6597	6444.85	47.3444	1.24416
XM_026478194.3	6585	6432.85	367.407	9.67311
XM_026478195.3	5023	4870.85	22.089	0.768057
XM_026478196.3	6484	6331.85	1.33718	0.0357668
