target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1468.45	57.0273	5.92489
XM_026478080.3	6046	5905.45	2.43755	0.0629735
XM_026478083.3	2509	2368.45	0	0
XM_026478085.3	2434	2293.45	0	0
XM_026478086.3	2425	2284.45	136	9.08267
XM_026478087.3	2288	2147.45	0	0
XM_026478088.3	2224	2083.45	0.000249849	1.82958e-05
XM_026478089.3	3098	2957.45	82.7112	4.26682
XM_026478090.3	1357	1216.45	0	0
XM_026478091.3	1312	1171.45	0	0
XM_026478092.3	1300	1159.45	57	7.50031
XM_026478094.3	1697	1556.45	0	0
XM_026478095.3	3596	3455.45	95	4.19446
XM_026478097.3	993	852.453	0	0
XM_026478098.3	10841	10700.5	0	0
XM_026478099.3	2079	1938.45	0.0605865	0.00476846
XM_026478100.3	7847	7706.45	309.372	6.12469
XM_026478101.3	6255	6114.45	50.6282	1.26326
XM_026478102.3	4900	4759.45	15.6945	0.503092
XM_026478103.3	1628	1487.45	23.3055	2.39042
XM_026478105.3	4341	4200.45	43	1.56182
XM_026478106.1	1359	1218.45	0	0
XM_026478107.1	1359	1218.45	0	0
XM_026478108.3	4405	4264.45	24.4257	0.87386
XM_026478109.3	4078	3937.45	31.8088	1.23251
XM_026478110.3	4041	3900.45	28.7654	1.12516
XM_026478114.3	3144	3003.45	12.2409	0.621801
XM_026478122.3	5800	5659.45	0	0
XM_026478124.3	5185	5044.45	2.36442	0.0715104
XM_026478126.3	4573	4432.45	19	0.653984
XM_026478127.3	1566	1425.45	178	19.0513
XM_026478128.3	1294	1153.45	316.977	41.9261
XM_026478129.3	1343	1202.45	67.1258	8.51685
XM_026478130.3	1386	1245.45	12.8742	1.57707
XM_026478131.3	1762	1621.45	0	0
XM_026478132.3	1759	1618.45	15	1.414
XM_026478133.2	3175	3034.45	6380.05	320.776
XM_026478135.3	3662	3521.45	12	0.519897
XM_026478136.3	3554	3413.45	327	14.6154
XM_026478139.3	2722	2581.45	0	0
XM_026478140.3	2348	2207.45	108.258	7.48214
XM_026478142.3	4236	4095.45	0	0
XM_026478143.3	338	199.996	80	61.0276
XM_026478144.3	8601	8460.45	1.77442	0.0319979
XM_026478146.3	3833	3692.45	30.3123	1.25245
XM_026478150.3	2311	2170.45	136	9.55974
XM_026478151.3	6755	6614.45	0	0
XM_026478153.3	7000	6859.45	7	0.155692
XM_026478159.3	2152	2011.45	0	0
XM_026478163.3	9279	9138.45	0	0
XM_026478165.3	2434	2293.45	414.871	27.5982
XM_026478167.3	1687	1546.45	0	0
XM_026478168.3	2138	1997.45	16	1.22208
XM_026478169.3	9315	9174.45	1656.62	27.5487
XM_026478170.3	3852	3711.45	16.1453	0.663682
XM_026478173.3	4464	4323.45	13	0.458744
XM_026478174.3	5197	5056.45	7.36106	0.222102
XM_026478175.3	8598	8457.45	351.319	6.33752
XM_026478176.3	11857	11716.5	64.217	0.836202
XM_026478179.3	8427	8286.45	1544.77	28.4414
XM_026478180.3	843	702.453	0	0
XM_026478181.3	2987	2846.45	105	5.62786
XM_026478182.3	8430	8289.45	341.915	6.29289
XM_026478183.3	10477	10336.5	282	4.16232
XM_026478185.3	3015	2874.45	0	0
XM_026478189.3	2391	2250.45	120.989	8.20224
XM_026478191.3	6588	6447.45	21.2258	0.502266
XM_026478192.3	6767	6626.45	3.30149	0.0760127
XM_026478193.3	6597	6456.45	1.43105e-05	3.38158e-07
XM_026478194.3	6585	6444.45	350.888	8.30693
XM_026478195.3	5023	4882.45	15.5196	0.484952
XM_026478196.3	6484	6343.45	0	0
XM_026478199.3	4589	4448.45	960.526	32.9426
XM_026478200.3	4000	3859.45	73	2.88572
XM_026478202.3	21305	21164.5	0	0
XM_026478203.3	4061	3920.45	75.0489	2.92056
XM_026478206.2	939	798.453	0	0
XM_026478207.3	1835	1694.45	2	0.180077
XM_026478208.3	1465	1324.45	5802	668.342
XM_026478212.3	5507	5366.45	1	0.0284296
XM_026478213.3	1113	972.453	0	0
XM_026478215.3	1955	1814.45	0	0
XM_026478216.3	3721	3580.45	63.831	2.71989
