target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1448.99	9.7261	4.20952
XM_026478080.3	6046	5885.98	3.36313	0.358329
XM_026478083.3	2509	2348.99	19	5.0726
XM_026478085.3	2434	2273.99	0	0
XM_026478086.3	2425	2264.99	4.25021	1.1768
XM_026478087.3	2288	2127.99	10.7498	3.16803
XM_026478088.3	2224	2063.99	0	0
XM_026478089.3	3098	2937.99	45.1845	9.6449
XM_026478090.3	1357	1196.99	16.9146	8.86196
XM_026478091.3	1312	1151.99	0	0
XM_026478092.3	1300	1139.99	10.0854	5.5482
XM_026478094.3	1697	1536.99	5.43613	2.21808
XM_026478095.3	3596	3435.99	12.2682	2.23916
XM_026478097.3	993	832.985	4.47098	3.36607
XM_026478098.3	10841	10681	11.8439	0.69541
XM_026478099.3	2079	1918.99	0	0
XM_026478100.3	7847	7686.98	116	9.46367
XM_026478101.3	6255	6094.98	0	0
XM_026478102.3	4900	4739.98	20.6085	2.72664
XM_026478103.3	1628	1467.99	14.3915	6.1481
XM_026478105.3	4341	4180.98	10	1.49996
XM_026478106.1	1359	1198.99	0	0
XM_026478107.1	1359	1198.99	0	0
XM_026478108.3	4405	4244.98	14.2551	2.10596
XM_026478109.3	4078	3917.99	0.0726268	0.011625
XM_026478110.3	4041	3880.99	14.6723	2.3709
XM_026478114.3	3144	2983.99	0	0
XM_026478122.3	5800	5639.98	0	0
XM_026478124.3	5185	5024.98	9.65854	1.20541
XM_026478126.3	4573	4412.98	192.765	27.3939
XM_026478127.3	1566	1405.99	113	50.4029
XM_026478128.3	1294	1133.99	104.983	58.0591
XM_026478129.3	1343	1182.99	34.5813	18.3324
XM_026478130.3	1386	1225.99	8.4187	4.30643
XM_026478131.3	1762	1601.99	0.187605	0.073442
XM_026478132.3	1759	1598.99	1.81239	0.71083
XM_026478133.2	3175	3014.99	1943.32	404.219
XM_026478135.3	3662	3501.99	11	1.96986
XM_026478136.3	3554	3393.99	168	31.0425
XM_026478139.3	2722	2561.99	53.5017	13.0963
XM_026478140.3	2348	2187.99	0	0
XM_026478142.3	4236	4075.99	8.38349	1.28988
XM_026478143.3	338	180.377	15	52.1515
XM_026478144.3	8601	8440.99	11.2861	0.838509
XM_026478146.3	3833	3672.99	0	0
XM_026478150.3	2311	2150.99	57	16.6186
XM_026478151.3	6755	6594.98	0	0
XM_026478153.3	7000	6839.98	12.0142	1.10153
XM_026478159.3	2152	1991.99	0	0
XM_026478163.3	9279	9118.99	0.40176	0.0276298
XM_026478165.3	2434	2273.99	157.234	43.3627
XM_026478167.3	1687	1526.99	0	0
XM_026478168.3	2138	1977.99	3	0.951165
XM_026478169.3	9315	9154.99	443.176	30.3582
XM_026478170.3	3852	3691.99	15.0131	2.55017
XM_026478173.3	4464	4303.98	1.01219	0.147485
XM_026478174.3	5197	5036.98	16.9587	2.11144
XM_026478175.3	8598	8437.99	0	0
XM_026478176.3	11857	11697	29.8166	1.59861
XM_026478179.3	8427	8266.99	602.314	45.6913
XM_026478180.3	843	682.985	0	0
XM_026478181.3	2987	2826.99	55	12.201
XM_026478182.3	8430	8269.99	0.43638	0.0330916
XM_026478183.3	10477	10317	120	7.29434
XM_026478185.3	3015	2854.99	0	0
XM_026478189.3	2391	2230.99	103	28.9533
XM_026478191.3	6588	6427.98	6.5419	0.638244
XM_026478192.3	6767	6606.98	1.22635	0.116404
XM_026478193.3	6597	6436.98	8.07244	0.786465
XM_026478194.3	6585	6424.98	135.075	13.1844
XM_026478195.3	5023	4862.98	18.3904	2.37162
XM_026478196.3	6484	6323.98	0.0975844	0.00967714
XM_026478199.3	4589	4428.98	484.548	68.6104
XM_026478200.3	4000	3839.99	62	10.1256
XM_026478202.3	21305	21145	85.958	2.54939
XM_026478203.3	4061	3900.99	38.3971	6.1728
XM_026478206.2	939	778.985	0	0
XM_026478207.3	1835	1674.99	5	1.87205
XM_026478208.3	1465	1304.99	803	385.894
XM_026478212.3	5507	5346.98	8	0.938293
XM_026478213.3	1113	952.985	0	0
XM_026478215.3	1955	1794.99	0	0
XM_026478216.3	3721	3560.99	11.0882	1.95276
XM_026478217.3	1659	1498.99	0	0
XM_026478218.3	4039	3878.99	10.1345	1.63849
XM_026478219.3	6333	6172.98	114	11.5816
XM_026478220.3	4558	4397.98	3	0.427784
XM_026478221.1	1824	1663.99	0	0
XM_026478223.3	7229	7068.98	371.91	32.9942
XM_026478225.3	4249	4088.99	41.0326	6.29319
XM_026478230.1	882	721.985	0	0
XM_026478231.3	2913	2752.99	0	0
XM_026478232.3	4392	4231.98	251.249	37.2321
XM_026478237.3	4071	3910.99	0	0
XM_026478240.3	2392	2231.99	5.81759	1.63459
XM_026478241.3	4790	4629.98	15.6489	2.11964
XM_026478243.3	7888	7727.98	62.1266	5.0416
XM_026478244.3	2279	2118.99	0	0
XM_026478256.3	15206	15046	0.0014537	6.05916e-05
XM_026478257.3	2506	2345.99	0	0
XM_026478258.3	2525	2364.99	0	0
XM_026478259.3	6504	6343.98	162.316	16.0456
XM_026478260.3	2509	2348.99	0	0
XM_026478261.3	2458	2297.99	86.5437	23.6181
XM_026478262.3	3255	3094.99	0	0
XM_026478263.3	2242	2081.99	2	0.602435
XM_026478265.3	5688	5527.98	19.4812	2.21008
XM_026478267.3	6675	6514.98	69.2199	6.66308
XM_026478270.3	1033	872.985	37	26.5798
XM_026478271.3	1861	1700.99	103.986	38.3381
XM_026478272.3	4162	4001.99	58.551	9.17521
XM_026478273.3	930	769.985	537	437.371
XM_026478274.3	1809	1648.99	19.3021	7.34083
XM_026478276.3	5005	4844.98	0	0
XM_026478278.3	5047	4886.98	0	0
XM_026478279.3	5035	4874.98	14.1433	1.81942
XM_026478280.3	4894	4733.98	0.00201865	0.000267418
XM_026478282.3	8406	8245.99	0	0
XM_026478283.3	8394	8233.99	0	0
XM_026478284.3	8294	8133.98	37.8996	2.92206
XM_026478285.3	8279	8118.98	0.00871723	0.00067334
XM_026478290.3	4690	4529.98	40	5.53759
XM_026478291.3	7074	6913.98	53.348	4.83891
XM_026478292.3	6933	6772.98	21.9249	2.03009
XM_026478293.3	6961	6800.98	15.6657	1.44456
XM_026478295.3	6712	6551.98	12.0615	1.15448
XM_026478296.3	9714	9553.99	0	0
XM_026478297.3	4637	4476.98	30.6527	4.29379
XM_026478298.3	4580	4419.98	37.5952	5.3342
XM_026478299.3	9699	9538.99	0	0
XM_026478300.3	4622	4461.98	1.6727e-05	2.35097e-06
XM_026478303.3	9076	8915.99	43.4245	3.05438
XM_026478308.3	9177	9016.99	59.6878	4.15127
XM_026478309.3	1777	1616.99	61	23.6582
XM_026478311.3	1579	1418.99	59.1244	26.1304
XM_026478312.3	2647	2486.99	10	2.52165
XM_026478313.3	513	353.064	0	0
XM_026478317.3	5855	5694.98	64	7.04766
XM_026478318.3	3547	3386.99	31	5.73992
XM_026478320.3	8741	8580.99	82.8097	6.05204
XM_026478321.3	3804	3643.99	296	50.9416
XM_026478322.3	2471	2310.99	4.89144	1.32739
XM_026478323.3	2809	2648.99	14.8504	3.51573
XM_026478326.3	5940	5779.98	0	0
XM_026478327.3	2519	2358.99	1.38084	0.367093
XM_026478328.3	9165	9004.99	4.28683	0.298546
XM_026478329.3	6861	6700.98	0	0
XM_026478331.3	1885	1724.99	19.9124	7.23928
XM_026478335.3	2818	2657.99	80	18.8753
XM_026478337.3	3820	3659.99	1	0.171348
XM_026478339.3	11121	10961	6.92815	0.396392
XM_026478340.3	11278	11118	88.2119	4.97575
XM_026478341.3	6045	5884.98	0	0
XM_026478347.3	3434	3273.99	0	0
XM_026478348.3	907	746.985	162	136.007
XM_026478350.3	3299	3138.99	0	0
XM_026478352.3	1414	1253.99	0	0
XM_026478353.3	1391	1230.99	15	7.64181
XM_026478355.3	1613	1452.99	69.258	29.8928
XM_026478356.3	1219	1058.99	22.742	13.4678
XM_026478358.3	1976	1815.99	55.7509	19.253
XM_026478361.3	335	177.54	0	0
XM_026478362.3	1440	1279.99	2261	1107.78
XM_026478365.3	1806	1645.99	0	0
XM_026478366.3	2953	2792.99	19	4.26621
XM_026478368.3	1990	1829.99	19.392	6.64558
XM_026478371.3	2783	2622.99	80.0099	19.1296
XM_026478372.3	2782	2621.99	66.9901	16.0228
XM_026478373.3	3090	2929.99	0	0
XM_026478374.3	2298	2137.99	0	0
XM_026478375.3	2175	2014.99	0	0
XM_026478376.3	1983	1822.99	0	0
XM_026478377.2	1899	1738.99	0	0
XM_026478378.2	1782	1621.99	0	0
XM_026478379.3	1764	1603.99	0	0
XM_026478380.3	605	444.985	10	14.0933
XM_026478382.3	1944	1783.99	40.2366	14.1445
XM_026478383.3	1914	1753.99	0	0
XM_026478386.3	2059	1898.99	66.9008	22.0936
XM_026478387.3	5606	5445.98	2.96934e-07	3.41933e-08
XM_026478388.3	5437	5276.98	0	0
XM_026478389.3	4186	4025.99	34	5.2962
XM_026478391.3	7161	7000.98	212	18.9904
XM_026478392.3	4871	4710.98	37	4.92547
XM_026478393.3	2107	1946.99	0	0
XM_026478394.3	3354	3193.99	23.7376	4.66081
XM_026478396.3	1980	1819.99	96	33.0796
XM_026478397.3	1470	1309.99	1	0.478731
XM_026478400.3	5098	4937.98	0	0
XM_026478401.3	4206	4045.99	2	0.310001
XM_026478403.2	1315	1154.99	0	0
XM_026478413.3	527	367.064	2583	4413.06
XM_026478414.3	5797	5636.98	0	0
XM_026478415.3	5787	5626.98	16.3119	1.81796
XM_026478417.3	5782	5621.98	0	0
XM_026478418.3	5772	5611.98	6.26896	0.700546
XM_026478419.3	5766	5605.98	0	0
XM_026478420.3	5757	5596.98	99.5744	11.1571
XM_026478421.3	5752	5591.98	0	0
XM_026478422.3	5742	5581.98	39.2116	4.40538
XM_026478423.3	14639	14479	168.8	7.31124
XM_026478424.3	12168	12008	448.132	23.4042
XM_026478426.3	2725	2564.99	311	76.0384
XM_026478427.3	3132	2971.99	42.7403	9.0188
XM_026478429.3	2934	2773.99	0	0
XM_026478431.2	1706	1545.99	0	0
XM_026478432.3	4236	4075.99	435.986	67.0807
XM_026478433.3	9958	9797.99	34.0918	2.18208
XM_026478435.3	11864	11704	2.07819e-08	1.11355e-09
XM_026478436.3	11736	11576	0	0
XM_026478437.2	1170	1009.99	0	0
XM_026478438.3	3358	3197.99	70.6484	13.8543
XM_026478440.3	11861	11701	339.995	18.2225
XM_026478443.3	1892	1731.99	10	3.62087
XM_026478445.2	996	835.985	0	0
XM_026478446.3	8351	8190.98	0	0
XM_026478448.3	8322	8161.98	7.89155	0.606351
XM_026478449.3	8343	8182.98	0	0
XM_026478450.3	8347	8186.98	4.84282	0.370964
XM_026478451.3	9211	9050.99	0	0
XM_026478452.3	9208	9047.99	35.7953	2.48103
XM_026478453.3	2394	2233.99	14.9618	4.2001
XM_026478454.3	2401	2240.99	172.038	48.1442
XM_026478455.2	4157	3996.99	5	0.784504
XM_026478456.3	3058	2897.99	106.789	23.1094
XM_026478458.3	18169	18009	377.68	13.152
XM_026478459.3	17911	17751	0	0
XM_026478460.3	2874	2713.99	0	0
XM_026478461.3	5383	5222.98	1171	140.603
XM_026478462.3	2452	2291.99	39.9133	10.921
XM_026478463.3	6859	6698.98	134.077	12.5517
XM_026478464.3	7383	7222.98	17.5362	1.52256
XM_026478465.3	7567	7406.98	0	0
XM_026478466.3	7394	7233.98	184.265	15.9743
XM_026478467.3	7382	7221.98	0	0
XM_026478468.3	7283	7122.98	0	0
XM_026478469.3	7190	7029.98	0	0
XM_026478470.3	7223	7062.98	0	0
XM_026478471.3	3606	3445.99	0	0
XM_026478472.3	789	628.985	0	0
XM_026478473.3	1807	1646.99	5	1.90387
XM_026478474.3	705	544.985	0	0
XM_026478476.3	2229	2068.99	4	1.21244
XM_026478478.3	2422	2261.99	27	7.48568
XM_026478479.3	3922	3761.99	0.00107902	0.000179875
XM_026478480.3	3897	3736.99	16.4451	2.75976
XM_026478481.3	3784	3623.99	10.7035	1.85224
XM_026478482.3	3759	3598.99	0	0
XM_026478483.3	6695	6534.98	20.1562	1.93429
XM_026478485.3	6655	6494.98	0	0
XM_026478492.3	5348	5187.98	12.3915	1.4979
XM_026478494.3	29744	29584	371.775	7.881
XM_026478495.3	4099	3938.99	0	0
XM_026478496.3	4071	3910.99	0	0
XM_026478508.2	1563	1402.99	0	0
XM_026478509.3	3378	3217.99	8	1.55906
XM_026478510.3	1249	1088.99	32	18.4283
XM_026478514.3	4197	4036.99	58	9.01007
XM_026478515.3	1793	1632.99	40	15.3616
XM_026478517.3	3331	3170.99	0.241349	0.047732
XM_026478518.3	3328	3167.99	0.758651	0.150181
XM_026478521.3	2895	2734.99	16.3964	3.75968
XM_026478522.3	804	643.985	6.1079	5.94804
XM_026478524.3	2946	2785.99	37	8.32876
XM_026478527.3	2690	2529.99	0	0
XM_026478528.3	2552	2391.99	100.944	26.4655
XM_026478529.3	2662	2501.99	25.0558	6.28032
XM_026478531.3	1315	1154.99	0	0
XM_026478532.3	714	553.985	35.8921	40.6311
XM_026478534.3	1354	1193.99	0	0
XM_026478535.3	3220	3059.99	21.5765	4.42199
XM_026478536.3	3226	3065.99	19.5603	4.00095
XM_026478539.3	752	591.985	83	87.9275
XM_026478540.3	1929	1768.99	5	1.77257
XM_026478541.3	5671	5510.98	7.1232	0.810594
XM_026478543.3	3350	3189.99	4.8768	0.958746
XM_026478544.3	4146	3985.99	7.55516	1.18868
XM_026478545.3	8428	8267.99	55.5144	4.21079
XM_026478546.3	4180	4019.99	0	0
XM_026478548.3	4847	4686.98	11.4448	1.53135
XM_026478549.3	8569	8408.99	23	1.71531
XM_026478553.3	5480	5319.98	46.0218	5.42513
XM_026478554.3	8413	8252.99	61.8037	4.69635
XM_026478555.3	5414	5253.98	7.0696	0.843846
XM_026478556.3	6915	6754.98	0	0
XM_026478557.3	3410	3249.99	24.4196	4.71211
XM_026478564.3	10082	9921.99	121	7.64794
XM_026478565.3	1446	1285.99	40.995	19.9918
XM_026478566.3	4481	4320.98	82	11.9011
XM_026478568.3	1447	1286.99	16.005	7.79902
XM_026478569.3	1580	1419.99	0	0
XM_026478570.3	10374	10214	131.542	8.07658
XM_026478572.3	14600	14440	36.2051	1.57239
XM_026478573.3	2048	1887.99	0	0
XM_026478575.3	4220	4059.99	0	0
XM_026478577.3	4109	3948.99	0	0
XM_026478578.3	3990	3829.99	0	0
XM_026478583.3	3888	3727.99	0	0
XM_026478584.3	4007	3846.99	20.5638	3.35227
XM_026478585.3	10399	10239	0	0
XM_026478586.3	10271	10111	0.00080365	4.98461e-05
XM_026478587.3	10344	10184	0.171611	0.0105678
XM_026478589.3	10096	9935.99	0	0
XM_026478592.3	8688	8527.99	535	39.3428
XM_026478593.3	1678	1517.99	11	4.54446
XM_026478594.3	1877	1716.99	0	0
XM_026478596.3	4810	4649.98	10.3528	1.39625
