target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1450.88	166.226	56.453
XM_026478080.3	6046	5887.88	7.33832	0.614126
XM_026478083.3	2509	2350.88	10.5672	2.21487
XM_026478085.3	2434	2275.88	15.4328	3.34129
XM_026478086.3	2425	2266.88	44.8134	9.74088
XM_026478087.3	2288	2129.88	11.1866	2.58798
XM_026478088.3	2224	2065.88	1.12937e-08	2.69371e-09
XM_026478089.3	3098	2939.88	84.2534	14.1214
XM_026478090.3	1357	1198.88	0	0
XM_026478091.3	1312	1153.88	5.76579	2.46216
XM_026478092.3	1300	1141.88	38.2342	16.4987
XM_026478094.3	1697	1538.88	0	0
XM_026478095.3	3596	3437.88	57	8.16964
XM_026478097.3	993	834.884	0	0
XM_026478098.3	10841	10682.9	15.8906	0.732944
XM_026478099.3	2079	1920.88	0.062968	0.0161525
XM_026478100.3	7847	7688.88	212.67	13.629
XM_026478101.3	6255	6096.88	39.0176	3.15335
XM_026478102.3	4900	4741.88	50.4637	5.24381
XM_026478103.3	1628	1469.88	21.5363	7.21952
XM_026478105.3	4341	4182.88	17	2.00259
XM_026478106.1	1359	1200.88	0	0
XM_026478107.1	1359	1200.88	0	0
XM_026478108.3	4405	4246.88	31.4641	3.6506
XM_026478109.3	4078	3919.88	22.5359	2.83284
XM_026478110.3	4041	3882.88	0	0
XM_026478114.3	3144	2985.88	18.2041	3.00411
XM_026478122.3	5800	5641.88	0	0
XM_026478124.3	5185	5026.88	21.0126	2.05969
XM_026478126.3	4573	4414.88	704.209	78.5963
XM_026478127.3	1566	1407.88	107	37.4487
XM_026478128.3	1294	1135.88	120.821	52.4118
XM_026478129.3	1343	1184.88	54.9783	22.8631
XM_026478130.3	1386	1227.88	19.0217	7.63327
XM_026478131.3	1762	1603.88	0	0
XM_026478132.3	1759	1600.88	3	0.923381
XM_026478133.2	3175	3016.88	4282.38	699.433
XM_026478135.3	3662	3503.88	32	4.50008
XM_026478136.3	3554	3395.88	294	42.6593
XM_026478139.3	2722	2563.88	52.8179	10.1509
XM_026478140.3	2348	2189.88	0	0
XM_026478142.3	4236	4077.88	18.6907	2.25845
XM_026478143.3	338	181.599	23	62.407
XM_026478144.3	8601	8442.88	14.1772	0.82741
XM_026478146.3	3833	3674.88	0.000102508	1.37447e-05
XM_026478150.3	2311	2152.88	85	19.4544
XM_026478151.3	6755	6596.88	0	0
XM_026478153.3	7000	6841.88	20.3292	1.46408
XM_026478159.3	2152	1993.88	0	0
XM_026478163.3	9279	9120.88	2.0617	0.11138
XM_026478165.3	2434	2275.88	270.44	58.5517
XM_026478167.3	1687	1528.88	0	0
XM_026478168.3	2138	1979.88	26	6.47073
XM_026478169.3	9315	9156.88	609.226	32.7831
XM_026478170.3	3852	3693.88	46.2071	6.16376
XM_026478173.3	4464	4305.88	5.04	0.57675
XM_026478174.3	5197	5038.88	27.9989	2.73796
XM_026478175.3	8598	8439.88	39.661	2.31551
XM_026478176.3	11857	11698.9	76.8366	3.23626
XM_026478179.3	8427	8268.88	790.091	47.0814
XM_026478180.3	843	684.884	0	0
XM_026478181.3	2987	2828.88	66	11.496
XM_026478182.3	8430	8271.88	1.08085	0.0643847
XM_026478183.3	10477	10318.9	254	12.1289
XM_026478185.3	3015	2856.88	0	0
XM_026478189.3	2391	2232.88	176.754	39.0052
XM_026478191.3	6588	6429.88	3.95114	0.302788
XM_026478192.3	6767	6608.88	1.18267	0.0881772
XM_026478193.3	6597	6438.88	0.621335	0.0475482
XM_026478194.3	6585	6426.88	205.422	15.7495
XM_026478195.3	5023	4864.88	30.7761	3.11718
XM_026478196.3	6484	6325.88	3.54071	0.275796
XM_026478199.3	4589	4430.88	614.626	68.3503
XM_026478200.3	4000	3841.88	85	10.9017
XM_026478202.3	21305	21146.9	4.15887e-06	9.69056e-08
XM_026478203.3	4061	3902.88	39.1761	4.94602
XM_026478206.2	939	780.884	0	0
