target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1469.44	0	0
XM_026478080.3	6046	5906.44	9.5609	0.8303
XM_026478083.3	2509	2369.44	0	0
XM_026478085.3	2434	2294.44	0	0
XM_026478086.3	2425	2285.44	0	0
XM_026478087.3	2288	2148.44	0	0
XM_026478088.3	2224	2084.44	2	0.492156
XM_026478089.3	3098	2958.44	91.1408	15.802
XM_026478090.3	1357	1217.44	21.3301	8.98684
XM_026478091.3	1312	1172.44	0	0
XM_026478092.3	1300	1160.44	1.66993	0.738139
XM_026478094.3	1697	1557.44	2.71946	0.895639
XM_026478095.3	3596	3456.44	7.28054	1.08043
XM_026478097.3	993	853.439	0	0
XM_026478098.3	10841	10701.4	0	0
XM_026478099.3	2079	1939.44	0.0743192	0.0196556
XM_026478100.3	7847	7707.44	80.7197	5.37194
XM_026478101.3	6255	6115.44	34.9646	2.93266
XM_026478102.3	4900	4760.44	0	0
XM_026478103.3	1628	1488.44	0	0
XM_026478105.3	4341	4201.44	1	0.122085
XM_026478106.1	1359	1219.44	0	0
XM_026478107.1	1359	1219.44	0	0
XM_026478108.3	4405	4265.44	11.7015	1.40715
XM_026478109.3	4078	3938.44	7.16153e-06	9.32704e-07
XM_026478110.3	4041	3901.44	0.298483	0.0392425
XM_026478114.3	3144	3004.44	0	0
XM_026478122.3	5800	5660.44	0	0
XM_026478124.3	5185	5045.44	22.8932	2.32739
XM_026478126.3	4573	4433.44	36.6484	4.2401
XM_026478127.3	1566	1426.44	35	12.5857
XM_026478128.3	1294	1154.44	41	18.2169
XM_026478129.3	1343	1203.44	0	0
XM_026478130.3	1386	1246.44	10	4.1152
XM_026478131.3	1762	1622.44	0	0
XM_026478132.3	1759	1619.44	0	0
XM_026478133.2	3175	3035.44	1067.48	180.384
XM_026478135.3	3662	3522.44	1	0.145619
XM_026478136.3	3554	3414.44	101	15.1727
XM_026478139.3	2722	2582.44	23.955	4.75804
XM_026478140.3	2348	2208.44	0	0
XM_026478142.3	4236	4096.44	0	0
XM_026478143.3	338	199.139	6	15.4546
XM_026478144.3	8601	8461.44	8.64846	0.524272
XM_026478146.3	3833	3693.44	0	0
XM_026478150.3	2311	2171.44	31	7.32278
XM_026478151.3	6755	6615.44	5.25406e-08	4.07379e-09
XM_026478153.3	7000	6860.44	0	0
XM_026478159.3	2152	2012.44	2.05626	0.524104
XM_026478163.3	9279	9139.44	34.6459	1.94444
XM_026478165.3	2434	2294.44	83.4259	18.6503
XM_026478167.3	1687	1547.44	5.09289	1.68816
XM_026478168.3	2138	1998.44	21	5.39002
XM_026478169.3	9315	9175.44	240.424	13.4404
XM_026478170.3	3852	3712.44	10.6743	1.47483
XM_026478173.3	4464	4324.44	7.01361	0.831905
XM_026478174.3	5197	5057.44	40.5825	4.11595
XM_026478175.3	8598	8458.44	28.8617	1.75022
XM_026478176.3	11857	11717.4	18.3517	0.803351
XM_026478179.3	8427	8287.44	135.784	8.40407
XM_026478180.3	843	703.439	551	401.779
XM_026478181.3	2987	2847.44	18	3.2425
XM_026478182.3	8430	8290.44	2.24284e-06	1.38766e-07
XM_026478183.3	10477	10337.4	65	3.22524
XM_026478185.3	3015	2875.44	0	0
XM_026478189.3	2391	2251.44	261.214	59.5112
XM_026478191.3	6588	6448.44	19.5208	1.55276
XM_026478192.3	6767	6627.44	0	0
XM_026478193.3	6597	6457.44	2.0875e-05	1.65816e-06
XM_026478194.3	6585	6445.44	32.1676	2.55993
XM_026478195.3	5023	4883.44	7.76135	0.815217
XM_026478196.3	6484	6344.44	0	0
XM_026478199.3	4589	4449.44	146.207	16.8549
XM_026478200.3	4000	3860.44	131	17.4059
XM_026478202.3	21305	21165.4	21.4213	0.519134
XM_026478203.3	4061	3921.44	23.4013	3.06096
XM_026478206.2	939	799.439	0	0
XM_026478207.3	1835	1695.44	1	0.302538
XM_026478208.3	1465	1325.44	1126	435.753
XM_026478212.3	5507	5367.44	13.5675	1.29656
XM_026478213.3	1113	973.439	0	0
XM_026478215.3	1955	1815.44	11.2546	3.17987
XM_026478216.3	3721	3581.44	35.6137	5.1006
XM_026478217.3	1659	1519.44	8.08556	2.72954
XM_026478218.3	4039	3899.44	27.9957	3.68258
XM_026478219.3	6333	6193.44	118	9.77264
XM_026478220.3	4558	4418.44	7	0.812627
XM_026478221.1	1824	1684.44	0	0
XM_026478223.3	7229	7089.44	0.000517667	3.74542e-05
XM_026478225.3	4249	4109.44	12.5506	1.56655
XM_026478230.1	882	742.439	0	0
XM_026478231.3	2913	2773.44	0	0
XM_026478232.3	4392	4252.44	100.357	12.1052
XM_026478237.3	4071	3931.44	0	0
XM_026478240.3	2392	2252.44	0	0
XM_026478241.3	4790	4650.44	17.4889	1.92899
XM_026478243.3	7888	7748.44	47.555	3.14807
XM_026478244.3	2279	2139.44	0	0
XM_026478256.3	15206	15066.4	2.05327e-08	6.99032e-10
XM_026478257.3	2506	2366.44	0	0
XM_026478258.3	2525	2385.44	2.34597	0.504448
XM_026478259.3	6504	6364.44	153.596	12.3789
XM_026478260.3	2509	2369.44	22.0081	4.76429
XM_026478261.3	2458	2318.44	76.0392	16.823
XM_026478262.3	3255	3115.44	8.13205	1.33888
XM_026478263.3	2242	2102.44	5	1.21986
XM_026478265.3	5688	5548.44	20.4527	1.89079
XM_026478267.3	6675	6535.44	0	0
XM_026478270.3	1033	893.439	30	17.2234
XM_026478271.3	1861	1721.44	39.8664	11.8789
XM_026478272.3	4162	4022.44	43.4625	5.54227
XM_026478273.3	930	790.439	672	436.077
XM_026478274.3	1809	1669.44	6.61819	2.03344
XM_026478276.3	5005	4865.44	0	0
XM_026478278.3	5047	4907.44	0	0
XM_026478279.3	5035	4895.44	0	0
XM_026478280.3	4894	4754.44	0.284256	0.0306671
XM_026478282.3	8406	8266.44	0	0
XM_026478283.3	8394	8254.44	0	0
XM_026478284.3	8294	8154.44	1.96433	0.123562
XM_026478285.3	8279	8139.44	15.6452	0.985938
XM_026478290.3	4690	4550.44	11	1.23994
XM_026478291.3	7074	6934.44	12.9675	0.959197
XM_026478292.3	6933	6793.44	0	0
XM_026478293.3	6961	6821.44	26.5543	1.99673
XM_026478295.3	6712	6572.44	5.4782	0.427536
XM_026478296.3	9714	9574.44	0	0
XM_026478297.3	4637	4497.44	35.2264	4.01758
XM_026478298.3	4580	4440.44	1.36624e-07	1.57821e-08
XM_026478299.3	9699	9559.44	0	0
XM_026478300.3	4622	4482.44	0	0
XM_026478303.3	9076	8936.44	13.3889	0.768497
XM_026478308.3	9177	9037.44	16.7335	0.949734
XM_026478309.3	1777	1637.44	77	24.1206
XM_026478311.3	1579	1439.44	32.4597	11.5668
XM_026478312.3	2647	2507.44	5	1.02283
XM_026478313.3	513	373.478	0	0
XM_026478317.3	5855	5715.44	73.7223	6.61624
XM_026478318.3	3547	3407.44	19.0576	2.86881
XM_026478320.3	8741	8601.44	0	0
XM_026478321.3	3804	3664.44	495	69.2883
XM_026478322.3	2471	2331.44	41.1212	9.04698
XM_026478323.3	2809	2669.44	12.2625	2.35624
XM_026478326.3	5940	5800.44	24.1631	2.13675
XM_026478327.3	2519	2379.44	4.33576e-08	9.34657e-09
XM_026478328.3	9165	9025.44	0	0
XM_026478329.3	6861	6721.44	0	0
XM_026478331.3	1885	1745.44	10.3559	3.04329
XM_026478335.3	2818	2678.44	225	43.0886
XM_026478337.3	3820	3680.44	0	0
XM_026478339.3	11121	10981.4	0	0
XM_026478340.3	11278	11138.4	0	0
XM_026478341.3	6045	5905.44	17.1146	1.48654
XM_026478347.3	3434	3294.44	0	0
XM_026478348.3	907	767.439	97	64.8321
XM_026478350.3	3299	3159.44	0	0
XM_026478352.3	1414	1274.44	0	0
XM_026478353.3	1391	1251.44	3	1.22963
XM_026478355.3	1613	1473.44	18.6985	6.50932
XM_026478356.3	1219	1079.44	3.30154	1.56885
XM_026478358.3	1976	1836.44	22.1114	6.17591
XM_026478361.3	335	196.178	1.88862	4.93806
XM_026478362.3	1440	1300.44	1731	682.762
XM_026478365.3	1806	1666.44	0	0
XM_026478366.3	2953	2813.44	15	2.73474
XM_026478368.3	1990	1850.44	5.20439	1.44264
XM_026478371.3	2783	2643.44	20.1441	3.90877
XM_026478372.3	2782	2642.44	30.8559	5.98957
XM_026478373.3	3090	2950.44	0	0
XM_026478374.3	2298	2158.44	0	0
XM_026478375.3	2175	2035.44	0	0
XM_026478376.3	1983	1843.44	0	0
XM_026478377.2	1899	1759.44	0	0
XM_026478378.2	1782	1642.44	0	0
XM_026478379.3	1764	1624.44	0	0
XM_026478380.3	605	465.439	5	5.51023
XM_026478382.3	1944	1804.44	10.9642	3.11671
XM_026478383.3	1914	1774.44	0	0
XM_026478386.3	2059	1919.44	47.4269	12.674
XM_026478387.3	5606	5466.44	11	1.03217
XM_026478388.3	5437	5297.44	0	0
XM_026478389.3	4186	4046.44	6	0.760572
XM_026478391.3	7161	7021.44	173	12.6381
XM_026478392.3	4871	4731.44	0	0
XM_026478393.3	2107	1967.44	0	0
XM_026478394.3	3354	3214.44	1	0.159572
XM_026478396.3	1980	1840.44	43	11.9842
XM_026478397.3	1470	1330.44	3	1.15661
XM_026478400.3	5098	4958.44	470.152	48.6357
XM_026478401.3	4206	4066.44	2	0.252277
XM_026478403.2	1315	1175.44	0	0
XM_026478413.3	527	387.478	848	1122.56
XM_026478414.3	5797	5657.44	0.0570177	0.00516954
XM_026478415.3	5787	5647.44	0.418716	0.0380303
XM_026478417.3	5782	5642.44	1.13619	0.103287
XM_026478418.3	5772	5632.44	8.38808	0.763885
XM_026478419.3	5766	5626.44	0	0
XM_026478420.3	5757	5617.44	0	0
XM_026478421.3	5752	5612.44	0	0
XM_026478422.3	5742	5602.44	0	0
XM_026478423.3	14639	14499.4	52.4022	1.85379
XM_026478424.3	12168	12028.4	1.17204e-05	4.99797e-07
XM_026478426.3	2725	2585.44	1	0.198394
XM_026478427.3	3132	2992.44	0	0
XM_026478429.3	2934	2794.44	0	0
XM_026478431.2	1706	1566.44	1	0.327453
XM_026478432.3	4236	4096.44	219.345	27.4653
XM_026478433.3	9958	9818.44	3.00696	0.157089
XM_026478435.3	11864	11724.4	0	0
XM_026478436.3	11736	11596.4	0	0
XM_026478437.2	1170	1030.44	0	0
