target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1480.64	0	0
XM_026478080.3	6046	5917.64	0	0
XM_026478083.3	2509	2380.64	0	0
XM_026478085.3	2434	2305.64	0	0
XM_026478086.3	2425	2296.64	36	6.82744
XM_026478087.3	2288	2159.64	0	0
XM_026478088.3	2224	2095.64	0	0
XM_026478089.3	3098	2969.64	12.6294	1.85237
XM_026478090.3	1357	1228.64	0	0
XM_026478091.3	1312	1183.64	0	0
XM_026478092.3	1300	1171.64	36	13.3831
XM_026478094.3	1697	1568.64	0	0
XM_026478095.3	3596	3467.64	0	0
XM_026478097.3	993	864.642	0	0
XM_026478098.3	10841	10712.6	4.42989	0.180113
XM_026478099.3	2079	1950.64	0	0
XM_026478100.3	7847	7718.64	8.23959	0.464957
XM_026478101.3	6255	6126.64	21.7604	1.54701
XM_026478102.3	4900	4771.64	4.19975	0.383358
XM_026478103.3	1628	1499.64	1.01025e-07	2.9342e-08
XM_026478105.3	4341	4212.64	2	0.206787
XM_026478106.1	1359	1230.64	0	0
XM_026478107.1	1359	1230.64	0	0
XM_026478108.3	4405	4276.64	18.3681	1.87072
XM_026478109.3	4078	3949.64	10.6319	1.17247
XM_026478110.3	4041	3912.64	0	0
XM_026478114.3	3144	3015.64	11	1.58877
XM_026478122.3	5800	5671.64	0	0
XM_026478124.3	5185	5056.64	1.35594	0.116795
XM_026478126.3	4573	4444.64	22.7238	2.22686
XM_026478127.3	1566	1437.64	145	43.9305
XM_026478128.3	1294	1165.64	37.9766	14.1906
XM_026478129.3	1343	1214.64	32.8327	11.7735
XM_026478130.3	1386	1257.64	8.16732	2.8286
XM_026478131.3	1762	1633.64	0.161563	0.0430759
XM_026478132.3	1759	1630.64	1.83844	0.491064
XM_026478133.2	3175	3046.64	497.761	71.162
XM_026478135.3	3662	3533.64	0	0
XM_026478136.3	3554	3425.64	12	1.52577
XM_026478139.3	2722	2593.64	41.1232	6.90598
XM_026478140.3	2348	2219.64	13.397	2.62889
XM_026478142.3	4236	4107.64	0	0
XM_026478143.3	338	209.883	144	298.836
XM_026478144.3	8601	8472.64	0	0
XM_026478146.3	3833	3704.64	13	1.52843
XM_026478150.3	2311	2182.64	230	45.898
XM_026478151.3	6755	6626.64	0	0
XM_026478153.3	7000	6871.64	45.8109	2.90374
XM_026478159.3	2152	2023.64	0	0
XM_026478163.3	9279	9150.64	1.18787	0.0565414
XM_026478165.3	2434	2305.64	105.65	19.9585
XM_026478167.3	1687	1558.64	0	0
XM_026478168.3	2138	2009.64	10	2.16735
XM_026478169.3	9315	9186.64	81	3.8404
XM_026478170.3	3852	3723.64	11.0248	1.28959
XM_026478173.3	4464	4335.64	1.00679	0.101142
XM_026478174.3	5197	5068.64	0	0
XM_026478175.3	8598	8469.64	533.898	27.4563
XM_026478176.3	11857	11728.6	23.2056	0.861775
XM_026478179.3	8427	8298.64	812.027	42.6198
XM_026478180.3	843	714.642	0	0
XM_026478181.3	2987	2858.64	47	7.16121
XM_026478182.3	8430	8301.64	0.0753768	0.00395478
XM_026478183.3	10477	10348.6	53	2.2307
XM_026478185.3	3015	2886.64	0	0
XM_026478189.3	2391	2262.64	0	0
XM_026478191.3	6588	6459.64	0	0
XM_026478192.3	6767	6638.64	0	0
XM_026478193.3	6597	6468.64	0	0
XM_026478194.3	6585	6456.64	0	0
XM_026478195.3	5023	4894.64	7.59867	0.676184
XM_026478196.3	6484	6355.64	0.056194	0.00385105
XM_026478199.3	4589	4460.64	69.363	6.77297
XM_026478200.3	4000	3871.64	268	30.15
XM_026478202.3	21305	21176.6	0	0
XM_026478203.3	4061	3932.64	20	2.2151
XM_026478206.2	939	810.642	0	0
XM_026478207.3	1835	1706.64	2	0.51043
XM_026478208.3	1465	1336.64	224	72.993
XM_026478212.3	5507	5378.64	1.00821	0.0816443
