target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1490.66	0	0
XM_026478080.3	6046	5927.66	12.0128	1.07475
XM_026478083.3	2509	2390.66	0	0
XM_026478085.3	2434	2315.66	6	1.37412
XM_026478086.3	2425	2306.66	0	0
XM_026478087.3	2288	2169.66	0	0
XM_026478088.3	2224	2105.66	3	0.755581
XM_026478089.3	3098	2979.66	108.519	19.3147
XM_026478090.3	1357	1238.66	20.8575	8.93013
XM_026478091.3	1312	1193.66	0	0
XM_026478092.3	1300	1181.66	0.142488	0.063949
XM_026478094.3	1697	1578.66	0	0
XM_026478095.3	3596	3477.66	14	2.13496
XM_026478097.3	993	874.664	0	0
XM_026478098.3	10841	10722.7	0	0
XM_026478099.3	2079	1960.66	0.191842	0.0518907
XM_026478100.3	7847	7728.66	93.6845	6.42853
XM_026478101.3	6255	6136.66	19.3155	1.66926
XM_026478102.3	4900	4781.66	1	0.11091
XM_026478103.3	1628	1509.66	0	0
XM_026478105.3	4341	4222.66	2	0.251184
XM_026478106.1	1359	1240.66	0	0
XM_026478107.1	1359	1240.66	0	0
XM_026478108.3	4405	4286.66	0	0
XM_026478109.3	4078	3959.66	12	1.60721
XM_026478110.3	4041	3922.66	0	0
XM_026478114.3	3144	3025.66	0	0
XM_026478122.3	5800	5681.66	0	0
XM_026478124.3	5185	5066.66	26.5832	2.78249
XM_026478126.3	4573	4454.66	29.2621	3.48369
XM_026478127.3	1566	1447.66	25	9.15843
XM_026478128.3	1294	1175.66	22.9238	10.3407
XM_026478129.3	1343	1224.66	19	8.22783
XM_026478130.3	1386	1267.66	0	0
XM_026478131.3	1762	1643.66	0	0
XM_026478132.3	1759	1640.66	0	0
XM_026478133.2	3175	3056.66	1050.21	182.212
XM_026478135.3	3662	3543.66	0	0
XM_026478136.3	3554	3435.66	82	12.6576
XM_026478139.3	2722	2603.66	0	0
XM_026478140.3	2348	2229.66	0	0
XM_026478142.3	4236	4117.66	0	0
XM_026478143.3	338	219.853	3	7.23664
XM_026478144.3	8601	8482.66	12.6901	0.793381
XM_026478146.3	3833	3714.66	0	0
XM_026478150.3	2311	2192.66	39	9.43281
XM_026478151.3	6755	6636.66	0	0
XM_026478153.3	7000	6881.66	37.5102	2.89071
XM_026478159.3	2152	2033.66	5.00047	1.30401
XM_026478163.3	9279	9160.66	18.831	1.09017
XM_026478165.3	2434	2315.66	78.7323	18.0313
XM_026478167.3	1687	1568.66	7.66989	2.59303
XM_026478168.3	2138	2019.66	12	3.15102
XM_026478169.3	9315	9196.66	167.059	9.63362
XM_026478170.3	3852	3733.66	23.4909	3.33666
XM_026478173.3	4464	4345.66	3.00301	0.366479
XM_026478174.3	5197	5078.66	45.8005	4.78266
XM_026478175.3	8598	8479.66	0	0
XM_026478176.3	11857	11738.7	79.3513	3.58496
XM_026478179.3	8427	8308.66	168.74	10.7705
XM_026478180.3	843	724.664	3028	2215.99
XM_026478181.3	2987	2868.66	9	1.66384
XM_026478182.3	8430	8311.66	0.000182928	1.16719e-05
XM_026478183.3	10477	10358.7	64	3.27661
XM_026478185.3	3015	2896.66	0	0
XM_026478189.3	2391	2272.66	245.442	57.2746
XM_026478191.3	6588	6469.66	0	0
XM_026478192.3	6767	6648.66	0	0
XM_026478193.3	6597	6478.66	0	0
XM_026478194.3	6585	6466.66	25.9298	2.12651
XM_026478195.3	5023	4904.66	11.3811	1.23062
XM_026478196.3	6484	6365.66	0	0
XM_026478199.3	4589	4470.66	89.4304	10.6087
XM_026478200.3	4000	3881.66	154	21.0403
XM_026478202.3	21305	21186.7	53.1802	1.33118
XM_026478203.3	4061	3942.66	45	6.05301
XM_026478206.2	939	820.664	0	0
XM_026478207.3	1835	1716.66	0	0
XM_026478208.3	1465	1346.66	886	348.918
XM_026478212.3	5507	5388.66	11.039	1.08642
XM_026478213.3	1113	994.664	0	0
XM_026478215.3	1955	1836.66	6.20638	1.79208
XM_026478216.3	3721	3602.66	0	0
XM_026478217.3	1659	1540.66	0.814427	0.280345
XM_026478218.3	4039	3920.66	21.2283	2.87146
XM_026478219.3	6333	6214.66	122	10.411
XM_026478220.3	4558	4439.66	3	0.35836
XM_026478221.1	1824	1705.66	0	0
XM_026478223.3	7229	7110.66	12.7419	0.950327
XM_026478225.3	4249	4130.66	11.3783	1.46085
XM_026478230.1	882	763.664	0	0
XM_026478231.3	2913	2794.66	0	0
XM_026478232.3	4392	4273.66	107.24	13.3078
XM_026478237.3	4071	3952.66	6.35747	0.852988
XM_026478240.3	2392	2273.66	2.75416	0.642409
XM_026478241.3	4790	4671.66	7.11353	0.807536
XM_026478243.3	7888	7769.66	16.8961	1.15327
XM_026478244.3	2279	2160.66	0	0
XM_026478256.3	15206	15087.7	21.5668	0.758074
XM_026478257.3	2506	2387.66	6.91386	1.53566
XM_026478258.3	2525	2406.66	1.18793e-07	2.61773e-08
XM_026478259.3	6504	6385.66	104.668	8.6927
XM_026478260.3	2509	2390.66	7.40144	1.6419
XM_026478261.3	2458	2339.66	102.291	23.1863
XM_026478262.3	3255	3136.66	11.3304	1.9157
XM_026478263.3	2242	2123.66	3	0.749176
XM_026478265.3	5688	5569.66	16.9296	1.612
XM_026478267.3	6675	6556.66	0.025154	0.00203457
XM_026478270.3	1033	914.664	34	19.7136
XM_026478271.3	1861	1742.66	60.4852	18.407
XM_026478272.3	4162	4043.66	29.0393	3.80855
XM_026478273.3	930	811.664	625	408.369
XM_026478274.3	1809	1690.66	3	0.94105
XM_026478276.3	5005	4886.66	0	0
XM_026478278.3	5047	4928.66	0	0
XM_026478279.3	5035	4916.66	0	0
XM_026478280.3	4894	4775.66	2.79843	0.310763
XM_026478282.3	8406	8287.66	1.81565e-05	1.16185e-06
XM_026478283.3	8394	8275.66	0	0
XM_026478284.3	8294	8175.66	28.6866	1.86082
XM_026478285.3	8279	8160.66	6.51902e-05	4.23648e-06
XM_026478290.3	4690	4571.66	12	1.39205
XM_026478291.3	7074	6955.66	49.8562	3.80127
XM_026478292.3	6933	6814.66	3.32614e-07	2.58848e-08
XM_026478293.3	6961	6842.66	0	0
XM_026478295.3	6712	6593.66	4.14382	0.33329
XM_026478296.3	9714	9595.66	0.000897406	4.95978e-05
XM_026478297.3	4637	4518.66	5.15744e-05	6.05303e-06
XM_026478298.3	4580	4461.66	31.3162	3.72238
XM_026478299.3	9699	9580.66	45.888	2.54011
XM_026478300.3	4622	4503.66	0	0
XM_026478303.3	9076	8957.66	13.7226	0.812439
XM_026478308.3	9177	9058.66	5.26009	0.307948
XM_026478309.3	1777	1658.66	84	26.8577
XM_026478311.3	1579	1460.66	25.9372	9.41719
XM_026478312.3	2647	2528.66	5	1.04864
XM_026478313.3	513	394.798	0	0
XM_026478317.3	5855	5736.66	30.709	2.83893
XM_026478318.3	3547	3428.66	21.8582	3.38094
XM_026478320.3	8741	8622.66	0	0
XM_026478321.3	3804	3685.66	461	66.3336
XM_026478322.3	2471	2352.66	0	0
XM_026478323.3	2809	2690.66	0	0
XM_026478326.3	5940	5821.66	48.2876	4.39883
XM_026478327.3	2519	2400.66	3.57857	0.790546
XM_026478328.3	9165	9046.66	0	0
XM_026478329.3	6861	6742.66	0	0
XM_026478331.3	1885	1766.66	14.6935	4.41081
XM_026478335.3	2818	2699.66	384	75.4345
XM_026478337.3	3820	3701.66	1	0.143269
XM_026478339.3	11121	11002.7	5.43711	0.262071
XM_026478340.3	11278	11159.7	12.8349	0.609944
XM_026478341.3	6045	5926.66	0	0
XM_026478347.3	3434	3315.66	1	0.159948
XM_026478348.3	907	788.664	116	78.0036
XM_026478350.3	3299	3180.66	12.8376	2.14049
XM_026478352.3	1414	1295.66	1.38434e-08	5.6663e-09
XM_026478353.3	1391	1272.66	2	0.833422
XM_026478355.3	1613	1494.66	11.3807	4.03807
XM_026478356.3	1219	1100.66	10.6193	5.1167
XM_026478358.3	1976	1857.66	15.6833	4.47733
XM_026478361.3	335	216.853	2.16922	5.30502
XM_026478362.3	1440	1321.66	2085	836.63
XM_026478365.3	1806	1687.66	0	0
XM_026478366.3	2953	2834.66	21	3.92886
XM_026478368.3	1990	1871.66	11.9742	3.39286
XM_026478371.3	2783	2664.66	63	12.5385
XM_026478372.3	2782	2663.66	2.3699e-06	4.71846e-07
XM_026478373.3	3090	2971.66	0	0
XM_026478374.3	2298	2179.66	0	0
XM_026478375.3	2175	2056.66	0	0
XM_026478376.3	1983	1864.66	0	0
XM_026478377.2	1899	1780.66	0	0
XM_026478378.2	1782	1663.66	0	0
XM_026478379.3	1764	1645.66	0	0
XM_026478380.3	605	486.715	11	11.9858
XM_026478382.3	1944	1825.66	19.1702	5.5687
XM_026478383.3	1914	1795.66	0	0
XM_026478386.3	2059	1940.66	45.4916	12.4317
XM_026478387.3	5606	5487.66	14	1.35297
XM_026478388.3	5437	5318.66	0	0
XM_026478389.3	4186	4067.66	5	0.651889
XM_026478391.3	7161	7042.66	186	14.0063
XM_026478392.3	4871	4752.66	2	0.223173
XM_026478393.3	2107	1988.66	0	0
XM_026478394.3	3354	3235.66	3	0.491707
XM_026478396.3	1980	1861.66	35	9.97046
XM_026478397.3	1470	1351.66	2	0.784711
XM_026478400.3	5098	4979.66	45.735	4.87076
XM_026478401.3	4206	4087.66	0	0
XM_026478403.2	1315	1196.66	0	0
XM_026478413.3	527	408.798	997	1293.41
XM_026478414.3	5797	5678.66	0	0
XM_026478415.3	5787	5668.66	0	0
XM_026478417.3	5782	5663.66	0	0
XM_026478418.3	5772	5653.66	0	0
XM_026478419.3	5766	5647.66	0.121542	0.0114132
XM_026478420.3	5757	5638.66	0.64759	0.0609077
XM_026478421.3	5752	5633.66	1.6423	0.1546
XM_026478422.3	5742	5623.66	10.5886	0.998542
XM_026478423.3	14639	14520.7	25.498	0.931255
XM_026478424.3	12168	12049.7	40.8763	1.79906
XM_026478426.3	2725	2606.66	7	1.42417
XM_026478427.3	3132	3013.66	0	0
XM_026478429.3	2934	2815.66	0	0
XM_026478431.2	1706	1587.66	1	0.334033
XM_026478432.3	4236	4117.66	194.464	25.0459
XM_026478433.3	9958	9839.66	5.00013	0.269494
XM_026478435.3	11864	11745.7	30.2069	1.36388
XM_026478436.3	11736	11617.7	30.9059	1.41082
XM_026478437.2	1170	1051.66	0	0
XM_026478438.3	3358	3239.66	99.0076	16.2075
XM_026478440.3	11861	11742.7	0.514229	0.0232241
XM_026478443.3	1892	1773.66	6	1.79403
XM_026478445.2	996	877.664	0	0
XM_026478446.3	8351	8232.66	0.464975	0.0299528
XM_026478448.3	8322	8203.66	18.8386	1.21784
XM_026478449.3	8343	8224.66	1.28927	0.0831333
XM_026478450.3	8347	8228.66	0.774164	0.0498945
XM_026478451.3	9211	9092.66	1.6522e-05	9.63649e-07
