target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1455.48	0	0
XM_026478080.3	6046	5892.48	4.87382	0.926823
XM_026478083.3	2509	2355.48	0	0
XM_026478085.3	2434	2280.48	2	0.982719
XM_026478086.3	2425	2271.48	0	0
XM_026478087.3	2288	2134.48	0	0
XM_026478088.3	2224	2070.48	0	0
XM_026478089.3	3098	2944.48	50.581	19.2488
XM_026478090.3	1357	1203.48	0	0
XM_026478091.3	1312	1158.48	6	5.80349
XM_026478092.3	1300	1146.48	0	0
XM_026478094.3	1697	1543.48	0.93608	0.679576
XM_026478095.3	3596	3442.48	9.06392	2.95033
XM_026478097.3	993	839.477	0	0
XM_026478098.3	10841	10687.5	0	0
XM_026478099.3	2079	1925.48	2.70062	1.57163
XM_026478100.3	7847	7693.48	43.2209	6.29501
XM_026478101.3	6255	6101.48	6.77906	1.24497
XM_026478102.3	4900	4746.48	0	0
XM_026478103.3	1628	1474.48	1.83787e-06	1.3967e-06
XM_026478105.3	4341	4187.48	0	0
XM_026478106.1	1359	1205.48	0	0
XM_026478107.1	1359	1205.48	0	0
XM_026478108.3	4405	4251.48	0	0
XM_026478109.3	4078	3924.48	0.000515824	0.000147281
XM_026478110.3	4041	3887.48	4.99948	1.44106
XM_026478114.3	3144	2990.48	2.97972	1.1165
XM_026478122.3	5800	5646.48	0	0
XM_026478124.3	5185	5031.48	3.36692	0.74983
XM_026478126.3	4573	4419.48	4.53645	1.15019
XM_026478127.3	1566	1412.48	14	11.1064
XM_026478128.3	1294	1140.48	21.9732	21.589
XM_026478129.3	1343	1189.48	2	1.88408
XM_026478130.3	1386	1232.48	0	0
XM_026478131.3	1762	1608.48	0	0
XM_026478132.3	1759	1605.48	0	0
XM_026478133.2	3175	3021.48	1075.3	398.782
XM_026478135.3	3662	3508.48	0	0
XM_026478136.3	3554	3400.48	70	23.0666
XM_026478139.3	2722	2568.48	9.92066	4.32803
XM_026478140.3	2348	2194.48	0	0
XM_026478142.3	4236	4082.48	0	0
XM_026478143.3	338	186.257	4	24.0642
XM_026478144.3	8601	8447.48	2.8319	0.375644
XM_026478146.3	3833	3679.48	0	0
XM_026478150.3	2311	2157.48	16	8.30996
XM_026478151.3	6755	6601.48	7.42629	1.26054
XM_026478153.3	7000	6846.48	11.1688	1.82795
XM_026478159.3	2152	1998.48	2	1.12139
XM_026478163.3	9279	9125.48	18.5589	2.27888
XM_026478165.3	2434	2280.48	5.90208	2.90004
XM_026478167.3	1687	1533.48	0	0
XM_026478168.3	2138	1984.48	8	4.5172
XM_026478169.3	9315	9161.48	94.9685	11.6155
XM_026478170.3	3852	3698.48	16.3832	4.96364
XM_026478173.3	4464	4310.48	2.03746	0.52965
XM_026478174.3	5197	5043.48	19.3897	4.30791
XM_026478175.3	8598	8444.48	0	0
XM_026478176.3	11857	11703.5	62.7256	6.00558
XM_026478179.3	8427	8273.48	99.1992	13.4352
XM_026478180.3	843	689.477	72	117.014
XM_026478181.3	2987	2833.48	6	2.37278
XM_026478182.3	8430	8276.48	0.00165883	0.000224585
XM_026478183.3	10477	10323.5	7	0.759796
XM_026478185.3	3015	2861.48	0	0
XM_026478189.3	2391	2237.48	0	0
XM_026478191.3	6588	6434.48	20.1225	3.50424
XM_026478192.3	6767	6613.48	0	0
XM_026478193.3	6597	6443.48	0	0
XM_026478194.3	6585	6431.48	10.1041	1.76039
XM_026478195.3	5023	4869.48	3.09566	0.712355
XM_026478196.3	6484	6330.48	0	0
XM_026478199.3	4589	4435.48	37.2841	9.41907
XM_026478200.3	4000	3846.48	46	13.4005
XM_026478202.3	21305	21151.5	8.68035e-06	4.59856e-07
XM_026478203.3	4061	3907.48	7.23833	2.07571
XM_026478206.2	939	785.477	0	0
XM_026478207.3	1835	1681.48	1	0.666399
XM_026478208.3	1465	1311.48	305	260.594
XM_026478212.3	5507	5353.48	17.1164	3.58262
XM_026478213.3	1113	959.477	0	0
XM_026478215.3	1955	1801.48	0	0
XM_026478216.3	3721	3567.48	1.98433	0.623272
XM_026478217.3	1659	1505.48	3.87681	2.88553
XM_026478218.3	4039	3885.48	0	0
XM_026478219.3	6333	6179.48	55	9.97324
XM_026478220.3	4558	4404.48	2	0.508816
XM_026478221.1	1824	1670.48	0	0
XM_026478223.3	7229	7075.48	0.00108814	0.000172327
XM_026478225.3	4249	4095.48	3.12264	0.854363
XM_026478230.1	882	728.477	0	0
XM_026478231.3	2913	2759.48	0	0
XM_026478232.3	4392	4238.48	138.379	36.5836
XM_026478237.3	4071	3917.48	2.14033	0.612208
XM_026478240.3	2392	2238.48	8.37113	4.19041
XM_026478241.3	4790	4636.48	5.61835	1.35783
XM_026478243.3	7888	7734.48	16.3791	2.37293
XM_026478244.3	2279	2125.48	3.22959	1.70261
XM_026478256.3	15206	15052.5	1.27759e-05	9.51061e-07
XM_026478257.3	2506	2352.48	15.0523	7.16972
XM_026478258.3	2525	2371.48	0	0
XM_026478259.3	6504	6350.48	34.5513	6.09653
XM_026478260.3	2509	2355.48	12.9918	6.18041
XM_026478261.3	2458	2304.48	60.6077	29.47
XM_026478262.3	3255	3101.48	0	0
XM_026478263.3	2242	2088.48	2	1.07306
XM_026478265.3	5688	5534.48	9.15848	1.85427
XM_026478267.3	6675	6521.48	35.8795	6.1649
XM_026478270.3	1033	879.477	17	21.6596
XM_026478271.3	1861	1707.48	15.4377	10.131
XM_026478272.3	4162	4008.48	16.2077	4.53071
XM_026478273.3	930	776.477	350	505.085
XM_026478274.3	1809	1655.48	3	2.03059
XM_026478276.3	5005	4851.48	0	0
XM_026478278.3	5047	4893.48	0	0
XM_026478279.3	5035	4881.48	0	0
XM_026478280.3	4894	4740.48	8.8652	2.09552
XM_026478282.3	8406	8252.48	0	0
XM_026478283.3	8394	8240.48	0	0
XM_026478284.3	8294	8140.48	7.54486	1.03855
XM_026478285.3	8279	8125.48	23.0639	3.1806
XM_026478290.3	4690	4536.48	1	0.247005
XM_026478291.3	7074	6920.48	6.42622	1.04051
XM_026478292.3	6933	6779.48	16.6824	2.75732
XM_026478293.3	6961	6807.48	1.42967e-07	2.35329e-08
XM_026478295.3	6712	6558.48	5.89139	1.00656
XM_026478296.3	9714	9560.48	0	0
XM_026478297.3	4637	4483.48	1.02181	0.255375
XM_026478298.3	4580	4426.48	0	0
XM_026478299.3	9699	9545.48	0	0
XM_026478300.3	4622	4468.48	26.2827	6.59076
XM_026478303.3	9076	8922.48	6	0.753513
XM_026478308.3	9177	9023.48	0	0
XM_026478309.3	1777	1623.48	45	31.0593
XM_026478311.3	1579	1425.48	19	14.9355
XM_026478312.3	2647	2493.48	4	1.79755
XM_026478313.3	513	359.557	0	0
XM_026478317.3	5855	5701.48	32.5857	6.40419
XM_026478318.3	3547	3393.48	12	3.96243
XM_026478320.3	8741	8587.48	0	0
XM_026478321.3	3804	3650.48	255	78.2737
XM_026478322.3	2471	2317.48	7.99963	3.86794
XM_026478323.3	2809	2655.48	0	0
XM_026478326.3	5940	5786.48	1.92932e-05	3.73607e-06
XM_026478327.3	2519	2365.48	0	0
XM_026478328.3	9165	9011.48	0	0
XM_026478329.3	6861	6707.48	0	0
XM_026478331.3	1885	1731.48	5.87441	3.80165
XM_026478335.3	2818	2664.48	187	78.642
XM_026478337.3	3820	3666.48	0	0
XM_026478339.3	11121	10967.5	0	0
XM_026478340.3	11278	11124.5	0	0
XM_026478341.3	6045	5891.48	0	0
XM_026478347.3	3434	3280.48	0	0
XM_026478348.3	907	753.477	61	90.7163
XM_026478350.3	3299	3145.48	0	0
XM_026478352.3	1414	1260.48	3.96318	3.52317
XM_026478353.3	1391	1237.48	4.03682	3.65534
XM_026478355.3	1613	1459.48	15	11.5165
XM_026478356.3	1219	1065.48	0	0
XM_026478358.3	1976	1822.48	15	9.22262
XM_026478361.3	335	183.461	0	0
XM_026478362.3	1440	1286.48	1229	1070.47
XM_026478365.3	1806	1652.48	0	0
XM_026478366.3	2953	2799.48	15	6.00398
XM_026478368.3	1990	1836.48	4.78161	2.91752
XM_026478371.3	2783	2629.48	11.4487	4.8788
XM_026478372.3	2782	2628.48	16.5513	7.0559
XM_026478373.3	3090	2936.48	0	0
XM_026478374.3	2298	2144.48	0	0
XM_026478375.3	2175	2021.48	0	0
XM_026478376.3	1983	1829.48	0	0
XM_026478377.2	1899	1745.48	0	0
XM_026478378.2	1782	1628.48	0	0
XM_026478379.3	1764	1610.48	0	0
XM_026478380.3	605	451.477	3	7.44579
XM_026478382.3	1944	1790.48	8.30772	5.19922
XM_026478383.3	1914	1760.48	0	0
XM_026478386.3	2059	1905.48	23.1085	13.5892
XM_026478387.3	5606	5452.48	16	3.28815
XM_026478388.3	5437	5283.48	0	0
XM_026478389.3	4186	4032.48	4	1.11151
XM_026478391.3	7161	7007.48	95	15.191
XM_026478392.3	4871	4717.48	1	0.237528
XM_026478393.3	2107	1953.48	0	0
XM_026478394.3	3354	3200.48	2	0.70023
XM_026478396.3	1980	1826.48	19	11.6564
XM_026478397.3	1470	1316.48	3	2.55348
XM_026478400.3	5098	4944.48	17.3884	3.94061
XM_026478401.3	4206	4052.48	7	1.93554
XM_026478403.2	1315	1161.48	0	0
XM_026478413.3	527	373.557	431	1292.84
XM_026478414.3	5797	5643.48	0.0747744	0.0148468
XM_026478415.3	5787	5633.48	0.416975	0.0829389
XM_026478417.3	5782	5628.48	0.985791	0.196254
XM_026478418.3	5772	5618.48	5.52246	1.10138
XM_026478419.3	5766	5612.48	0	0
XM_026478420.3	5757	5603.48	0	0
XM_026478421.3	5752	5598.48	0	0
XM_026478422.3	5742	5588.48	0	0
XM_026478423.3	14639	14485.5	7.78472	0.602193
XM_026478424.3	12168	12014.5	19.2153	1.79212
XM_026478426.3	2725	2571.48	2	0.87151
XM_026478427.3	3132	2978.48	0	0
XM_026478429.3	2934	2780.48	0	0
XM_026478431.2	1706	1552.48	0	0
XM_026478432.3	4236	4082.48	111.847	30.6991
XM_026478433.3	9958	9804.48	2	0.228576
XM_026478435.3	11864	11710.5	0.000748668	7.16374e-05
XM_026478436.3	11736	11582.5	2.43406e-05	2.3548e-06
XM_026478437.2	1170	1016.48	0	0
XM_026478438.3	3358	3204.48	50	17.4839
XM_026478440.3	11861	11707.5	24.5479	2.3495
XM_026478443.3	1892	1738.48	4	2.5782
XM_026478445.2	996	842.477	0	0
