target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1481.22	520.471	155.426
XM_026478080.3	6046	5918.22	4.20969	0.314635
XM_026478083.3	2509	2381.22	0	0
XM_026478085.3	2434	2306.22	13	2.49339
XM_026478086.3	2425	2297.22	54.272	10.4501
XM_026478087.3	2288	2160.22	19.724	4.03872
XM_026478088.3	2224	2096.22	0.00399521	0.000843044
XM_026478089.3	3098	2970.22	77.569	11.5517
XM_026478090.3	1357	1229.22	0	0
XM_026478091.3	1312	1184.22	0	0
XM_026478092.3	1300	1172.22	25	9.43361
XM_026478094.3	1697	1569.22	2.72924	0.769316
XM_026478095.3	3596	3468.22	8.76267	1.11758
XM_026478097.3	993	865.224	3.77583	1.93033
XM_026478098.3	10841	10713.2	6.75454	0.278884
XM_026478099.3	2079	1951.22	0	0
XM_026478100.3	7847	7719.22	150.831	8.64303
XM_026478101.3	6255	6127.22	15.1687	1.09505
XM_026478102.3	4900	4772.22	12.5217	1.16063
XM_026478103.3	1628	1500.22	28.4783	8.39665
XM_026478105.3	4341	4213.22	7	0.734906
XM_026478106.1	1359	1231.22	0	0
XM_026478107.1	1359	1231.22	0	0
XM_026478108.3	4405	4277.22	39.2406	4.05809
XM_026478109.3	4078	3950.22	6.7594	0.756893
XM_026478110.3	4041	3913.22	4.11067e-07	4.6465e-08
XM_026478114.3	3144	3016.22	0	0
XM_026478122.3	5800	5672.22	0	0
XM_026478124.3	5185	5057.22	13.7547	1.20306
XM_026478126.3	4573	4445.22	285.47	28.4063
XM_026478127.3	1566	1438.22	89	27.3723
XM_026478128.3	1294	1166.22	117.92	44.7253
XM_026478129.3	1343	1215.22	49.7291	18.101
XM_026478130.3	1386	1258.22	13.2709	4.66543
XM_026478131.3	1762	1634.22	0.321394	0.0869911
XM_026478132.3	1759	1631.22	2.67861	0.726346
XM_026478133.2	3175	3047.22	5236.66	760.148
XM_026478135.3	3662	3534.22	15	1.87735
XM_026478136.3	3554	3426.22	147	18.978
XM_026478139.3	2722	2594.22	68.6913	11.7123
XM_026478140.3	2348	2220.22	0	0
XM_026478142.3	4236	4108.22	17.4859	1.88271
XM_026478143.3	338	210.78	29	60.8578
XM_026478144.3	8601	8473.22	17.6043	0.919004
XM_026478146.3	3833	3705.22	0	0
XM_026478150.3	2311	2183.22	106	21.4761
XM_026478151.3	6755	6627.22	0	0
XM_026478153.3	7000	6872.22	12.0119	0.773146
XM_026478159.3	2152	2024.22	0	0
XM_026478163.3	9279	9151.22	2.0326	0.0982473
XM_026478165.3	2434	2306.22	155.636	29.8508
XM_026478167.3	1687	1559.22	1.82195	0.516865
XM_026478168.3	2138	2010.22	5	1.10021
XM_026478169.3	9315	9187.22	373.496	17.9825
XM_026478170.3	3852	3724.22	22.0531	2.61929
XM_026478173.3	4464	4336.22	23.701	2.4177
XM_026478174.3	5197	5069.22	17.0475	1.48754
XM_026478175.3	8598	8470.22	198.246	10.3528
XM_026478176.3	11857	11729.2	67.4072	2.54206
XM_026478179.3	8427	8299.22	64.7965	3.45352
XM_026478180.3	843	715.224	0	0
XM_026478181.3	2987	2859.22	49	7.58047
XM_026478182.3	8430	8302.22	190.009	10.1235
XM_026478183.3	10477	10349.2	679	29.0209
XM_026478185.3	3015	2887.22	0	0
XM_026478189.3	2391	2263.22	137	26.7757
XM_026478191.3	6588	6460.22	143.111	9.7988
XM_026478192.3	6767	6639.22	5.09343	0.339345
XM_026478193.3	6597	6469.22	43.3805	2.96613
XM_026478194.3	6585	6457.22	620.431	42.5007
XM_026478195.3	5023	4895.22	5.02588	0.454138
XM_026478196.3	6484	6356.22	0	0
XM_026478199.3	4589	4461.22	1127.78	111.82
XM_026478200.3	4000	3872.22	88	10.0524
XM_026478202.3	21305	21177.2	0	0
XM_026478203.3	4061	3933.22	28.8474	3.24419
XM_026478206.2	939	811.224	0	0
XM_026478207.3	1835	1707.22	24	6.21826
XM_026478208.3	1465	1337.22	1985	656.606
XM_026478212.3	5507	5379.22	11.1203	0.914422
XM_026478213.3	1113	985.224	0	0
XM_026478215.3	1955	1827.22	0	0
XM_026478216.3	3721	3593.22	24.266	2.98718
XM_026478217.3	1659	1531.22	1.17693	0.339986
XM_026478218.3	4039	3911.22	13	1.47021
XM_026478219.3	6333	6205.22	131	9.33818
XM_026478220.3	4558	4430.22	4	0.399377
XM_026478221.1	1824	1696.22	0	0
XM_026478223.3	7229	7101.22	484.592	30.185
XM_026478225.3	4249	4121.22	0	0
XM_026478230.1	882	754.224	0	0
XM_026478231.3	2913	2785.22	2.03285	0.322844
XM_026478232.3	4392	4264.22	377.656	39.1746
XM_026478237.3	4071	3943.22	13.6208	1.52792
XM_026478240.3	2392	2264.22	0	0
XM_026478241.3	4790	4662.22	11.4919	1.0903
XM_026478243.3	7888	7760.22	27.2659	1.55415
XM_026478244.3	2279	2151.22	0	0
XM_026478256.3	15206	15078.2	0.00167794	4.92236e-05
XM_026478257.3	2506	2378.22	7.17734	1.33493
XM_026478258.3	2525	2397.22	0	0
XM_026478259.3	6504	6376.22	407.71	28.2837
XM_026478260.3	2509	2381.22	22.1091	4.10695
XM_026478261.3	2458	2330.22	131.581	24.9771
XM_026478262.3	3255	3127.22	16.8683	2.38594
XM_026478263.3	2242	2114.22	5	1.04609
XM_026478265.3	5688	5560.22	37.8957	3.01471
XM_026478267.3	6675	6547.22	29.0338	1.96153
XM_026478270.3	1033	905.224	27	13.1934
XM_026478271.3	1861	1733.22	136.492	34.8338
XM_026478272.3	4162	4034.22	95.6878	10.4917
XM_026478273.3	930	802.224	1017	560.756
XM_026478274.3	1809	1681.22	6	1.57861
XM_026478276.3	5005	4877.22	12.5252	1.13596
XM_026478278.3	5047	4919.22	0	0
XM_026478279.3	5035	4907.22	0	0
XM_026478280.3	4894	4766.22	8.77274	0.814159
XM_026478282.3	8406	8278.22	27.2516	1.45614
XM_026478283.3	8394	8266.22	4.72726e-05	2.52959e-06
XM_026478284.3	8294	8166.22	25.7523	1.3949
XM_026478285.3	8279	8151.22	5.68174e-05	3.08324e-06
XM_026478290.3	4690	4562.22	69	6.68992
XM_026478291.3	7074	6946.22	51.7153	3.29321
XM_026478292.3	6933	6805.22	0	0
XM_026478293.3	6961	6833.22	54.4804	3.52665
XM_026478295.3	6712	6584.22	5.80433	0.389938
XM_026478296.3	9714	9586.22	0	0
XM_026478297.3	4637	4509.22	4.84787e-06	4.75552e-07
XM_026478298.3	4580	4452.22	0.00131331	0.000130479
XM_026478299.3	9699	9571.22	0	0
XM_026478300.3	4622	4494.22	49.2972	4.85195
XM_026478303.3	9076	8948.22	27.4461	1.35673
XM_026478308.3	9177	9049.22	106.019	5.18229
XM_026478309.3	1777	1649.22	72	19.3108
XM_026478311.3	1579	1451.22	57.4443	17.509
XM_026478312.3	2647	2519.22	14	2.45816
XM_026478313.3	513	385.224	0	0
XM_026478317.3	5855	5727.22	32.3668	2.49979
XM_026478318.3	3547	3419.22	46.7584	6.04896
XM_026478320.3	8741	8613.22	0.000137756	7.07448e-06
XM_026478321.3	3804	3676.22	289	34.7732
XM_026478322.3	2471	2343.22	13.3033	2.51127
XM_026478323.3	2809	2681.22	15.645	2.58102
XM_026478326.3	5940	5812.22	1.33846e-06	1.01862e-07
XM_026478327.3	2519	2391.22	0	0
