target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1469.88	143	15.7802
XM_026478080.3	6046	5906.88	2.36642	0.0649819
XM_026478083.3	2509	2369.88	0	0
XM_026478085.3	2434	2294.88	0	0
XM_026478086.3	2425	2285.88	453.301	32.1656
XM_026478087.3	2288	2148.88	19.8377	1.4974
XM_026478088.3	2224	2084.88	37.8609	2.94556
XM_026478089.3	3098	2958.88	133.865	7.33837
XM_026478090.3	1357	1217.88	0	0
XM_026478091.3	1312	1172.88	0	0
XM_026478092.3	1300	1160.88	114	15.9285
XM_026478094.3	1697	1557.88	10.3996	1.08278
XM_026478095.3	3596	3456.88	117.211	5.49975
XM_026478097.3	993	853.881	5.38875	1.02365
XM_026478098.3	10841	10701.9	6.53058	0.0989807
XM_026478099.3	2079	1939.88	0	0
XM_026478100.3	7847	7707.88	237.8	5.00421
XM_026478101.3	6255	6115.88	81.2001	2.15356
XM_026478102.3	4900	4760.88	14.3809	0.489957
XM_026478103.3	1628	1488.88	38.6183	4.20719
XM_026478105.3	4341	4201.88	59	2.27755
XM_026478106.1	1359	1219.88	0	0
XM_026478107.1	1359	1219.88	0	0
XM_026478108.3	4405	4265.88	20.1912	0.767735
XM_026478109.3	4078	3938.88	67.5921	2.78344
XM_026478110.3	4041	3901.88	8.21673	0.341573
XM_026478114.3	3144	3004.88	0	0
XM_026478122.3	5800	5660.88	0	0
XM_026478124.3	5185	5045.88	7.47321	0.240231
XM_026478126.3	4573	4433.88	24.1856	0.884774
XM_026478127.3	1566	1426.88	291	33.0799
XM_026478128.3	1294	1154.88	451	63.3429
XM_026478129.3	1343	1203.88	87.6257	11.8061
XM_026478130.3	1386	1246.88	76.3743	9.93529
XM_026478131.3	1762	1622.88	28.995	2.89798
XM_026478132.3	1759	1619.88	132.005	13.218
XM_026478133.2	3175	3035.88	13280.8	709.573
XM_026478135.3	3662	3522.88	16	0.736683
XM_026478136.3	3554	3414.88	577	27.4068
XM_026478139.3	2722	2582.88	14.1451	0.888299
XM_026478140.3	2348	2208.88	130.341	9.57125
XM_026478142.3	4236	4096.88	10.166	0.402489
XM_026478143.3	338	200.578	278	224.813
XM_026478144.3	8601	8461.88	8.87362	0.170095
XM_026478146.3	3833	3693.88	30.8465	1.35451
XM_026478150.3	2311	2171.88	303	22.629
XM_026478151.3	6755	6615.88	0	0
XM_026478153.3	7000	6860.88	0	0
XM_026478159.3	2152	2012.88	0	0
XM_026478163.3	9279	9139.88	0	0
XM_026478165.3	2434	2294.88	820.225	57.9738
XM_026478167.3	1687	1547.88	0	0
XM_026478168.3	2138	1998.88	40	3.24588
XM_026478169.3	9315	9175.88	2420.97	42.7958
XM_026478170.3	3852	3712.88	27.4747	1.20027
XM_026478173.3	4464	4324.88	3.00736	0.11279
XM_026478174.3	5197	5057.88	13.8891	0.445413
XM_026478175.3	8598	8458.88	117.584	2.25472
XM_026478176.3	11857	11717.9	121.178	1.67738
XM_026478179.3	8427	8287.88	1229.81	24.0688
XM_026478180.3	843	703.881	0	0
XM_026478181.3	2987	2847.88	143	8.14466
XM_026478182.3	8430	8290.88	216.251	4.23073
XM_026478183.3	10477	10337.9	225	3.53029
XM_026478185.3	3015	2875.88	0	0
XM_026478189.3	2391	2251.88	135.592	9.76665
XM_026478191.3	6588	6448.88	264.19	6.64494
XM_026478192.3	6767	6627.88	22.1127	0.541161
XM_026478193.3	6597	6457.88	109.026	2.73842
XM_026478194.3	6585	6445.88	351.725	8.85074
XM_026478195.3	5023	4883.88	30.7556	1.02145
XM_026478196.3	6484	6344.88	0	0
XM_026478199.3	4589	4449.88	1473.2	53.6996
XM_026478200.3	4000	3860.88	236.959	9.95512
XM_026478202.3	21305	21165.9	0	0
XM_026478203.3	4061	3921.88	98.9436	4.09216
XM_026478206.2	939	799.881	0	0
XM_026478207.3	1835	1695.88	2	0.19129
XM_026478208.3	1465	1325.88	9346	1143.35
XM_026478212.3	5507	5367.88	0	0
XM_026478213.3	1113	973.881	0	0
XM_026478215.3	1955	1815.88	11.1468	0.995688
XM_026478216.3	3721	3581.88	118.573	5.36949
XM_026478217.3	1659	1519.88	20.8399	2.22406
XM_026478218.3	4039	3899.88	22.1114	0.919651
XM_026478219.3	6333	6193.88	437	11.444
XM_026478220.3	4558	4418.88	0	0
XM_026478221.1	1824	1684.88	0	0
XM_026478223.3	7229	7089.88	383.751	8.7795
XM_026478225.3	4249	4109.88	0	0
XM_026478230.1	882	742.881	1	0.218343
XM_026478231.3	2913	2773.88	0	0
XM_026478232.3	4392	4252.88	634.794	24.2107
XM_026478237.3	4071	3931.88	31.6187	1.30438
XM_026478240.3	2392	2252.88	34.0759	2.45339
XM_026478241.3	4790	4650.88	5.01644	0.174952
XM_026478243.3	7888	7748.88	11.1728	0.233874
XM_026478244.3	2279	2139.88	10.0855	0.764481
XM_026478256.3	15206	15066.9	6.22149	0.0669777
XM_026478257.3	2506	2366.88	6.81139	0.466786
XM_026478258.3	2525	2385.88	9.33886e-07	6.34898e-08
XM_026478259.3	6504	6364.88	592.205	15.0918
XM_026478260.3	2509	2369.88	0	0
XM_026478261.3	2458	2318.88	201.383	14.0865
XM_026478262.3	3255	3115.88	2.61473	0.136115
XM_026478263.3	2242	2102.88	12	0.925604
XM_026478265.3	5688	5548.88	19.0792	0.557718
XM_026478267.3	6675	6535.88	0.000180629	4.48272e-06
XM_026478270.3	1033	893.881	111	20.142
XM_026478271.3	1861	1721.88	275.42	25.9449
XM_026478272.3	4162	4022.88	226.597	9.1364
XM_026478273.3	930	790.881	6242	1280.18
XM_026478274.3	1809	1669.88	11.2327	1.09108
XM_026478276.3	5005	4865.88	0	0
XM_026478278.3	5047	4907.88	0	0
XM_026478279.3	5035	4895.88	0	0
XM_026478280.3	4894	4754.88	9.55648	0.325999
XM_026478282.3	8406	8266.88	9.29769	0.182428
XM_026478283.3	8394	8254.88	0	0
XM_026478284.3	8294	8154.88	117.647	2.34003
XM_026478285.3	8279	8139.88	0	0
XM_026478290.3	4690	4550.88	993	35.3926
XM_026478291.3	7074	6934.88	238.844	5.58642
XM_026478292.3	6933	6793.88	18.0644	0.431284
XM_026478293.3	6961	6821.88	17.0918	0.40639
XM_026478295.3	6712	6572.88	0	0
XM_026478296.3	9714	9574.88	0	0
XM_026478297.3	4637	4497.88	0.000131316	4.73553e-06
XM_026478298.3	4580	4440.88	78.5799	2.87013
XM_026478299.3	9699	9559.88	0	0
XM_026478300.3	4622	4482.88	3.48332e-07	1.26036e-08
XM_026478303.3	9076	8936.88	2	0.0362997
