target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1485.96	5	1.32182
XM_026478080.3	6046	5922.96	0	0
XM_026478083.3	2509	2385.96	0	0
XM_026478085.3	2434	2310.96	3	0.509963
XM_026478086.3	2425	2301.96	31	5.29022
XM_026478087.3	2288	2164.96	0	0
XM_026478088.3	2224	2100.96	0	0
XM_026478089.3	3098	2974.96	12.9329	1.70775
XM_026478090.3	1357	1233.96	0	0
XM_026478091.3	1312	1188.96	0	0
XM_026478092.3	1300	1176.96	18	6.00786
XM_026478094.3	1697	1573.96	1	0.249583
XM_026478095.3	3596	3472.96	0	0
XM_026478097.3	993	869.963	0	0
XM_026478098.3	10841	10718	0	0
XM_026478099.3	2079	1955.96	0.596927	0.119887
XM_026478100.3	7847	7723.96	7.30016	0.371281
XM_026478101.3	6255	6131.96	11.6998	0.749533
XM_026478102.3	4900	4776.96	8.70385	0.715764
XM_026478103.3	1628	1504.96	2.77452e-08	7.24224e-09
XM_026478105.3	4341	4217.96	1	0.0931338
XM_026478106.1	1359	1235.96	0	0
XM_026478107.1	1359	1235.96	0	0
XM_026478108.3	4405	4281.96	19.1824	1.75983
XM_026478109.3	4078	3954.96	0	0
XM_026478110.3	4041	3917.96	12.8176	1.28516
XM_026478114.3	3144	3020.96	0	0
XM_026478122.3	5800	5676.96	0	0
XM_026478124.3	5185	5061.96	0	0
XM_026478126.3	4573	4449.96	26	2.29524
XM_026478127.3	1566	1442.96	180	49.0036
XM_026478128.3	1294	1170.96	44.9471	15.0789
XM_026478129.3	1343	1219.96	71	22.8624
XM_026478130.3	1386	1262.96	0	0
XM_026478131.3	1762	1638.96	0	0
XM_026478132.3	1759	1635.96	0	0
XM_026478133.2	3175	3051.96	550.277	70.8292
XM_026478135.3	3662	3538.96	1	0.111003
XM_026478136.3	3554	3430.96	14	1.60296
XM_026478139.3	2722	2598.96	41.1892	6.22577
XM_026478140.3	2348	2224.96	98.3906	17.3717
XM_026478142.3	4236	4112.96	0	0
XM_026478143.3	338	215.557	126	229.624
XM_026478144.3	8601	8477.96	0	0
XM_026478146.3	3833	3709.96	16.1607	1.7112
XM_026478150.3	2311	2187.96	206	36.986
XM_026478151.3	6755	6631.96	0	0
XM_026478153.3	7000	6876.96	35.9028	2.05089
XM_026478159.3	2152	2028.96	0	0
XM_026478163.3	9279	9155.96	0.783516	0.0336166
XM_026478165.3	2434	2310.96	59.1048	10.0471
XM_026478167.3	1687	1563.96	0	0
XM_026478168.3	2138	2014.96	2	0.389918
XM_026478169.3	9315	9191.96	85.929	3.67233
XM_026478170.3	3852	3728.96	0	0
XM_026478173.3	4464	4340.96	1.00012	0.0905056
XM_026478174.3	5197	5073.96	4.63482	0.358836
XM_026478175.3	8598	8474.96	360.652	16.7171
XM_026478176.3	11857	11734	16.2357	0.543546
XM_026478179.3	8427	8303.96	987.928	46.7358
XM_026478180.3	843	720.13	0	0
XM_026478181.3	2987	2863.96	25	3.42912
XM_026478182.3	8430	8306.96	60.42	2.85725
XM_026478183.3	10477	10354	36	1.36586
XM_026478185.3	3015	2891.96	0	0
XM_026478189.3	2391	2267.96	0	0
XM_026478191.3	6588	6464.96	0	0
XM_026478192.3	6767	6643.96	0	0
XM_026478193.3	6597	6473.96	0	0
XM_026478194.3	6585	6461.96	0	0
XM_026478195.3	5023	4899.96	3.11504	0.249736
XM_026478196.3	6484	6360.96	0.171427	0.0105868
XM_026478199.3	4589	4465.96	76.226	6.70499
XM_026478200.3	4000	3876.96	277	28.0672
XM_026478202.3	21305	21182	0	0
XM_026478203.3	4061	3937.96	14	1.39658
XM_026478206.2	939	816.13	0	0
XM_026478207.3	1835	1711.96	2	0.458929
XM_026478208.3	1465	1341.96	219	64.1082
XM_026478212.3	5507	5383.96	4.31223	0.314637
XM_026478213.3	1113	989.963	0	0
XM_026478215.3	1955	1831.96	6.18906	1.32715
XM_026478216.3	3721	3597.96	19.3565	2.11339
XM_026478217.3	1659	1535.96	5.98427	1.53052
XM_026478218.3	4039	3915.96	0	0
XM_026478219.3	6333	6209.96	124	7.8441
XM_026478220.3	4558	4434.96	0	0
XM_026478221.1	1824	1700.96	0	0
XM_026478223.3	7229	7105.96	65	3.59336
XM_026478225.3	4249	4125.96	54.0047	5.14182
XM_026478230.1	882	759.13	0	0
XM_026478231.3	2913	2789.96	0	0
XM_026478232.3	4392	4268.96	140	12.883
XM_026478237.3	4071	3947.96	0	0
XM_026478240.3	2392	2268.96	0	0
XM_026478241.3	4790	4666.96	1.27174	0.107047
XM_026478243.3	7888	7764.96	9.08227	0.459478
XM_026478244.3	2279	2155.96	5.73836	1.04558
XM_026478256.3	15206	15083	5.30682e-05	1.38216e-06
XM_026478257.3	2506	2382.96	0	0
XM_026478258.3	2525	2401.96	0.07262	0.0118768
XM_026478259.3	6504	6380.96	129.221	7.9553
XM_026478260.3	2509	2385.96	0	0
XM_026478261.3	2458	2334.96	20.8185	3.50251
XM_026478262.3	3255	3131.96	0	0
XM_026478263.3	2242	2118.96	22	4.07859
XM_026478265.3	5688	5564.96	12.0339	0.849483
XM_026478267.3	6675	6551.96	0	0
XM_026478270.3	1033	909.963	67	28.9242
XM_026478271.3	1861	1737.96	78.7665	17.8037
XM_026478272.3	4162	4038.96	77.2335	7.51184
XM_026478273.3	930	807.13	140	68.1389
XM_026478274.3	1809	1685.96	1	0.233003
XM_026478276.3	5005	4881.96	0	0
XM_026478278.3	5047	4923.96	0	0
XM_026478279.3	5035	4911.96	0	0
XM_026478280.3	4894	4770.96	1.98003	0.163033
XM_026478282.3	8406	8282.96	0	0
XM_026478283.3	8394	8270.96	0	0
XM_026478284.3	8294	8170.96	19.4269	0.933988
XM_026478285.3	8279	8155.96	3.1992e-05	1.54091e-06
XM_026478290.3	4690	4566.96	26	2.23643
XM_026478291.3	7074	6950.96	54.6242	3.0871
XM_026478292.3	6933	6809.96	0	0
XM_026478293.3	6961	6837.96	26.3758	1.51527
XM_026478295.3	6712	6588.96	0	0
XM_026478296.3	9714	9590.96	0	0
XM_026478297.3	4637	4513.96	7.44942e-07	6.48298e-08
XM_026478298.3	4580	4456.96	18.9922	1.67396
XM_026478299.3	9699	9575.96	0	0
XM_026478300.3	4622	4498.96	32.5924	2.84586
XM_026478303.3	9076	8952.96	1.0999	0.0482608
XM_026478308.3	9177	9053.96	0	0
XM_026478309.3	1777	1653.96	23	5.46276
XM_026478311.3	1579	1455.96	39.4323	10.6393
XM_026478312.3	2647	2523.96	2	0.311284
XM_026478313.3	513	390.217	0	0
XM_026478317.3	5855	5731.96	74	5.07153
XM_026478318.3	3547	3423.96	33	3.78613
XM_026478320.3	8741	8617.96	64.5377	2.94184
XM_026478321.3	3804	3680.96	535	57.0956
XM_026478322.3	2471	2347.96	3.31975	0.555423
XM_026478323.3	2809	2685.96	0	0
XM_026478326.3	5940	5816.96	0	0
XM_026478327.3	2519	2395.96	5.7225	0.938245
XM_026478328.3	9165	9041.96	0	0
XM_026478329.3	6861	6737.96	37.8514	2.2068
XM_026478331.3	1885	1761.96	19	4.23611
XM_026478335.3	2818	2694.96	31	4.51876
XM_026478337.3	3820	3696.96	0	0
XM_026478339.3	11121	10998	2.91699	0.104192
XM_026478340.3	11278	11155	0	0
