target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1482.3	11	3.26285
XM_026478080.3	6046	5919.3	0	0
XM_026478083.3	2509	2382.3	9	1.66106
XM_026478085.3	2434	2307.3	0	0
XM_026478086.3	2425	2298.3	0	0
XM_026478087.3	2288	2161.3	0	0
XM_026478088.3	2224	2097.3	22	4.61214
XM_026478089.3	3098	2971.3	3.1092	0.460089
XM_026478090.3	1357	1230.3	0	0
XM_026478091.3	1312	1185.3	0	0
XM_026478092.3	1300	1173.3	30	11.2423
XM_026478094.3	1697	1570.3	1.51928	0.425398
XM_026478095.3	3596	3469.3	5.48072	0.694602
XM_026478097.3	993	866.296	0	0
XM_026478098.3	10841	10714.3	12.2204	0.501488
XM_026478099.3	2079	1952.3	0.0696253	0.0156805
XM_026478100.3	7847	7720.3	29.0966	1.6571
XM_026478101.3	6255	6128.3	17.9034	1.2845
XM_026478102.3	4900	4773.3	1.44953	0.133521
XM_026478103.3	1628	1501.3	3.18479e-08	9.32725e-09
XM_026478105.3	4341	4214.3	1	0.104331
XM_026478106.1	1359	1232.3	0	0
XM_026478107.1	1359	1232.3	0	0
XM_026478108.3	4405	4278.3	9.71927	0.998855
XM_026478109.3	4078	3951.3	14.2807	1.5891
XM_026478110.3	4041	3914.3	0	0
XM_026478114.3	3144	3017.3	6.45894	0.941203
XM_026478122.3	5800	5673.3	0	0
XM_026478124.3	5185	5058.3	2.53023	0.219935
XM_026478126.3	4573	4446.3	19.3387	1.91235
XM_026478127.3	1566	1439.3	141	43.0734
XM_026478128.3	1294	1167.3	39.9116	15.0334
XM_026478129.3	1343	1216.3	51	18.4362
XM_026478130.3	1386	1259.3	0	0
XM_026478131.3	1762	1635.3	0	0
XM_026478132.3	1759	1632.3	0	0
XM_026478133.2	3175	3048.3	877.569	126.58
XM_026478135.3	3662	3535.3	1	0.12437
XM_026478136.3	3554	3427.3	41	5.25983
XM_026478139.3	2722	2595.3	0	0
XM_026478140.3	2348	2221.3	54.7852	10.8442
XM_026478142.3	4236	4109.3	0	0
XM_026478143.3	338	211.515	132	274.393
XM_026478144.3	8601	8474.3	1.7793	0.092318
XM_026478146.3	3833	3706.3	26.3035	3.12042
XM_026478150.3	2311	2184.3	156	31.4017
XM_026478151.3	6755	6628.3	0	0
XM_026478153.3	7000	6873.3	45.822	2.93122
XM_026478159.3	2152	2025.3	0	0
XM_026478163.3	9279	9152.3	0	0
XM_026478165.3	2434	2307.3	143.167	27.2821
XM_026478167.3	1687	1560.3	0	0
XM_026478168.3	2138	2011.3	35	7.65124
XM_026478169.3	9315	9188.3	178.462	8.53985
XM_026478170.3	3852	3725.3	9.65103	1.13908
XM_026478173.3	4464	4337.3	1.00011	0.101384
XM_026478174.3	5197	5070.3	2.5548	0.221546
XM_026478175.3	8598	8471.3	227.676	11.817
XM_026478176.3	11857	11730.3	22.0718	0.82731
XM_026478179.3	8427	8300.3	927.891	49.1522
XM_026478180.3	843	716.296	0	0
XM_026478181.3	2987	2860.3	62	9.53061
XM_026478182.3	8430	8303.3	269.432	14.2672
XM_026478183.3	10477	10350.3	553	23.4916
XM_026478185.3	3015	2888.3	0	0
XM_026478189.3	2391	2264.3	0	0
XM_026478191.3	6588	6461.3	0	0
XM_026478192.3	6767	6640.3	0	0
XM_026478193.3	6597	6470.3	0	0
XM_026478194.3	6585	6458.3	0	0
XM_026478195.3	5023	4896.3	1.55636	0.139759
XM_026478196.3	6484	6357.3	0.0952528	0.00658787
XM_026478199.3	4589	4462.3	198.935	19.6016
XM_026478200.3	4000	3873.3	217	24.6331
XM_026478202.3	21305	21178.3	8.65678	0.179724
XM_026478203.3	4061	3934.3	23	2.5704
XM_026478206.2	939	812.296	0	0
XM_026478207.3	1835	1708.3	4	1.02952
XM_026478208.3	1465	1338.3	326	107.104
XM_026478212.3	5507	5380.3	3	0.245163
XM_026478213.3	1113	986.296	0	0
XM_026478215.3	1955	1828.3	4.7513	1.14263
XM_026478216.3	3721	3594.3	0	0
XM_026478217.3	1659	1532.3	0	0
XM_026478218.3	4039	3912.3	1.02737	0.115461
XM_026478219.3	6333	6206.3	103	7.297
XM_026478220.3	4558	4431.3	1	0.0992222
XM_026478221.1	1824	1697.3	0	0
XM_026478223.3	7229	7102.3	243.648	15.0836
XM_026478225.3	4249	4122.3	38.7383	4.13181
XM_026478230.1	882	755.296	0	0
XM_026478231.3	2913	2786.3	12.03	1.89835
XM_026478232.3	4392	4265.3	132	13.6071
XM_026478237.3	4071	3944.3	65.9687	7.35374
XM_026478240.3	2392	2265.3	0	0
XM_026478241.3	4790	4663.3	7.9886	0.753212
XM_026478243.3	7888	7761.3	10.8064	0.612189
XM_026478244.3	2279	2152.3	0	0
XM_026478256.3	15206	15079.3	1.02873e-05	2.99958e-07
XM_026478257.3	2506	2379.3	0	0
XM_026478258.3	2525	2398.3	31.8608	5.84109
XM_026478259.3	6504	6377.3	180.337	12.4334
XM_026478260.3	2509	2382.3	0	0
XM_026478261.3	2458	2331.3	10.0167	1.88914
XM_026478262.3	3255	3128.3	0	0
XM_026478263.3	2242	2115.3	11	2.28645
XM_026478265.3	5688	5561.3	1.62338	0.128346
XM_026478267.3	6675	6548.3	0	0
XM_026478270.3	1033	906.296	46	22.3166
XM_026478271.3	1861	1734.3	81.8514	20.7512
XM_026478272.3	4162	4035.3	70.1486	7.64334
XM_026478273.3	930	803.296	234	128.08
XM_026478274.3	1809	1682.3	4	1.04544
XM_026478276.3	5005	4878.3	0	0
XM_026478278.3	5047	4920.3	0	0
XM_026478279.3	5035	4908.3	0	0
XM_026478280.3	4894	4767.3	0	0
XM_026478282.3	8406	8279.3	27.8575	1.47941
XM_026478283.3	8394	8267.3	9.76567e-06	5.19372e-07
XM_026478284.3	8294	8167.3	44.0995	2.37408
XM_026478285.3	8279	8152.3	2.07137e-05	1.11717e-06
XM_026478290.3	4690	4563.3	38	3.66138
XM_026478291.3	7074	6947.3	61.5898	3.89792
XM_026478292.3	6933	6806.3	0	0
XM_026478293.3	6961	6834.3	0	0
