target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1467.67	0	0
XM_026478080.3	6046	5904.67	14.8041	1.41452
XM_026478083.3	2509	2367.67	0	0
XM_026478085.3	2434	2292.67	0	0
XM_026478086.3	2425	2283.67	0	0
XM_026478087.3	2288	2146.67	0	0
XM_026478088.3	2224	2082.67	0	0
XM_026478089.3	3098	2956.67	104.645	19.9682
XM_026478090.3	1357	1215.67	0	0
XM_026478091.3	1312	1170.67	0	0
XM_026478092.3	1300	1158.67	5	2.43463
XM_026478094.3	1697	1555.67	4.02671	1.46035
XM_026478095.3	3596	3454.67	10.7042	1.74812
XM_026478097.3	993	851.669	4.11187	2.7239
XM_026478098.3	10841	10699.7	0	0
XM_026478099.3	2079	1937.67	0.0722682	0.0210422
XM_026478100.3	7847	7705.67	62.5599	4.58046
XM_026478101.3	6255	6113.67	18.4401	1.70171
XM_026478102.3	4900	4758.67	1.44509	0.171329
XM_026478103.3	1628	1486.67	6.22727e-07	2.36323e-07
XM_026478105.3	4341	4199.67	4	0.537363
XM_026478106.1	1359	1217.67	0	0
XM_026478107.1	1359	1217.67	0	0
XM_026478108.3	4405	4263.67	0	0
XM_026478109.3	4078	3936.67	0.000277719	3.98016e-05
XM_026478110.3	4041	3899.67	9.99972	1.44672
XM_026478114.3	3144	3002.67	0	0
XM_026478122.3	5800	5658.67	0	0
XM_026478124.3	5185	5043.67	14.6523	1.63901
XM_026478126.3	4573	4431.67	29.3161	3.73217
XM_026478127.3	1566	1424.67	20	7.92025
XM_026478128.3	1294	1152.67	38.9852	19.0817
XM_026478129.3	1343	1201.67	12.2973	5.77363
XM_026478130.3	1386	1244.67	3.70268	1.67836
XM_026478131.3	1762	1620.67	0	0
XM_026478132.3	1759	1617.67	0	0
XM_026478133.2	3175	3033.67	1823.97	339.213
XM_026478135.3	3662	3520.67	5	0.80125
XM_026478136.3	3554	3412.67	82	13.5564
XM_026478139.3	2722	2580.67	0	0
XM_026478140.3	2348	2206.67	18.4215	4.7099
XM_026478142.3	4236	4094.67	0	0
XM_026478143.3	338	197.988	14	39.8944
XM_026478144.3	8601	8459.67	5.03481	0.335779
XM_026478146.3	3833	3691.67	0	0
XM_026478150.3	2311	2169.67	30	7.80101
XM_026478151.3	6755	6613.67	0	0
XM_026478153.3	7000	6858.67	45.7245	3.76125
XM_026478159.3	2152	2010.67	3.00043	0.84191
XM_026478163.3	9279	9137.67	14.9216	0.921301
XM_026478165.3	2434	2292.67	97.8963	24.0906
XM_026478167.3	1687	1545.67	0	0
XM_026478168.3	2138	1996.67	27	7.62923
XM_026478169.3	9315	9173.67	357.489	21.9858
XM_026478170.3	3852	3710.67	23.3027	3.54305
XM_026478173.3	4464	4322.67	6.00402	0.783634
XM_026478174.3	5197	5055.67	62.1075	6.93088
XM_026478175.3	8598	8456.67	0	0
XM_026478176.3	11857	11715.7	14.3772	0.69236
XM_026478179.3	8427	8285.67	157.454	10.7214
XM_026478180.3	843	701.669	140	112.569
XM_026478181.3	2987	2845.67	10	1.98262
XM_026478182.3	8430	8288.67	0.0407874	0.00277629
XM_026478183.3	10477	10335.7	31	1.69218
XM_026478185.3	3015	2873.67	0	0
XM_026478189.3	2391	2249.67	283	70.9726
XM_026478191.3	6588	6446.67	4.43089	0.387774
XM_026478192.3	6767	6625.67	0	0
XM_026478193.3	6597	6455.67	1.86044e-05	1.62592e-06
XM_026478194.3	6585	6443.67	58.1432	5.09083
XM_026478195.3	5023	4881.67	18.8089	2.17379
XM_026478196.3	6484	6342.67	0	0
XM_026478199.3	4589	4447.67	71.9327	9.12467
XM_026478200.3	4000	3858.67	127	18.569
XM_026478202.3	21305	21163.7	18.1047	0.482641
XM_026478203.3	4061	3919.67	27.7119	3.98879
XM_026478206.2	939	797.669	0	0
XM_026478207.3	1835	1693.67	1	0.333115
XM_026478208.3	1465	1323.67	791	337.148
XM_026478212.3	5507	5365.67	27.2721	2.86759
XM_026478213.3	1113	971.669	0	0
XM_026478215.3	1955	1813.67	0	0
XM_026478216.3	3721	3579.67	42.4711	6.69382
XM_026478217.3	1659	1517.67	0	0
XM_026478218.3	4039	3897.67	13	1.88175
XM_026478219.3	6333	6191.67	130	11.8456
XM_026478220.3	4558	4416.67	6	0.766442
XM_026478221.1	1824	1682.67	0	0
XM_026478223.3	7229	7087.67	0.00122966	9.78826e-05
XM_026478225.3	4249	4107.67	0	0
XM_026478230.1	882	740.669	0	0
XM_026478231.3	2913	2771.67	0	0
XM_026478232.3	4392	4250.67	157.089	20.8503
XM_026478237.3	4071	3929.67	7.33767	1.05348
XM_026478240.3	2392	2250.67	2.99863	0.751682
XM_026478241.3	4790	4648.67	6.20418	0.752972
XM_026478243.3	7888	7746.67	25.4849	1.85605
XM_026478244.3	2279	2137.67	0	0
XM_026478256.3	15206	15064.7	0.0277899	0.00104076
XM_026478257.3	2506	2364.67	11.9158	2.843
XM_026478258.3	2525	2383.67	19.4507	4.60375
XM_026478259.3	6504	6362.67	86.0502	7.63019
XM_026478260.3	2509	2367.67	14.2252	3.38968
XM_026478261.3	2458	2316.67	133.817	32.5889
XM_026478262.3	3255	3113.67	0	0
XM_026478263.3	2242	2100.67	6	1.61145
XM_026478265.3	5688	5546.67	19.5571	1.98928
XM_026478267.3	6675	6533.67	0	0
XM_026478270.3	1033	891.669	26	16.451
XM_026478271.3	1861	1719.67	63.4011	20.8006
XM_026478272.3	4162	4020.67	53.8997	7.5633
XM_026478273.3	930	788.669	654	467.849
XM_026478274.3	1809	1667.67	3	1.01493
XM_026478276.3	5005	4863.67	0	0
XM_026478278.3	5047	4905.67	0	0
XM_026478279.3	5035	4893.67	5.29159	0.610063
