target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1491.36	610.811	284.797
XM_026478080.3	6046	5928.36	0	0
XM_026478083.3	2509	2391.36	19	5.52484
XM_026478085.3	2434	2316.36	0	0
XM_026478086.3	2425	2307.36	25	7.53418
XM_026478087.3	2288	2170.36	0	0
XM_026478088.3	2224	2106.36	0	0
XM_026478089.3	3098	2980.36	57.7594	13.4761
XM_026478090.3	1357	1239.36	0	0
XM_026478091.3	1312	1194.36	0	0
XM_026478092.3	1300	1182.36	24	14.1147
XM_026478094.3	1697	1579.36	5.08627	2.23939
XM_026478095.3	3596	3478.36	23.5136	4.70063
XM_026478097.3	993	875.362	0.0461369	0.0366498
XM_026478098.3	10841	10723.4	11.9559	0.775289
XM_026478099.3	2079	1961.36	0.161361	0.0572074
XM_026478100.3	7847	7729.36	174.882	15.7331
XM_026478101.3	6255	6137.36	11.1179	1.25966
XM_026478102.3	4900	4782.36	33.2859	4.83982
XM_026478103.3	1628	1510.36	25.7141	11.8387
XM_026478105.3	4341	4223.36	18	2.96364
XM_026478106.1	1359	1241.36	0	0
XM_026478107.1	1359	1241.36	0	0
XM_026478108.3	4405	4287.36	11.0014	1.78431
XM_026478109.3	4078	3960.36	29.9648	5.26125
XM_026478110.3	4041	3923.36	12.0338	2.13282
XM_026478114.3	3144	3026.36	0	0
XM_026478122.3	5800	5682.36	0	0
XM_026478124.3	5185	5067.36	13.2214	1.8143
XM_026478126.3	4573	4455.36	454.657	70.9599
XM_026478127.3	1566	1448.36	64	30.7266
XM_026478128.3	1294	1176.36	107.933	63.8003
XM_026478129.3	1343	1225.36	34	19.2942
XM_026478130.3	1386	1268.36	0	0
XM_026478131.3	1762	1644.36	0	0
XM_026478132.3	1759	1641.36	0	0
XM_026478133.2	3175	3057.36	3459.45	786.814
XM_026478135.3	3662	3544.36	12	2.35426
XM_026478136.3	3554	3436.36	170	34.4003
XM_026478139.3	2722	2604.36	37.6186	10.0442
XM_026478140.3	2348	2230.36	0	0
XM_026478142.3	4236	4118.36	9.46767	1.59857
XM_026478143.3	338	220.938	15	47.21
XM_026478144.3	8601	8483.36	20.819	1.70649
XM_026478146.3	3833	3715.36	0	0
XM_026478150.3	2311	2193.36	63	19.9729
XM_026478151.3	6755	6637.36	7.0804	0.741778
XM_026478153.3	7000	6882.36	20.0035	2.02106
XM_026478159.3	2152	2034.36	1.02285	0.349618
XM_026478163.3	9279	9161.36	0.831358	0.0631015
XM_026478165.3	2434	2316.36	358.149	107.515
XM_026478167.3	1687	1569.36	1.49294	0.6615
XM_026478168.3	2138	2020.36	4	1.37671
XM_026478169.3	9315	9197.36	634.59	47.9779
XM_026478170.3	3852	3734.36	2.2881	0.42606
XM_026478173.3	4464	4346.36	3.01916	0.483027
XM_026478174.3	5197	5079.36	36.1293	4.94609
XM_026478175.3	8598	8480.36	0	0
XM_026478176.3	11857	11739.4	1.69011	0.100111
XM_026478179.3	8427	8309.36	468.963	39.2449
XM_026478180.3	843	725.527	0	0
XM_026478181.3	2987	2869.36	79	19.1449
XM_026478182.3	8430	8312.36	112.536	9.4141
XM_026478183.3	10477	10359.4	178	11.9481
XM_026478185.3	3015	2897.36	0	0
XM_026478189.3	2391	2273.36	126.901	38.8157
XM_026478191.3	6588	6470.36	342.65	36.8243
XM_026478192.3	6767	6649.36	45.155	4.72213
XM_026478193.3	6597	6479.36	39.9142	4.28358
XM_026478194.3	6585	6467.36	375.066	40.3267
XM_026478195.3	5023	4905.36	10.2412	1.45174
XM_026478196.3	6484	6366.36	6.43277	0.702616
XM_026478199.3	4589	4471.36	1119.85	174.153
XM_026478200.3	4000	3882.36	75	13.4331
XM_026478202.3	21305	21187.4	52.1544	1.71169
XM_026478203.3	4061	3943.36	50	8.81688
XM_026478206.2	939	821.449	0	0
XM_026478207.3	1835	1717.36	8.88025	3.59563
XM_026478208.3	1465	1347.36	896	462.419
XM_026478212.3	5507	5389.36	10.1025	1.30347
XM_026478213.3	1113	995.362	0	0
XM_026478215.3	1955	1837.36	0	0
XM_026478216.3	3721	3603.36	0	0
XM_026478217.3	1659	1541.36	0	0
XM_026478218.3	4039	3921.36	14	2.48258
XM_026478219.3	6333	6215.36	151	16.8936
XM_026478220.3	4558	4440.36	8	1.2528
XM_026478221.1	1824	1706.36	0	0
XM_026478223.3	7229	7111.36	674.46	65.9501
XM_026478225.3	4249	4131.36	11.1441	1.87571
XM_026478230.1	882	764.527	0	0
XM_026478231.3	2913	2795.36	0	0
XM_026478232.3	4392	4274.36	285.061	46.3743
XM_026478237.3	4071	3953.36	13.4839	2.37171
XM_026478240.3	2392	2274.36	4.91108	1.50151
XM_026478241.3	4790	4672.36	13.7655	2.04864
XM_026478243.3	7888	7770.36	48.068	4.30156
XM_026478244.3	2279	2161.36	0	0
XM_026478256.3	15206	15088.4	0.141932	0.0065411
XM_026478257.3	2506	2388.36	13.6999	3.98867
XM_026478258.3	2525	2407.36	8.38994e-07	2.42342e-07
XM_026478259.3	6504	6386.36	272.724	29.6948
XM_026478260.3	2509	2391.36	0	0
XM_026478261.3	2458	2340.36	118.595	35.2367
XM_026478262.3	3255	3137.36	8.00066	1.77326
XM_026478263.3	2242	2124.36	7	2.2913
XM_026478265.3	5688	5570.36	24.2299	3.02468
XM_026478267.3	6675	6557.36	0.0523185	0.00554802
XM_026478270.3	1033	915.362	34	25.8284
XM_026478271.3	1861	1743.36	81.8725	32.6559
XM_026478272.3	4162	4044.36	107.628	18.5049
