target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1498.74	0	0
XM_026478080.3	6046	5935.74	39.918	3.47015
XM_026478083.3	2509	2398.74	1	0.215115
XM_026478085.3	2434	2323.74	0	0
XM_026478086.3	2425	2314.74	0	0
XM_026478087.3	2288	2177.74	1	0.236945
XM_026478088.3	2224	2113.74	0	0
XM_026478089.3	3098	2987.74	120.018	20.728
XM_026478090.3	1357	1246.74	0	0
XM_026478091.3	1312	1201.74	0	0
XM_026478092.3	1300	1189.74	40	17.3485
XM_026478094.3	1697	1586.74	3.65774	1.18949
XM_026478095.3	3596	3485.74	7.34226	1.0869
XM_026478097.3	993	882.737	0	0
XM_026478098.3	10841	10730.7	0	0
XM_026478099.3	2079	1968.74	0.630053	0.165137
XM_026478100.3	7847	7736.74	97.1952	6.48247
XM_026478101.3	6255	6144.74	15.8048	1.32721
XM_026478102.3	4900	4789.74	0	0
XM_026478103.3	1628	1517.74	1	0.339983
XM_026478105.3	4341	4230.74	4	0.487863
XM_026478106.1	1359	1248.74	0	0
XM_026478107.1	1359	1248.74	0	0
XM_026478108.3	4405	4294.74	0	0
XM_026478109.3	4078	3967.74	8	1.0404
XM_026478110.3	4041	3930.74	0	0
XM_026478114.3	3144	3033.74	0	0
XM_026478122.3	5800	5689.74	0	0
XM_026478124.3	5185	5074.74	20.8017	2.11514
XM_026478126.3	4573	4462.74	33.9601	3.92664
XM_026478127.3	1566	1455.74	23	8.15265
XM_026478128.3	1294	1183.74	40	17.4365
XM_026478129.3	1343	1232.74	14	5.86018
XM_026478130.3	1386	1275.74	0	0
XM_026478131.3	1762	1651.74	0	0
XM_026478132.3	1759	1648.74	0	0
XM_026478133.2	3175	3064.74	1093.92	184.182
XM_026478135.3	3662	3551.74	1	0.145282
XM_026478136.3	3554	3443.74	86	12.8861
XM_026478139.3	2722	2611.74	9.36836	1.85092
XM_026478140.3	2348	2237.74	11.078	2.5545
XM_026478142.3	4236	4125.74	0	0
XM_026478143.3	338	227.811	8	18.1205
XM_026478144.3	8601	8490.74	7.03397	0.427473
XM_026478146.3	3833	3722.74	0	0
XM_026478150.3	2311	2200.74	27	6.33066
XM_026478151.3	6755	6644.74	0	0
XM_026478153.3	7000	6889.74	13.4903	1.01035
XM_026478159.3	2152	2041.74	5	1.26364
XM_026478163.3	9279	9168.74	13.8254	0.778075
XM_026478165.3	2434	2323.74	63.0075	13.9913
XM_026478167.3	1687	1576.74	8.33715	2.72843
XM_026478168.3	2138	2027.74	19	4.83499
XM_026478169.3	9315	9204.74	172.948	9.69524
XM_026478170.3	3852	3741.74	9.69058	1.33638
XM_026478173.3	4464	4353.74	7.05125	0.835714
XM_026478174.3	5197	5086.74	39.6684	4.02401
XM_026478175.3	8598	8487.74	149.413	9.08343
XM_026478176.3	11857	11746.7	10.4886	0.46074
XM_026478179.3	8427	8316.74	17.121	1.06226
XM_026478180.3	843	732.737	488	343.657
XM_026478181.3	2987	2876.74	8	1.43497
XM_026478182.3	8430	8319.74	11.4315	0.709004
XM_026478183.3	10477	10366.7	37	1.84168
XM_026478185.3	3015	2904.74	0	0
XM_026478189.3	2391	2280.74	270.911	61.2922
XM_026478191.3	6588	6477.74	0	0
XM_026478192.3	6767	6656.74	0	0
XM_026478193.3	6597	6486.74	0	0
XM_026478194.3	6585	6474.74	65.0735	5.18604
XM_026478195.3	5023	4912.74	13.3708	1.40439
XM_026478196.3	6484	6373.74	0	0
XM_026478199.3	4589	4478.74	155.139	17.8738
XM_026478200.3	4000	3889.74	137	18.1741
XM_026478202.3	21305	21194.7	0	0
XM_026478203.3	4061	3950.74	18.1739	2.37369
XM_026478206.2	939	828.737	0	0
XM_026478207.3	1835	1724.74	5	1.49589
XM_026478208.3	1465	1354.74	1120	426.596
XM_026478212.3	5507	5396.74	15.2614	1.4592
XM_026478213.3	1113	1002.74	0	0
XM_026478215.3	1955	1844.74	0	0
XM_026478216.3	3721	3610.74	62.5369	8.93705
XM_026478217.3	1659	1548.74	0	0
XM_026478218.3	4039	3928.74	34.4112	4.5196
XM_026478219.3	6333	6222.74	131	10.8628
XM_026478220.3	4558	4447.74	4	0.46406
XM_026478221.1	1824	1713.74	0	0
XM_026478223.3	7229	7118.74	0.000680344	4.9315e-05
XM_026478225.3	4249	4138.74	1.80573	0.225133
XM_026478230.1	882	771.737	0	0
XM_026478231.3	2913	2802.74	0	0
XM_026478232.3	4392	4281.74	103.868	12.5174
XM_026478237.3	4071	3960.74	0	0
XM_026478240.3	2392	2281.74	10.6838	2.41609
XM_026478241.3	4790	4679.74	14.242	1.57037
XM_026478243.3	7888	7777.74	18.0988	1.20075
XM_026478244.3	2279	2168.74	7.77334	1.8495
XM_026478256.3	15206	15095.7	1.07993e-05	3.69142e-07
XM_026478257.3	2506	2395.74	0	0
XM_026478258.3	2525	2414.74	0	0
XM_026478259.3	6504	6393.74	80.4863	6.49563
XM_026478260.3	2509	2398.74	0	0
XM_026478261.3	2458	2347.74	118.249	25.9897
XM_026478262.3	3255	3144.74	14.0078	2.29848
XM_026478263.3	2242	2131.74	3	0.726175
XM_026478265.3	5688	5577.74	16.3378	1.51144
XM_026478267.3	6675	6564.74	1.05095e-05	8.2607e-07
XM_026478270.3	1033	922.737	34	19.0132
XM_026478271.3	1861	1750.74	45.7572	13.4863
XM_026478272.3	4162	4051.74	30.3216	3.86158
XM_026478273.3	930	819.737	582	366.355
XM_026478274.3	1809	1698.74	4	1.21503
XM_026478276.3	5005	4894.74	0	0
XM_026478278.3	5047	4936.74	0	0
XM_026478279.3	5035	4924.74	0	0
XM_026478280.3	4894	4783.74	0.357931	0.0386087
XM_026478282.3	8406	8295.74	4.4985e-06	2.79812e-07
XM_026478283.3	8394	8283.74	0	0
XM_026478284.3	8294	8183.74	18.3982	1.16005
XM_026478285.3	8279	8168.74	1.49527e-05	9.44534e-07
XM_026478290.3	4690	4579.74	10	1.12671
XM_026478291.3	7074	6963.74	50.2642	3.72452
XM_026478292.3	6933	6822.74	7.43448	0.562271
XM_026478293.3	6961	6850.74	2.30131	0.173337
XM_026478295.3	6712	6601.74	0	0
XM_026478296.3	9714	9603.74	0.0135329	0.000727117
XM_026478297.3	4637	4526.74	3.74962e-05	4.27421e-06
XM_026478298.3	4580	4469.74	54.6607	6.31026
XM_026478299.3	9699	9588.74	0.00049189	2.64704e-05
XM_026478300.3	4622	4511.74	3.05218e-08	3.49076e-09
XM_026478303.3	9076	8965.74	17.6315	1.01474
XM_026478308.3	9177	9066.74	25.5532	1.45428
XM_026478309.3	1777	1666.74	72	22.2905
XM_026478311.3	1579	1468.74	36	12.6477
XM_026478312.3	2647	2536.74	9	1.83072
XM_026478313.3	513	402.787	0	0
XM_026478317.3	5855	5744.74	25.4312	2.28428
XM_026478318.3	3547	3436.74	27	4.05388
XM_026478320.3	8741	8630.74	0	0
XM_026478321.3	3804	3693.74	553	77.2526
XM_026478322.3	2471	2360.74	6.46496	1.4131
XM_026478323.3	2809	2698.74	0	0
XM_026478326.3	5940	5829.74	99.7902	8.83269
XM_026478327.3	2519	2408.74	0	0
XM_026478328.3	9165	9054.74	0	0
XM_026478329.3	6861	6750.74	0	0
XM_026478331.3	1885	1774.74	19	5.52425
XM_026478335.3	2818	2707.74	239	45.5455
XM_026478337.3	3820	3709.74	0	0
XM_026478339.3	11121	11010.7	0	0
XM_026478340.3	11278	11167.7	0	0
XM_026478341.3	6045	5934.74	0	0
XM_026478347.3	3434	3323.74	0	0
XM_026478348.3	907	796.737	102	66.06
XM_026478350.3	3299	3188.74	8.37272e-08	1.35488e-08
XM_026478352.3	1414	1303.74	1.31982e-08	5.22369e-09
XM_026478353.3	1391	1280.74	6	2.41738
XM_026478355.3	1613	1502.74	45.7686	15.7159
XM_026478356.3	1219	1108.74	4.23135	1.96927
XM_026478358.3	1976	1865.74	36.4981	10.0942
XM_026478361.3	335	224.811	3.00951	6.90769
XM_026478362.3	1440	1329.74	1990	772.22
XM_026478365.3	1806	1695.74	0	0
XM_026478366.3	2953	2842.74	11	1.99669
XM_026478368.3	1990	1879.74	4.60425	1.26391
XM_026478371.3	2783	2672.74	22.9053	4.42215
XM_026478372.3	2782	2671.74	23.0947	4.46038
XM_026478373.3	3090	2979.74	0	0
XM_026478374.3	2298	2187.74	0	0
XM_026478375.3	2175	2064.74	0	0
XM_026478376.3	1983	1872.74	0	0
XM_026478377.2	1899	1788.74	0	0
XM_026478378.2	1782	1671.74	0	0
XM_026478379.3	1764	1653.74	0	0
XM_026478380.3	605	494.787	6	6.25729
XM_026478382.3	1944	1833.74	29.5762	8.32261
XM_026478383.3	1914	1803.74	0	0
XM_026478386.3	2059	1948.74	11.4052	3.01998
XM_026478387.3	5606	5495.74	12	1.1267
XM_026478388.3	5437	5326.74	0	0
XM_026478389.3	4186	4075.74	9	1.13944
XM_026478391.3	7161	7050.74	166	12.1486
XM_026478392.3	4871	4760.74	0	0
XM_026478393.3	2107	1996.74	0	0
XM_026478394.3	3354	3243.74	3	0.477232
XM_026478396.3	1980	1869.74	35	9.6592
XM_026478397.3	1470	1359.74	2	0.758977
XM_026478400.3	5098	4987.74	174.633	18.0666
XM_026478401.3	4206	4095.74	2	0.251972
XM_026478403.2	1315	1204.74	0	0
XM_026478413.3	527	416.787	920	1139.01
XM_026478414.3	5797	5686.74	0.000203064	1.84256e-05
XM_026478415.3	5787	5676.74	0.00145789	0.00013252
XM_026478417.3	5782	5671.74	0.00391146	0.000355858
XM_026478418.3	5772	5661.74	0.0282292	0.00257278
XM_026478419.3	5766	5655.74	0.092564	0.00844514
