target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1483.73	12.9999	3.69879
XM_026478080.3	6046	5920.73	0	0
XM_026478083.3	2509	2383.73	0	0
XM_026478085.3	2434	2308.73	2	0.365705
XM_026478086.3	2425	2299.73	11.4414	2.10029
XM_026478087.3	2288	2162.73	2.75179e-06	5.37139e-07
XM_026478088.3	2224	2098.73	2.55855	0.514649
XM_026478089.3	3098	2972.73	5.82091	0.826627
XM_026478090.3	1357	1231.73	0	0
XM_026478091.3	1312	1186.73	0	0
XM_026478092.3	1300	1174.73	42	15.0933
XM_026478094.3	1697	1571.73	1	0.268594
XM_026478095.3	3596	3470.73	0	0
XM_026478097.3	993	867.732	0	0
XM_026478098.3	10841	10715.7	3.71878	0.146505
XM_026478099.3	2079	1953.73	0.338598	0.0731634
XM_026478100.3	7847	7721.73	16.2557	0.888719
XM_026478101.3	6255	6129.73	9.74435	0.671098
XM_026478102.3	4900	4774.73	9.70101	0.857714
XM_026478103.3	1628	1502.73	1.07994e-07	3.03384e-08
XM_026478105.3	4341	4215.73	3	0.300416
XM_026478106.1	1359	1233.73	0	0
XM_026478107.1	1359	1233.73	0	0
XM_026478108.3	4405	4279.73	5.93576	0.58551
XM_026478109.3	4078	3952.73	20.0642	2.14289
XM_026478110.3	4041	3915.73	0	0
XM_026478114.3	3144	3018.73	8.76111e-08	1.22521e-08
XM_026478122.3	5800	5674.73	0	0
XM_026478124.3	5185	5059.73	2.45162	0.204551
XM_026478126.3	4573	4447.73	33.7158	3.20014
XM_026478127.3	1566	1440.73	102	29.8876
XM_026478128.3	1294	1168.73	32	11.5587
XM_026478129.3	1343	1217.73	34.8347	12.0763
XM_026478130.3	1386	1260.73	11.1653	3.73872
XM_026478131.3	1762	1636.73	0	0
XM_026478132.3	1759	1633.73	0	0
XM_026478133.2	3175	3049.73	664.406	91.97
XM_026478135.3	3662	3536.73	0	0
XM_026478136.3	3554	3428.73	19	2.33935
XM_026478139.3	2722	2596.73	0	0
XM_026478140.3	2348	2222.73	39.8154	7.56204
XM_026478142.3	4236	4110.73	0	0
XM_026478143.3	338	213.018	136	269.524
XM_026478144.3	8601	8475.73	1.77763	0.0885397
XM_026478146.3	3833	3707.73	37.0509	4.21857
XM_026478150.3	2311	2185.73	185	35.7314
XM_026478151.3	6755	6629.73	6.1387	0.390891
XM_026478153.3	7000	6874.73	91.6627	5.62874
XM_026478159.3	2152	2026.73	0	0
XM_026478163.3	9279	9153.73	2.15756	0.0995039
XM_026478165.3	2434	2308.73	86.9156	15.8927
XM_026478167.3	1687	1561.73	0	0
XM_026478168.3	2138	2012.73	12	2.51692
XM_026478169.3	9315	9189.73	163	7.48789
XM_026478170.3	3852	3726.73	12.0202	1.36163
XM_026478173.3	4464	4338.73	4	0.389199
XM_026478174.3	5197	5071.73	7.07193	0.588649
XM_026478175.3	8598	8472.73	452.556	22.5488
XM_026478176.3	11857	11731.7	29.2911	1.05402
XM_026478179.3	8427	8301.73	452.055	22.9878
XM_026478180.3	843	717.732	0	0
XM_026478181.3	2987	2861.73	36	5.31066
XM_026478182.3	8430	8304.73	189.388	9.62724
XM_026478183.3	10477	10351.7	86	3.5072
XM_026478185.3	3015	2889.73	0	0
XM_026478189.3	2391	2265.73	11	2.04955
XM_026478191.3	6588	6462.73	2.97051e-06	1.94039e-07
XM_026478192.3	6767	6641.73	0	0
XM_026478193.3	6597	6471.73	5.59992e-07	3.65289e-08
XM_026478194.3	6585	6459.73	0	0
XM_026478195.3	5023	4897.73	4.79644	0.413427
XM_026478196.3	6484	6358.73	0	0
XM_026478199.3	4589	4463.73	85.0459	8.04322
XM_026478200.3	4000	3874.73	264	28.7632
XM_026478202.3	21305	21179.7	0	0
XM_026478203.3	4061	3935.73	19.35	2.07553
XM_026478206.2	939	813.732	0	0
XM_026478207.3	1835	1709.73	3	0.740743
XM_026478208.3	1465	1339.73	247	77.8312
XM_026478212.3	5507	5381.73	4	0.313771
XM_026478213.3	1113	987.732	0	0
XM_026478215.3	1955	1829.73	0	0
XM_026478216.3	3721	3595.73	71.0393	8.34039
XM_026478217.3	1659	1533.73	12.7554	3.5109
XM_026478218.3	4039	3913.73	0	0
XM_026478219.3	6333	6207.73	102	6.93652
XM_026478220.3	4558	4432.73	2	0.190473
XM_026478221.1	1824	1698.73	0	0
XM_026478223.3	7229	7103.73	98.3652	5.8456
XM_026478225.3	4249	4123.73	27.4438	2.80949
XM_026478230.1	882	756.732	0	0
XM_026478231.3	2913	2787.73	0	0
XM_026478232.3	4392	4266.73	61	6.03544
XM_026478237.3	4071	3945.73	62.2676	6.66207
XM_026478240.3	2392	2266.73	0	0
XM_026478241.3	4790	4664.73	1.27305	0.115211
