target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1483.34	5.10977	1.57097
XM_026478080.3	6046	5920.34	26.036	2.00555
XM_026478083.3	2509	2383.34	0	0
XM_026478085.3	2434	2308.34	5	0.987818
XM_026478086.3	2425	2299.34	0	0
XM_026478087.3	2288	2162.34	0	0
XM_026478088.3	2224	2098.34	1	0.217336
XM_026478089.3	3098	2972.34	94.9741	14.5718
XM_026478090.3	1357	1231.34	4.90279	1.81582
XM_026478091.3	1312	1186.34	0	0
XM_026478092.3	1300	1174.34	12.0972	4.69785
XM_026478094.3	1697	1571.34	4.55291	1.32137
XM_026478095.3	3596	3470.34	16.4471	2.16134
XM_026478097.3	993	867.336	0	0
XM_026478098.3	10841	10715.3	0	0
XM_026478099.3	2079	1953.34	5.37589	1.2551
XM_026478100.3	7847	7721.34	68.3077	4.03444
XM_026478101.3	6255	6129.34	27.6923	2.0604
XM_026478102.3	4900	4774.34	0	0
XM_026478103.3	1628	1502.34	0	0
XM_026478105.3	4341	4215.34	2	0.216373
XM_026478106.1	1359	1233.34	0	0
XM_026478107.1	1359	1233.34	0	0
XM_026478108.3	4405	4279.34	0	0
XM_026478109.3	4078	3952.34	14	1.6154
XM_026478110.3	4041	3915.34	0	0
XM_026478114.3	3144	3018.34	8.94678	1.35178
XM_026478122.3	5800	5674.34	0	0
XM_026478124.3	5185	5059.34	22.547	2.03236
XM_026478126.3	4573	4447.34	40.0071	4.10245
XM_026478127.3	1566	1440.34	31	9.81531
XM_026478128.3	1294	1168.34	35.9333	14.0261
XM_026478129.3	1343	1217.34	16	5.99398
XM_026478130.3	1386	1260.34	0	0
XM_026478131.3	1762	1636.34	0	0
XM_026478132.3	1759	1633.34	0	0
XM_026478133.2	3175	3049.34	1577.53	235.927
XM_026478135.3	3662	3536.34	2	0.257918
XM_026478136.3	3554	3428.34	148	19.6872
XM_026478139.3	2722	2596.34	16.9442	2.97623
XM_026478140.3	2348	2222.34	7.77162e-05	1.59481e-05
XM_026478142.3	4236	4110.34	0	0
XM_026478143.3	338	213.283	8	17.1056
XM_026478144.3	8601	8475.34	8.26563	0.444759
XM_026478146.3	3833	3707.34	0	0
XM_026478150.3	2311	2185.34	36	7.5126
XM_026478151.3	6755	6629.34	0	0
XM_026478153.3	7000	6874.34	46.5527	3.0883
XM_026478159.3	2152	2026.34	4	0.900232
XM_026478163.3	9279	9153.34	22.7493	1.13343
XM_026478165.3	2434	2308.34	115.916	22.9008
XM_026478167.3	1687	1561.34	0	0
XM_026478168.3	2138	2012.34	30	6.79871
XM_026478169.3	9315	9189.34	293.836	14.5823
XM_026478170.3	3852	3726.34	6.87649	0.841572
XM_026478173.3	4464	4338.34	5.08544	0.534579
XM_026478174.3	5197	5071.34	50.3551	4.52822
XM_026478175.3	8598	8472.34	36.717	1.97638
XM_026478176.3	11857	11731.3	38.96	1.51453
