target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1445.53	446.439	173.171
XM_026478080.3	6046	5882.53	8.07986	0.770159
XM_026478083.3	2509	2345.53	0	0
XM_026478085.3	2434	2270.53	9	2.22257
XM_026478086.3	2425	2261.53	32.0275	7.94074
XM_026478087.3	2288	2124.53	8.97251	2.36805
XM_026478088.3	2224	2060.53	0	0
XM_026478089.3	3098	2934.53	65.3994	12.4961
XM_026478090.3	1357	1193.53	0	0
XM_026478091.3	1312	1148.53	0	0
XM_026478092.3	1300	1136.53	33	16.2807
XM_026478094.3	1697	1533.53	11.2173	4.10142
XM_026478095.3	3596	3432.53	29.3994	4.80248
XM_026478097.3	993	829.534	2.58693	1.74861
XM_026478098.3	10841	10677.5	19.9393	1.04708
XM_026478099.3	2079	1915.53	0	0
XM_026478100.3	7847	7683.53	135.057	9.85592
XM_026478101.3	6255	6091.53	5.94303	0.547044
XM_026478102.3	4900	4736.53	26.8336	3.17658
XM_026478103.3	1628	1464.53	1.65776e-07	6.34693e-08
XM_026478105.3	4341	4177.53	11	1.47643
XM_026478106.1	1359	1195.53	0	0
XM_026478107.1	1359	1195.53	0	0
XM_026478108.3	4405	4241.53	23.3052	3.08085
XM_026478109.3	4078	3914.53	9.88772e-05	1.41631e-05
XM_026478110.3	4041	3877.53	14.6947	2.12494
XM_026478114.3	3144	2980.53	18.8538	3.54688
XM_026478122.3	5800	5636.53	0	0
XM_026478124.3	5185	5021.53	7.77233	0.867873
XM_026478126.3	4573	4409.53	171.214	21.7714
XM_026478127.3	1566	1402.53	89	35.581
XM_026478128.3	1294	1130.53	85.9865	42.6469
XM_026478129.3	1343	1179.53	53	25.1945
XM_026478130.3	1386	1222.53	0	0
XM_026478131.3	1762	1598.53	0.173241	0.0607672
XM_026478132.3	1759	1595.53	1.82676	0.641972
XM_026478133.2	3175	3011.53	3646.59	678.955
XM_026478135.3	3662	3498.53	10	1.60271
XM_026478136.3	3554	3390.53	239	39.5249
XM_026478139.3	2722	2558.53	21.6363	4.74168
XM_026478140.3	2348	2184.53	0.0622632	0.0159814
XM_026478142.3	4236	4072.53	11.1174	1.53067
XM_026478143.3	338	176.777	7	22.2031
XM_026478144.3	8601	8437.53	22.221	1.47669
XM_026478146.3	3833	3669.53	0	0
XM_026478150.3	2311	2147.53	74	19.3211
XM_026478151.3	6755	6591.53	0	0
XM_026478153.3	7000	6836.53	0	0
XM_026478159.3	2152	1988.53	0	0
XM_026478163.3	9279	9115.53	0.796373	0.0489864
XM_026478165.3	2434	2270.53	424.453	104.82
XM_026478167.3	1687	1523.53	0	0
XM_026478168.3	2138	1974.53	17	4.82754
XM_026478169.3	9315	9151.53	690.189	42.2878
XM_026478170.3	3852	3688.53	19.0242	2.89197
XM_026478173.3	4464	4300.53	10.1384	1.32187
XM_026478174.3	5197	5033.53	31.8828	3.5516
XM_026478175.3	8598	8434.53	178.886	11.892
XM_026478176.3	11857	11693.5	54.3138	2.60439
XM_026478179.3	8427	8263.53	443.076	30.0644
XM_026478180.3	843	679.534	0	0
XM_026478181.3	2987	2823.53	57	11.3194
XM_026478182.3	8430	8266.53	5.16677e-06	3.50459e-07
XM_026478183.3	10477	10313.5	83	4.51244
XM_026478185.3	3015	2851.53	0	0
XM_026478189.3	2391	2227.53	102	25.6754
XM_026478191.3	6588	6424.53	11.9526	1.04319
XM_026478192.3	6767	6603.53	110.21	9.3581
XM_026478193.3	6597	6433.53	172.639	15.0464
XM_026478194.3	6585	6421.53	3.65141	0.318833
XM_026478195.3	5023	4859.53	25.0323	2.88833
XM_026478196.3	6484	6320.53	0.0321626	0.00285324
XM_026478199.3	4589	4425.53	292.51	37.0609
XM_026478200.3	4000	3836.53	99	14.469
XM_026478202.3	21305	21141.5	30.4744	0.808238
XM_026478203.3	4061	3897.53	46.4634	6.6844
XM_026478206.2	939	775.534	1	0.723003
XM_026478207.3	1835	1671.53	4	1.34179
XM_026478208.3	1465	1301.53	1178	507.494
XM_026478212.3	5507	5343.53	12	1.2592
XM_026478213.3	1113	949.534	0	0
XM_026478215.3	1955	1791.53	0	0
XM_026478216.3	3721	3557.53	28.487	4.48992
XM_026478217.3	1659	1495.53	24.513	9.19056
XM_026478218.3	4039	3875.53	10.0354	1.45192
XM_026478219.3	6333	6169.53	167	15.1777
XM_026478220.3	4558	4394.53	1	0.127593
XM_026478221.1	1824	1660.53	0	0
XM_026478223.3	7229	7065.53	623.412	49.4733
XM_026478225.3	4249	4085.53	16.0427	2.20176
XM_026478230.1	882	718.534	0	0
XM_026478231.3	2913	2749.53	2.87608	0.586521
XM_026478232.3	4392	4228.53	324.319	43.0055
XM_026478237.3	4071	3907.53	0	0
XM_026478240.3	2392	2228.53	11.232	2.82604
XM_026478241.3	4790	4626.53	16.6963	2.02351
XM_026478243.3	7888	7724.53	47.1583	3.42316
XM_026478244.3	2279	2115.53	7.28901	1.93192
XM_026478256.3	15206	15042.5	163.395	6.0906
XM_026478257.3	2506	2342.53	14.7861	3.53924
XM_026478258.3	2525	2361.53	0	0
XM_026478259.3	6504	6340.53	302.674	26.7665
XM_026478260.3	2509	2345.53	0	0
XM_026478261.3	2458	2294.53	133.034	32.5094
XM_026478262.3	3255	3091.53	10.9073	1.97827
XM_026478263.3	2242	2078.53	10	2.69764
XM_026478265.3	5688	5524.53	29.5151	2.99564
XM_026478267.3	6675	6511.53	0	0
XM_026478270.3	1033	869.534	35	22.5695
XM_026478271.3	1861	1697.53	130.393	43.0704
XM_026478272.3	4162	3998.53	86.0426	12.0657
XM_026478273.3	930	766.534	763	558.128
XM_026478274.3	1809	1645.53	11.7904	4.01756
XM_026478276.3	5005	4841.53	0	0
XM_026478278.3	5047	4883.53	0	0
XM_026478279.3	5035	4871.53	19.376	2.23018
XM_026478280.3	4894	4730.53	0	0
XM_026478282.3	8406	8242.53	8.58716	0.584158
XM_026478283.3	8394	8230.53	53.3701	3.63589
XM_026478284.3	8294	8130.53	0	0
XM_026478285.3	8279	8115.53	0	0
XM_026478290.3	4690	4526.53	75	9.29045
XM_026478291.3	7074	6910.53	29.152	2.36537
XM_026478292.3	6933	6769.53	25.2304	2.08981
XM_026478293.3	6961	6797.53	63.3908	5.22897
XM_026478295.3	6712	6548.53	8.22676	0.704411
XM_026478296.3	9714	9550.53	0	0
XM_026478297.3	4637	4473.53	28.6058	3.58546
XM_026478298.3	4580	4416.53	0	0
XM_026478299.3	9699	9535.53	0	0
XM_026478300.3	4622	4458.53	1.5148	0.190504
XM_026478303.3	9076	8912.53	33.17	2.08682
XM_026478308.3	9177	9013.53	31.4013	1.95341
XM_026478309.3	1777	1613.53	112	38.9207
XM_026478311.3	1579	1415.53	47.1845	18.6905
XM_026478312.3	2647	2483.53	10	2.25773
XM_026478313.3	513	349.681	0	0
XM_026478317.3	5855	5691.53	39.5326	3.89464
XM_026478318.3	3547	3383.53	46	7.62304
XM_026478320.3	8741	8577.53	0	0
XM_026478321.3	3804	3640.53	355	54.677
XM_026478322.3	2471	2307.53	11.9358	2.90031
XM_026478323.3	2809	2645.53	10.2933	2.18164
XM_026478326.3	5940	5776.53	1.53268e-06	1.48773e-07
XM_026478327.3	2519	2355.53	4.40854	1.04941
XM_026478328.3	9165	9001.53	88.3196	5.50151
XM_026478329.3	6861	6697.53	0	0
XM_026478331.3	1885	1721.53	33.9325	11.052
