target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1468.67	10	1.37178
XM_026478080.3	6046	5905.67	0	0
XM_026478083.3	2509	2368.67	0	0
XM_026478085.3	2434	2293.67	0	0
XM_026478086.3	2425	2284.67	114.053	10.0576
XM_026478087.3	2288	2147.67	0	0
XM_026478088.3	2224	2083.67	20.9468	2.02534
XM_026478089.3	3098	2957.67	89.4235	6.09132
XM_026478090.3	1357	1216.67	0	0
XM_026478091.3	1312	1171.67	0	0
XM_026478092.3	1300	1159.67	44	7.64411
XM_026478094.3	1697	1556.67	11.673	1.51076
XM_026478095.3	3596	3455.67	145.891	8.50559
XM_026478097.3	993	852.673	9.43098	2.22836
XM_026478098.3	10841	10700.7	0	0
XM_026478099.3	2079	1938.67	0.127681	0.0132688
XM_026478100.3	7847	7706.67	256.563	6.70713
XM_026478101.3	6255	6114.67	117.437	3.86939
XM_026478102.3	4900	4759.67	16.5231	0.699399
XM_026478103.3	1628	1487.67	72.4769	9.81526
XM_026478105.3	4341	4200.67	23	1.10311
XM_026478106.1	1359	1218.67	0	0
XM_026478107.1	1359	1218.67	0	0
XM_026478108.3	4405	4264.67	14.7496	0.696796
XM_026478109.3	4078	3937.67	31.3416	1.60358
XM_026478110.3	4041	3900.67	6.90875	0.356837
XM_026478114.3	3144	3003.67	31.1645	2.09034
XM_026478122.3	5800	5659.67	0	0
XM_026478124.3	5185	5044.67	1.2493	0.0498934
XM_026478126.3	4573	4432.67	4.2541	0.193353
XM_026478127.3	1566	1425.67	244	34.481
XM_026478128.3	1294	1153.67	662.393	115.676
XM_026478129.3	1343	1202.67	163	27.3055
XM_026478130.3	1386	1245.67	0	0
XM_026478131.3	1762	1621.67	8	0.993886
XM_026478132.3	1759	1618.67	0	0
XM_026478133.2	3175	3034.67	13522.7	897.765
XM_026478135.3	3662	3521.67	12	0.686503
XM_026478136.3	3554	3413.67	478	28.2108
XM_026478139.3	2722	2581.67	12.987	1.01348
XM_026478140.3	2348	2207.67	82.4382	7.52322
XM_026478142.3	4236	4095.67	0	0
XM_026478143.3	338	199.753	161	162.384
XM_026478144.3	8601	8460.67	10.3728	0.247003
XM_026478146.3	3833	3692.67	28.1728	1.53709
XM_026478150.3	2311	2170.67	201	18.6557
XM_026478151.3	6755	6614.67	0	0
XM_026478153.3	7000	6859.67	0	0
XM_026478159.3	2152	2011.67	0	0
XM_026478163.3	9279	9138.67	0	0
XM_026478165.3	2434	2293.67	195.798	17.1984
XM_026478167.3	1687	1546.67	0	0
XM_026478168.3	2138	1997.67	7	0.705966
XM_026478169.3	9315	9174.67	1679.74	36.8859
XM_026478170.3	3852	3711.67	0	0
XM_026478173.3	4464	4323.67	4.00011	0.186393
XM_026478174.3	5197	5056.67	4.91701	0.195905
XM_026478175.3	8598	8457.67	30.1902	0.719159
XM_026478176.3	11857	11716.7	50.5944	0.869978
XM_026478179.3	8427	8286.67	911.071	22.1504
XM_026478180.3	843	702.673	0	0
XM_026478181.3	2987	2846.67	108	7.64357
XM_026478182.3	8430	8289.67	221.755	5.38947
XM_026478183.3	10477	10336.7	105	2.04653
XM_026478185.3	3015	2874.67	0	0
XM_026478189.3	2391	2250.67	176	15.7547
XM_026478191.3	6588	6447.67	89.0703	2.78317
XM_026478192.3	6767	6626.67	5.79683	0.17624
XM_026478193.3	6597	6456.67	10.6174	0.3313
XM_026478194.3	6585	6444.67	326.016	10.1917
XM_026478195.3	5023	4882.67	10.9513	0.451874
XM_026478196.3	6484	6343.67	0	0
XM_026478199.3	4589	4448.67	1077.09	48.7789
XM_026478200.3	4000	3859.67	117	6.10724
XM_026478202.3	21305	21164.7	0	0
XM_026478203.3	4061	3920.67	59.8259	3.07425
XM_026478206.2	939	798.673	0	0
