target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1464.37	149.706	6.1659
XM_026478080.3	6046	5901.37	2.46384	0.0251807
XM_026478083.3	2509	2364.37	0	0
XM_026478085.3	2434	2289.37	2	0.0526893
XM_026478086.3	2425	2280.37	160.681	4.2498
XM_026478087.3	2288	2143.37	13.4686	0.378995
XM_026478088.3	2224	2079.37	32.8501	0.952825
XM_026478089.3	3098	2953.37	110.76	2.2619
XM_026478090.3	1357	1212.37	32.3204	1.60787
XM_026478091.3	1312	1167.37	0	0
XM_026478092.3	1300	1155.37	198.68	10.3715
XM_026478094.3	1697	1552.37	10.8201	0.420384
XM_026478095.3	3596	3451.37	86.1799	1.50599
XM_026478097.3	993	848.37	0	0
XM_026478098.3	10841	10696.4	0	0
XM_026478099.3	2079	1934.37	0	0
XM_026478100.3	7847	7702.37	347.339	2.71981
XM_026478101.3	6255	6110.37	102.661	1.01332
XM_026478102.3	4900	4755.37	34.054	0.431909
XM_026478103.3	1628	1483.37	60.946	2.47802
XM_026478105.3	4341	4196.37	73	1.0492
XM_026478106.1	1359	1214.37	0	0
XM_026478107.1	1359	1214.37	0	0
XM_026478108.3	4405	4260.37	22.2109	0.314432
XM_026478109.3	4078	3933.37	64.0913	0.98275
XM_026478110.3	4041	3896.37	44.6978	0.691887
XM_026478114.3	3144	2999.37	0	0
XM_026478122.3	5800	5655.37	0	0
XM_026478124.3	5185	5040.37	12.0419	0.144092
XM_026478126.3	4573	4428.37	6.0005	0.0817245
XM_026478127.3	1566	1421.37	304	12.8996
XM_026478128.3	1294	1149.37	356.331	18.6983
XM_026478129.3	1343	1198.37	107.513	5.411
XM_026478130.3	1386	1241.37	22.4873	1.09256
XM_026478131.3	1762	1617.37	26.8239	1.00028
XM_026478132.3	1759	1614.37	28.1761	1.05266
XM_026478133.2	3175	3030.37	19977.9	397.616
XM_026478135.3	3662	3517.37	25	0.428677
XM_026478136.3	3554	3409.37	615	10.8795
XM_026478139.3	2722	2577.37	71.2653	1.66767
XM_026478140.3	2348	2203.37	77.3213	2.11651
XM_026478142.3	4236	4091.37	0	0
XM_026478143.3	338	194.518	264	81.8565
XM_026478144.3	8601	8456.37	6.72211	0.0479435
XM_026478146.3	3833	3688.37	40.7037	0.665592
XM_026478150.3	2311	2166.37	241	6.70955
XM_026478151.3	6755	6610.37	0	0
XM_026478153.3	7000	6855.37	0	0
XM_026478159.3	2152	2007.37	0	0
XM_026478163.3	9279	9134.37	0	0
XM_026478165.3	2434	2289.37	482.349	12.7073
XM_026478167.3	1687	1542.37	0	0
XM_026478168.3	2138	1993.37	43	1.30104
XM_026478169.3	9315	9170.37	1800.56	11.8421
XM_026478170.3	3852	3707.37	3.54065	0.0576005
XM_026478173.3	4464	4319.37	19.0081	0.265415
XM_026478174.3	5197	5052.37	21.5937	0.257775
XM_026478175.3	8598	8453.37	743.723	5.30628
XM_026478176.3	11857	11712.4	43.5204	0.224108
XM_026478179.3	8427	8282.37	1721.9	12.539
XM_026478180.3	843	698.44	0	0
