target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1473.55	244.917	16.2637
XM_026478080.3	6046	5910.55	4.78132	0.0791563
XM_026478083.3	2509	2373.55	0	0
XM_026478085.3	2434	2298.55	0	0
XM_026478086.3	2425	2289.55	374.05	15.9862
XM_026478087.3	2288	2152.55	5.11981	0.232737
XM_026478088.3	2224	2088.55	33.8302	1.58499
XM_026478089.3	3098	2962.55	197.867	6.53541
XM_026478090.3	1357	1221.55	17.95	1.43787
XM_026478091.3	1312	1176.55	0	0
XM_026478092.3	1300	1164.55	103.05	8.65877
XM_026478094.3	1697	1561.55	0.00454026	0.000284506
XM_026478095.3	3596	3460.55	258.224	7.3016
XM_026478097.3	993	857.547	12.2093	1.39316
XM_026478098.3	10841	10705.5	0	0
XM_026478099.3	2079	1943.55	0	0
XM_026478100.3	7847	7711.55	729.153	9.25214
XM_026478101.3	6255	6119.55	156.847	2.50797
XM_026478102.3	4900	4764.55	63.4579	1.30326
XM_026478103.3	1628	1492.55	75.5421	4.95252
XM_026478105.3	4341	4205.55	90	2.09404
XM_026478106.1	1359	1223.55	0	0
XM_026478107.1	1359	1223.55	0	0
XM_026478108.3	4405	4269.55	66.9092	1.53345
XM_026478109.3	4078	3942.55	71.1084	1.76486
XM_026478110.3	4041	3905.55	21.9824	0.550755
XM_026478114.3	3144	3008.55	0	0
XM_026478122.3	5800	5664.55	0	0
XM_026478124.3	5185	5049.55	2.26881	0.0439654
XM_026478126.3	4573	4437.55	72.9598	1.60882
XM_026478127.3	1566	1430.55	396	27.0868
XM_026478128.3	1294	1158.55	757.43	63.9726
XM_026478129.3	1343	1207.55	165.556	13.4155
XM_026478130.3	1386	1250.55	30.4436	2.38211
XM_026478131.3	1762	1626.55	18.9022	1.13713
XM_026478132.3	1759	1623.55	39.0978	2.35642
XM_026478133.2	3175	3039.55	14151.4	455.571
XM_026478135.3	3662	3526.55	18	0.499446
XM_026478136.3	3554	3418.55	845	24.1869
XM_026478139.3	2722	2586.55	107.381	4.06232
XM_026478140.3	2348	2212.55	87.745	3.88057
XM_026478142.3	4236	4100.55	10.52	0.251039
XM_026478143.3	338	204.897	200	95.5123
XM_026478144.3	8601	8465.55	3.48036	0.0402286
XM_026478146.3	3833	3697.55	32.7938	0.867849
XM_026478150.3	2311	2175.55	353	15.8771
XM_026478151.3	6755	6619.55	0	0
XM_026478153.3	7000	6864.55	8	0.114036
XM_026478159.3	2152	2016.55	0	0
XM_026478163.3	9279	9143.55	0	0
XM_026478165.3	2434	2298.55	1859.5	79.1606
XM_026478167.3	1687	1551.55	0	0
XM_026478168.3	2138	2002.55	40	1.95453
XM_026478169.3	9315	9179.55	3618.74	38.5746
XM_026478170.3	3852	3716.55	39.6223	1.04319
XM_026478173.3	4464	4328.55	14.0073	0.31665
XM_026478174.3	5197	5061.55	10.8727	0.210194
XM_026478175.3	8598	8462.55	1154.68	13.3514
XM_026478176.3	11857	11721.5	116.405	0.971745
XM_026478179.3	8427	8291.55	3075.52	36.2952
XM_026478180.3	843	707.547	0	0
XM_026478181.3	2987	2851.55	260	8.92192
XM_026478182.3	8430	8294.55	510.857	6.0266
XM_026478183.3	10477	10341.5	549	5.1946
XM_026478185.3	3015	2879.55	0	0
XM_026478189.3	2391	2255.55	201.41	8.73766
XM_026478191.3	6588	6452.55	121.924	1.84894
XM_026478192.3	6767	6631.55	10.4239	0.153808
XM_026478193.3	6597	6461.55	32.5852	0.493457
XM_026478194.3	6585	6449.55	741.482	11.2496
XM_026478195.3	5023	4887.55	44.348	0.887867
XM_026478196.3	6484	6348.55	0	0
XM_026478199.3	4589	4453.55	2208.41	48.522
XM_026478200.3	4000	3864.55	176	4.45635
XM_026478202.3	21305	21169.5	0	0
XM_026478203.3	4061	3925.55	167.355	4.17162
XM_026478206.2	939	803.547	1	0.121774
XM_026478207.3	1835	1699.55	1	0.0575748
XM_026478208.3	1465	1329.55	12271	903.112
XM_026478212.3	5507	5371.55	4	0.0728662
XM_026478213.3	1113	977.547	0	0
XM_026478215.3	1955	1819.55	36.0224	1.9372
XM_026478216.3	3721	3585.55	8.58374	0.234254
XM_026478217.3	1659	1523.55	24.314	1.56159
XM_026478218.3	4039	3903.55	24.0579	0.603065
XM_026478219.3	6333	6197.55	945	14.9203
XM_026478220.3	4558	4422.55	0	0
XM_026478221.1	1824	1688.55	0	0
XM_026478223.3	7229	7093.55	502.022	6.92507
XM_026478225.3	4249	4113.55	36.1956	0.861002
XM_026478230.1	882	746.547	0	0
XM_026478231.3	2913	2777.55	7.15456	0.25205
XM_026478232.3	4392	4256.55	1313.75	30.2009
XM_026478237.3	4071	3935.55	38.4109	0.955025
XM_026478240.3	2392	2256.55	8.41518	0.364909
XM_026478241.3	4790	4654.55	7.35616	0.154646
XM_026478243.3	7888	7752.55	20.7921	0.262433
XM_026478244.3	2279	2143.55	2.03358	0.092831
XM_026478256.3	15206	15070.5	2.12143e-07	1.37742e-09
XM_026478257.3	2506	2370.55	0	0
XM_026478258.3	2525	2389.55	0	0
XM_026478259.3	6504	6368.55	1061.5	16.3097
XM_026478260.3	2509	2373.55	7.34844	0.302944
XM_026478261.3	2458	2322.55	285.447	12.0261
XM_026478262.3	3255	3119.55	13.4292	0.421236
XM_026478263.3	2242	2106.55	6	0.278705
XM_026478265.3	5688	5552.55	80.0707	1.41106
XM_026478267.3	6675	6539.55	194.029	2.90325
XM_026478270.3	1033	897.547	160	17.4433
XM_026478271.3	1861	1725.55	447.683	25.3869
XM_026478272.3	4162	4026.55	316.468	7.69063
XM_026478273.3	930	794.547	7192	885.718
XM_026478274.3	1809	1673.55	4.99438	0.292018
XM_026478276.3	5005	4869.55	30.4361	0.611598
XM_026478278.3	5047	4911.55	6.58319	0.131155
XM_026478279.3	5035	4899.55	3.09987e-05	6.19088e-07
XM_026478280.3	4894	4758.55	0.0869447	0.00178786
XM_026478282.3	8406	8270.55	29.9793	0.354693
XM_026478283.3	8394	8258.55	6.34879	0.0752233
