target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1493.04	0	0
XM_026478080.3	6046	5930.04	35.5355	3.13959
XM_026478083.3	2509	2393.04	0	0
XM_026478085.3	2434	2318.04	1	0.22602
XM_026478086.3	2425	2309.04	0	0
XM_026478087.3	2288	2172.04	1	0.241212
XM_026478088.3	2224	2108.04	0	0
XM_026478089.3	3098	2982.04	121.239	21.3009
XM_026478090.3	1357	1241.04	0	0
XM_026478091.3	1312	1196.04	0	0
XM_026478092.3	1300	1184.04	5	2.21243
XM_026478094.3	1697	1581.04	4.17203	1.38252
XM_026478095.3	3596	3480.04	12.828	1.93126
XM_026478097.3	993	877.044	0	0
XM_026478098.3	10841	10725	8.03001	0.39227
XM_026478099.3	2079	1963.04	0.327763	0.0874779
XM_026478100.3	7847	7731.04	49.2798	3.33963
XM_026478101.3	6255	6139.04	13.7202	1.17092
XM_026478102.3	4900	4784.04	2.90558	0.318204
XM_026478103.3	1628	1512.04	0	0
XM_026478105.3	4341	4225.04	2	0.248008
XM_026478106.1	1359	1243.04	0	0
XM_026478107.1	1359	1243.04	0	0
XM_026478108.3	4405	4289.04	0	0
XM_026478109.3	4078	3962.04	0.000116017	1.53415e-05
XM_026478110.3	4041	3925.04	8.99988	1.20132
XM_026478114.3	3144	3028.04	7.37	1.27518
XM_026478122.3	5800	5684.04	0	0
XM_026478124.3	5185	5069.04	23.5228	2.43126
XM_026478126.3	4573	4457.04	12.684	1.491
XM_026478127.3	1566	1450.04	15	5.41973
XM_026478128.3	1294	1178.04	43.9726	19.5564
XM_026478129.3	1343	1227.04	9	3.84282
XM_026478130.3	1386	1270.04	0	0
XM_026478131.3	1762	1646.04	0	0
XM_026478132.3	1759	1643.04	0	0
XM_026478133.2	3175	3059.04	1439.38	246.523
XM_026478135.3	3662	3546.04	3	0.443246
XM_026478136.3	3554	3438.04	82	12.496
XM_026478139.3	2722	2606.04	1.09879e-06	2.20901e-07
XM_026478140.3	2348	2232.04	12.5362	2.9426
XM_026478142.3	4236	4120.04	0	0
XM_026478143.3	338	222.135	4	9.43434
XM_026478144.3	8601	8485.04	4.75184	0.293411
XM_026478146.3	3833	3717.04	0	0
XM_026478150.3	2311	2195.04	24	5.72843
XM_026478151.3	6755	6639.04	0	0
XM_026478153.3	7000	6884.04	47.401	3.60755
XM_026478159.3	2152	2036.04	4.00017	1.02934
XM_026478163.3	9279	9163.04	0	0
XM_026478165.3	2434	2318.04	58.9472	13.3232
XM_026478167.3	1687	1571.04	3.61806	1.20658
XM_026478168.3	2138	2022.04	25	6.47764
XM_026478169.3	9315	9199.04	283.663	16.1558
XM_026478170.3	3852	3736.04	17.975	2.52073
XM_026478173.3	4464	4348.04	7.00931	0.844596
XM_026478174.3	5197	5081.04	40.9722	4.22478
XM_026478175.3	8598	8482.04	36.6123	2.26149
XM_026478176.3	11857	11741	95.0005	4.23923
XM_026478179.3	8427	8311.04	136.976	8.63488
XM_026478180.3	843	727.044	1762	1269.73
XM_026478181.3	2987	2871.04	13	2.37231
XM_026478182.3	8430	8314.04	0.00651842	0.000410769
XM_026478183.3	10477	10361	53	2.68003
XM_026478185.3	3015	2899.04	0	0
XM_026478189.3	2391	2275.04	222	51.1247
