target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1505.31	891.361	260.741
XM_026478080.3	6046	5942.31	2.1676	0.160622
XM_026478083.3	2509	2405.31	0	0
XM_026478085.3	2434	2330.31	7	1.32271
XM_026478086.3	2425	2321.31	65.8965	12.5
XM_026478087.3	2288	2184.31	4.10349	0.82722
XM_026478088.3	2224	2120.31	1.52865e-06	3.17461e-07
XM_026478089.3	3098	2994.31	33.8976	4.98487
XM_026478090.3	1357	1253.31	0	0
XM_026478091.3	1312	1208.31	0	0
XM_026478092.3	1300	1196.31	16	5.88923
XM_026478094.3	1697	1593.31	7.02671	1.94193
XM_026478095.3	3596	3492.31	25.7463	3.24627
XM_026478097.3	993	889.307	2.22696	1.10266
XM_026478098.3	10841	10737.3	8.05449	0.330311
XM_026478099.3	2079	1975.31	0	0
XM_026478100.3	7847	7743.31	152.787	8.68844
XM_026478101.3	6255	6151.31	48.2127	3.45124
XM_026478102.3	4900	4796.31	5.82606	0.534871
XM_026478103.3	1628	1524.31	1.29957e-06	3.75411e-07
XM_026478105.3	4341	4237.31	7	0.727426
XM_026478106.1	1359	1255.31	0	0
XM_026478107.1	1359	1255.31	0	0
XM_026478108.3	4405	4301.31	12.2461	1.25365
XM_026478109.3	4078	3974.31	31.7539	3.51817
XM_026478110.3	4041	3937.31	0	0
XM_026478114.3	3144	3040.31	11.2798	1.63367
XM_026478122.3	5800	5696.31	0	0
XM_026478124.3	5185	5081.31	11.3929	0.987279
XM_026478126.3	4573	4469.31	336.171	33.1208
XM_026478127.3	1566	1462.31	68	20.4763
XM_026478128.3	1294	1190.31	85.688	31.6987
XM_026478129.3	1343	1239.31	36.4481	12.9502
XM_026478130.3	1386	1282.31	11.5519	3.96682
XM_026478131.3	1762	1658.31	0	0
XM_026478132.3	1759	1655.31	0	0
XM_026478133.2	3175	3071.31	5173.57	741.734
XM_026478135.3	3662	3558.31	24	2.96995
XM_026478136.3	3554	3450.31	152	19.3984
XM_026478139.3	2722	2618.31	56.6462	9.52645
XM_026478140.3	2348	2244.31	0	0
XM_026478142.3	4236	4132.31	14.2822	1.52189
XM_026478143.3	338	234.374	35	65.7566
XM_026478144.3	8601	8497.31	43.3602	2.24694
XM_026478146.3	3833	3729.31	0	0
XM_026478150.3	2311	2207.31	70	13.9642
XM_026478151.3	6755	6651.31	0	0
XM_026478153.3	7000	6896.31	6.42568e-08	4.10283e-09
XM_026478159.3	2152	2048.31	0	0
XM_026478163.3	9279	9175.31	0	0
XM_026478165.3	2434	2330.31	291.883	55.1539
XM_026478167.3	1687	1583.31	0	0
XM_026478168.3	2138	2034.31	14	3.03035
XM_026478169.3	9315	9211.31	851.542	40.7067
XM_026478170.3	3852	3748.31	19.3525	2.27344
XM_026478173.3	4464	4360.31	9.15085	0.924113
XM_026478174.3	5197	5093.31	20.7736	1.79595
XM_026478175.3	8598	8494.31	73.0745	3.78808
XM_026478176.3	11857	11753.3	26.591	0.996221
XM_026478179.3	8427	8323.31	406.078	21.483
XM_026478180.3	843	739.307	0	0
XM_026478181.3	2987	2883.31	86	13.1337
XM_026478182.3	8430	8326.31	0.0432744	0.00228855
XM_026478183.3	10477	10373.3	922	39.1376
XM_026478185.3	3015	2911.31	1	0.151249
XM_026478189.3	2391	2287.31	37.4968	7.21857
XM_026478191.3	6588	6484.31	40.6149	2.75806
XM_026478192.3	6767	6663.31	5.51198	0.364249
XM_026478193.3	6597	6493.31	20.4406	1.38614
XM_026478194.3	6585	6481.31	158.061	10.7385
XM_026478195.3	5023	4919.31	6.41395	0.57412
XM_026478196.3	6484	6380.31	0	0
XM_026478199.3	4589	4485.31	996.066	97.7861
XM_026478200.3	4000	3896.31	90	10.1712
XM_026478202.3	21305	21201.3	24.2034	0.502683
XM_026478203.3	4061	3957.31	51	5.67481
XM_026478206.2	939	835.307	0	0
XM_026478207.3	1835	1731.31	15	3.81503
XM_026478208.3	1465	1361.31	1288	416.621
XM_026478212.3	5507	5403.31	11.0645	0.90168
XM_026478213.3	1113	1009.31	0	0
XM_026478215.3	1955	1851.31	11.1821	2.65966
XM_026478216.3	3721	3617.31	0	0
XM_026478217.3	1659	1555.31	0	0
XM_026478218.3	4039	3935.31	10	1.11893
XM_026478219.3	6333	6229.31	129	9.11866
XM_026478220.3	4558	4454.31	2	0.197711
XM_026478221.1	1824	1720.31	0	0
XM_026478223.3	7229	7125.31	1099.95	67.9751
XM_026478225.3	4249	4145.31	9.04299	0.960586
XM_026478230.1	882	778.307	0	0
XM_026478231.3	2913	2809.31	0	0
XM_026478232.3	4392	4288.31	243.793	25.0332
XM_026478237.3	4071	3967.31	0	0
XM_026478240.3	2392	2288.31	0	0
XM_026478241.3	4790	4686.31	12.9768	1.21932
XM_026478243.3	7888	7784.31	37.2426	2.10669
XM_026478244.3	2279	2175.31	0	0
XM_026478256.3	15206	15102.3	0.00948656	0.000276596
XM_026478257.3	2506	2402.31	0	0
XM_026478258.3	2525	2421.31	18.5628	3.37579
XM_026478259.3	6504	6400.31	363.341	24.9974
XM_026478260.3	2509	2405.31	20.898	3.82574
XM_026478261.3	2458	2354.31	125.31	23.4372
XM_026478262.3	3255	3151.31	0	0
XM_026478263.3	2242	2138.31	6	1.23556
XM_026478265.3	5688	5584.31	18.6519	1.47074
XM_026478267.3	6675	6571.31	39.3834	2.63902
XM_026478270.3	1033	929.307	27	12.7934
XM_026478271.3	1861	1757.31	139.5	34.955
XM_026478272.3	4162	4058.31	114.231	12.3942
XM_026478273.3	930	826.307	751	400.202
XM_026478274.3	1809	1705.31	17.8874	4.61878
XM_026478276.3	5005	4901.31	0	0
XM_026478278.3	5047	4943.31	0	0
XM_026478279.3	5035	4931.31	13.6715	1.22077
XM_026478280.3	4894	4790.31	0	0
XM_026478282.3	8406	8302.31	7.76298e-06	4.11728e-07
XM_026478283.3	8394	8290.31	0	0
XM_026478284.3	8294	8190.31	18.219	0.979503
XM_026478285.3	8279	8175.31	4.68862e-05	2.52535e-06
XM_026478290.3	4690	4586.31	95	9.12098
XM_026478291.3	7074	6970.31	42.1869	2.66506
XM_026478292.3	6933	6829.31	0	0
XM_026478293.3	6961	6857.31	75.1005	4.82247
XM_026478295.3	6712	6608.31	4.7126	0.314016
XM_026478296.3	9714	9610.31	3.81043	0.174589
XM_026478297.3	4637	4533.31	27.1537	2.63751
XM_026478298.3	4580	4476.31	16.2396	1.59748
XM_026478299.3	9699	9595.31	0.274514	0.0125976
XM_026478300.3	4622	4518.31	0.10286	0.0100242
XM_026478303.3	9076	8972.31	26.6312	1.30698
XM_026478308.3	9177	9073.31	73.4725	3.56566
XM_026478309.3	1777	1673.31	78	20.5258
XM_026478311.3	1579	1475.31	59.023	17.6165
XM_026478312.3	2647	2543.31	13	2.25074
XM_026478313.3	513	409.307	0	0
XM_026478317.3	5855	5751.31	22.4929	1.72211
XM_026478318.3	3547	3443.31	40.7969	5.21714
XM_026478320.3	8741	8637.31	650.411	33.1582
XM_026478321.3	3804	3700.31	246	29.2737
XM_026478322.3	2471	2367.31	4.5055	0.838049
XM_026478323.3	2809	2705.31	0.214097	0.0348478
XM_026478326.3	5940	5836.31	9.56244	0.721459
XM_026478327.3	2519	2415.31	4.39542	0.801326
XM_026478328.3	9165	9061.31	0	0
XM_026478329.3	6861	6757.31	0	0
XM_026478331.3	1885	1781.31	20.583	5.08805
XM_026478335.3	2818	2714.31	75	12.167
XM_026478337.3	3820	3716.31	1	0.118487
XM_026478339.3	11121	11017.3	7.47094	0.298594
XM_026478340.3	11278	11174.3	22.7051	0.894713
XM_026478341.3	6045	5941.31	11.4737	0.850357
XM_026478347.3	3434	3330.31	0	0
XM_026478348.3	907	803.307	181	99.2152
XM_026478350.3	3299	3195.31	0	0
XM_026478352.3	1414	1310.31	4.44667e-08	1.49432e-08
XM_026478353.3	1391	1287.31	9	3.07852
XM_026478355.3	1613	1509.31	82.7002	24.1274
XM_026478356.3	1219	1115.31	43.2998	17.0951
XM_026478358.3	1976	1872.31	50.9473	11.9819
XM_026478361.3	335	231.374	1.54643	2.94303
XM_026478362.3	1440	1336.31	3642	1200.09
XM_026478365.3	1806	1702.31	0	0
XM_026478366.3	2953	2849.31	19	2.93627
XM_026478368.3	1990	1886.31	50.8659	11.874
XM_026478371.3	2783	2679.31	43.9893	7.22946
XM_026478372.3	2782	2678.31	133.011	21.8679
XM_026478373.3	3090	2986.31	0	0
XM_026478374.3	2298	2194.31	0	0
XM_026478375.3	2175	2071.31	0	0
XM_026478376.3	1983	1879.31	0	0
XM_026478377.2	1899	1795.31	0	0
XM_026478378.2	1782	1678.31	8.75683e-06	2.29751e-06
XM_026478379.3	1764	1660.31	0.999991	0.265209
XM_026478380.3	605	501.307	14	12.2972
XM_026478382.3	1944	1840.31	29.2986	7.01032
