target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1499.39	2109.02	618.618
XM_026478080.3	6046	5936.39	5.52085	0.409016
XM_026478083.3	2509	2399.39	0	0
XM_026478085.3	2434	2324.39	7	1.32448
XM_026478086.3	2425	2315.39	16.3142	3.09884
XM_026478087.3	2288	2178.39	17.1644	3.46536
XM_026478088.3	2224	2114.39	5.5214	1.14847
XM_026478089.3	3098	2988.39	67.3755	9.91567
XM_026478090.3	1357	1247.39	0	0
XM_026478091.3	1312	1202.39	4.8438	1.77173
XM_026478092.3	1300	1190.39	20.1562	7.44691
XM_026478094.3	1697	1587.39	12.4768	3.45682
XM_026478095.3	3596	3486.39	16.5232	2.08437
XM_026478097.3	993	883.393	0	0
XM_026478098.3	10841	10731.4	4.27886	0.17536
XM_026478099.3	2079	1969.39	0.168481	0.037625
XM_026478100.3	7847	7737.39	193.182	10.9807
XM_026478101.3	6255	6145.39	47.8183	3.42218
XM_026478102.3	4900	4790.39	8.72832	0.801341
XM_026478103.3	1628	1518.39	5.32101e-06	1.54123e-06
XM_026478105.3	4341	4231.39	12	1.24726
XM_026478106.1	1359	1249.39	0	0
XM_026478107.1	1359	1249.39	0	0
XM_026478108.3	4405	4295.39	20.5499	2.10409
XM_026478109.3	4078	3968.39	26.4501	2.93136
XM_026478110.3	4041	3931.39	0	0
XM_026478114.3	3144	3034.39	0	0
XM_026478122.3	5800	5690.39	0	0
XM_026478124.3	5185	5075.39	6.62704	0.574259
XM_026478126.3	4573	4463.39	103.783	10.2263
XM_026478127.3	1566	1456.39	102	30.802
XM_026478128.3	1294	1184.39	125.767	46.7014
XM_026478129.3	1343	1233.39	41.2894	14.7229
XM_026478130.3	1386	1276.39	15.7106	5.41336
XM_026478131.3	1762	1652.39	0.386372	0.102837
XM_026478132.3	1759	1649.39	2.61363	0.696911
XM_026478133.2	3175	3065.39	3441.33	493.74
XM_026478135.3	3662	3552.39	64	7.92349
XM_026478136.3	3554	3444.39	103	13.1517
XM_026478139.3	2722	2612.39	45.0004	7.57592
XM_026478140.3	2348	2238.39	0	0
XM_026478142.3	4236	4126.39	8.2925	0.883838
XM_026478143.3	338	228.425	24	46.2089
XM_026478144.3	8601	8491.39	19.0819	0.988325
XM_026478146.3	3833	3723.39	0	0
XM_026478150.3	2311	2201.39	85	16.9816
XM_026478151.3	6755	6645.39	0	0
XM_026478153.3	7000	6890.39	0	0
XM_026478159.3	2152	2042.39	1.00451	0.216308
XM_026478163.3	9279	9169.39	0	0
XM_026478165.3	2434	2324.39	533.348	100.916
XM_026478167.3	1687	1577.39	0	0
XM_026478168.3	2138	2028.39	18	3.90282
XM_026478169.3	9315	9205.39	456.916	21.8299
XM_026478170.3	3852	3742.39	5.53256	0.650181
XM_026478173.3	4464	4354.39	24.2928	2.45362
XM_026478174.3	5197	5087.39	11.7778	1.01819
XM_026478175.3	8598	8488.39	39.294	2.03591
XM_026478176.3	11857	11747.4	15.5205	0.58106
XM_026478179.3	8427	8317.39	369.043	19.514
XM_026478180.3	843	733.393	0	0
XM_026478181.3	2987	2877.39	85	12.992
XM_026478182.3	8430	8320.39	0.398638	0.0210714
XM_026478183.3	10477	10367.4	433	18.3686
XM_026478185.3	3015	2905.39	157	23.7658
XM_026478189.3	2391	2281.39	135	26.025
XM_026478191.3	6588	6478.39	235.501	15.9876
XM_026478192.3	6767	6657.39	0	0
XM_026478193.3	6597	6487.39	7.87754	0.534045
XM_026478194.3	6585	6475.39	795.147	54.0056
XM_026478195.3	5023	4913.39	6.67087	0.597116
XM_026478196.3	6484	6374.39	7.55595	0.521324
XM_026478199.3	4589	4479.39	845.065	82.9714
XM_026478200.3	4000	3890.39	75	8.47863
XM_026478202.3	21305	21195.4	31.7467	0.658742
XM_026478203.3	4061	3951.39	56.5617	6.2955
XM_026478206.2	939	829.393	0	0
XM_026478207.3	1835	1725.39	14	3.5686
XM_026478208.3	1465	1355.39	2373	769.999
XM_026478212.3	5507	5397.39	14.8931	1.21355
XM_026478213.3	1113	1003.39	0	0
XM_026478215.3	1955	1845.39	0	0
XM_026478216.3	3721	3611.39	76.1227	9.27037
XM_026478217.3	1659	1549.39	12.8773	3.65528
XM_026478218.3	4039	3929.39	0	0
