target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1467.43	0	0
XM_026478080.3	6046	5904.43	0	0
XM_026478083.3	2509	2367.43	0	0
XM_026478085.3	2434	2292.43	0	0
XM_026478086.3	2425	2283.43	579.478	26.4381
XM_026478087.3	2288	2146.43	32.5273	1.57874
XM_026478088.3	2224	2082.43	28.9944	1.45052
XM_026478089.3	3098	2956.43	195.555	6.891
XM_026478090.3	1357	1215.43	0	0
XM_026478091.3	1312	1170.43	0	0
XM_026478092.3	1300	1158.43	49	4.40663
XM_026478094.3	1697	1555.43	35.9688	2.40911
XM_026478095.3	3596	3454.43	143.031	4.31354
XM_026478097.3	993	851.427	0	0
XM_026478098.3	10841	10699.4	4.0008	0.0389552
XM_026478099.3	2079	1937.43	0	0
XM_026478100.3	7847	7705.43	304.011	4.11028
XM_026478101.3	6255	6113.43	148.989	2.53893
XM_026478102.3	4900	4758.43	21.142	0.462873
XM_026478103.3	1628	1486.43	42.858	3.00378
XM_026478105.3	4341	4199.43	50	1.24039
XM_026478106.1	1359	1217.43	0	0
XM_026478107.1	1359	1217.43	0	0
XM_026478108.3	4405	4263.43	19.7065	0.481537
XM_026478109.3	4078	3936.43	29.8478	0.789933
XM_026478110.3	4041	3899.43	11.4457	0.305788
XM_026478114.3	3144	3002.43	0	0
XM_026478122.3	5800	5658.43	0	0
XM_026478124.3	5185	5043.43	3.71172	0.0766706
XM_026478126.3	4573	4431.43	22.7663	0.535215
XM_026478127.3	1566	1424.43	674	49.2946
XM_026478128.3	1294	1152.43	999.165	90.3241
XM_026478129.3	1343	1201.43	157.665	13.6715
XM_026478130.3	1386	1244.43	141.335	11.832
XM_026478131.3	1762	1620.43	53.6518	3.44933
XM_026478132.3	1759	1617.43	98.3482	6.33463
XM_026478133.2	3175	3033.43	23713.1	814.392
XM_026478135.3	3662	3520.43	8	0.236741
XM_026478136.3	3554	3412.43	739	22.5611
XM_026478139.3	2722	2580.43	32.1611	1.29843
XM_026478140.3	2348	2206.43	129.649	6.12151
XM_026478142.3	4236	4094.43	10.1599	0.258508
XM_026478143.3	338	198.339	450	236.365
XM_026478144.3	8601	8459.43	8.87104	0.109248
XM_026478146.3	3833	3691.43	27.8612	0.786295
XM_026478150.3	2311	2169.43	446	21.4175
XM_026478151.3	6755	6613.43	0	0
XM_026478153.3	7000	6858.43	0	0
XM_026478159.3	2152	2010.43	0	0
XM_026478163.3	9279	9137.43	1.18909	0.0135572
XM_026478165.3	2434	2292.43	487.687	22.1628
XM_026478167.3	1687	1545.43	0	0
XM_026478168.3	2138	1996.43	6	0.313096
XM_026478169.3	9315	9173.43	1653	18.7724
XM_026478170.3	3852	3710.43	41.1965	1.15669
XM_026478173.3	4464	4322.43	5.003	0.120582
XM_026478174.3	5197	5055.43	12.9013	0.265861
XM_026478175.3	8598	8456.43	155.255	1.91267
