target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1439.19	24	2.09388
XM_026478080.3	6046	5876.19	2.35333	0.0502859
XM_026478083.3	2509	2339.19	0	0
XM_026478085.3	2434	2264.19	0	0
XM_026478086.3	2425	2255.19	239	13.3068
XM_026478087.3	2288	2118.19	0	0
XM_026478088.3	2224	2054.19	0	0
XM_026478089.3	3098	2928.19	133.962	5.74436
XM_026478090.3	1357	1187.19	9.89284	1.04631
XM_026478091.3	1312	1142.19	15.7253	1.7287
XM_026478092.3	1300	1130.19	109.382	12.1521
XM_026478094.3	1697	1527.19	47.6383	3.91672
XM_026478095.3	3596	3426.19	178.579	6.5445
XM_026478097.3	993	823.189	16.783	2.55992
XM_026478098.3	10841	10671.2	8.50972	0.100129
XM_026478099.3	2079	1909.19	0.118014	0.00776142
XM_026478100.3	7847	7677.19	350.065	5.72539
XM_026478101.3	6255	6085.19	54.9346	1.13352
XM_026478102.3	4900	4730.19	21.7868	0.578327
XM_026478103.3	1628	1458.19	52.2132	4.49598
XM_026478105.3	4341	4171.19	76	2.28777
XM_026478106.1	1359	1189.19	0	0
XM_026478107.1	1359	1189.19	0	0
XM_026478108.3	4405	4235.19	51.783	1.53523
XM_026478109.3	4078	3908.19	108.58	3.48844
XM_026478110.3	4041	3871.19	10.6373	0.34502
XM_026478114.3	3144	2974.19	13.8158	0.583263
XM_026478122.3	5800	5630.19	0	0
XM_026478124.3	5185	5015.19	6.87468	0.172117
XM_026478126.3	4573	4403.19	39.3893	1.12323
XM_026478127.3	1566	1396.19	329	29.5876
XM_026478128.3	1294	1124.19	462.674	51.6766
XM_026478129.3	1343	1173.19	144.285	15.4423
XM_026478130.3	1386	1216.19	32.7145	3.37752
XM_026478131.3	1762	1592.19	51.55	4.0653
XM_026478132.3	1759	1589.19	94.45	7.4625
XM_026478133.2	3175	3005.19	25444.1	1063.1
XM_026478135.3	3662	3492.19	22	0.791012
XM_026478136.3	3554	3384.19	843	31.2774
XM_026478139.3	2722	2552.19	83.4779	4.10693
XM_026478140.3	2348	2178.19	57.1347	3.29354
XM_026478142.3	4236	4066.19	0	0
XM_026478143.3	338	171.909	365	266.595
XM_026478144.3	8601	8431.19	1.89945	0.0282877
