target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1480.1	1005.97	361.598
XM_026478080.3	6046	5917.1	2.04437	0.183816
XM_026478083.3	2509	2380.1	12	2.68237
XM_026478085.3	2434	2305.1	0	0
XM_026478086.3	2425	2296.1	26.6403	6.17278
XM_026478087.3	2288	2159.1	11.3597	2.79915
XM_026478088.3	2224	2095.1	0	0
XM_026478089.3	3098	2969.1	71.6568	12.84
XM_026478090.3	1357	1228.1	0	0
XM_026478091.3	1312	1183.1	0	0
XM_026478092.3	1300	1171.1	29	13.1746
XM_026478094.3	1697	1568.1	3.04337	1.03256
XM_026478095.3	3596	3467.1	12.9964	1.9943
XM_026478097.3	993	864.099	4.75338	2.92665
XM_026478098.3	10841	10712.1	0	0
XM_026478099.3	2079	1950.1	0.123482	0.0336883
XM_026478100.3	7847	7718.1	203.856	14.0522
XM_026478101.3	6255	6126.1	10.144	0.880965
XM_026478102.3	4900	4771.1	12.6157	1.40678
XM_026478103.3	1628	1499.1	11.3843	4.04024
XM_026478105.3	4341	4212.1	10	1.26309
XM_026478106.1	1359	1230.1	0	0
XM_026478107.1	1359	1230.1	0	0
XM_026478108.3	4405	4276.1	26.1535	3.25398
XM_026478109.3	4078	3949.1	8.68275	1.16975
XM_026478110.3	4041	3912.1	24.1637	3.28614
XM_026478114.3	3144	3015.1	0	0
XM_026478122.3	5800	5671.1	0	0
XM_026478124.3	5185	5056.1	20.7161	2.17984
XM_026478126.3	4573	4444.1	257.746	30.8561
XM_026478127.3	1566	1437.1	76	28.1358
XM_026478128.3	1294	1165.1	94	42.9237
XM_026478129.3	1343	1214.1	50	21.9103
XM_026478130.3	1386	1257.1	0	0
XM_026478131.3	1762	1633.1	0.108761	0.0354318
XM_026478132.3	1759	1630.1	0.891239	0.290879
XM_026478133.2	3175	3046.1	3327	581.087
XM_026478135.3	3662	3533.1	25	3.76458
XM_026478136.3	3554	3425.1	110	17.0864
XM_026478139.3	2722	2593.1	13.311	2.73101
XM_026478140.3	2348	2219.1	10.3707	2.48636
XM_026478142.3	4236	4107.1	8.74848	1.13326
XM_026478143.3	338	209.291	23	58.4667
XM_026478144.3	8601	8472.1	12.806	0.804181
XM_026478146.3	3833	3704.1	0	0
XM_026478150.3	2311	2182.1	49	11.9469
XM_026478151.3	6755	6626.1	0	0
XM_026478153.3	7000	6871.1	6	0.464576
XM_026478159.3	2152	2023.1	0	0
XM_026478163.3	9279	9150.1	0	0
XM_026478165.3	2434	2305.1	245.294	56.6148
XM_026478167.3	1687	1558.1	0	0
XM_026478168.3	2138	2009.1	9	2.38327
XM_026478169.3	9315	9186.1	395.024	22.8783
XM_026478170.3	3852	3723.1	13.779	1.969
XM_026478173.3	4464	4335.1	9.06955	1.11306
XM_026478174.3	5197	5068.1	18.6904	1.96203
XM_026478175.3	8598	8469.1	43.3556	2.72358
XM_026478176.3	11857	11728.1	45.9871	2.08613
XM_026478179.3	8427	8298.1	336.435	21.5702
XM_026478180.3	843	714.099	0	0
XM_026478181.3	2987	2858.1	53	9.86576
XM_026478182.3	8430	8301.1	3.91225	0.25074
XM_026478183.3	10477	10348.1	722	37.1201
XM_026478185.3	3015	2886.1	0	0
XM_026478189.3	2391	2262.1	37.0836	8.72172
XM_026478191.3	6588	6459.1	37.9473	3.12565
XM_026478192.3	6767	6638.1	7.47587	0.59917
XM_026478193.3	6597	6468.1	15.5282	1.27725
XM_026478194.3	6585	6456.1	220.373	18.1602
XM_026478195.3	5023	4894.1	17.3475	1.8858
XM_026478196.3	6484	6355.1	0	0
XM_026478199.3	4589	4460.1	908.58	108.38
XM_026478200.3	4000	3871.1	63	8.65841
XM_026478202.3	21305	21176.1	4.41353e-07	1.10885e-08
XM_026478203.3	4061	3932.1	32.3966	4.38336
XM_026478206.2	939	810.099	0	0
XM_026478207.3	1835	1706.1	30.6566	9.55986
XM_026478208.3	1465	1336.1	1751	697.236
XM_026478212.3	5507	5378.1	17.0663	1.68827
XM_026478213.3	1113	984.099	0	0
XM_026478215.3	1955	1826.1	0	0
XM_026478216.3	3721	3592.1	12.1843	1.80461
XM_026478217.3	1659	1530.1	0	0
XM_026478218.3	4039	3910.1	13	1.76884
XM_026478219.3	6333	6204.1	139	11.9198
