target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1469.11	361.106	136.475
XM_026478080.3	6046	5906.11	6.38106	0.599877
XM_026478083.3	2509	2369.11	13	3.0467
XM_026478085.3	2434	2294.11	0	0
XM_026478086.3	2425	2285.11	30.6643	7.45071
XM_026478087.3	2288	2148.11	13.3357	3.4469
XM_026478088.3	2224	2084.11	0	0
XM_026478089.3	3098	2958.11	58.0914	10.9036
XM_026478090.3	1357	1217.11	0	0
XM_026478091.3	1312	1172.11	4.3588	2.06476
XM_026478092.3	1300	1160.11	40.6412	19.4509
XM_026478094.3	1697	1557.11	9.91961	3.5371
XM_026478095.3	3596	3456.11	16.3796	2.63141
XM_026478097.3	993	853.105	8.70074	5.6627
XM_026478098.3	10841	10701.1	14.4213	0.74825
XM_026478099.3	2079	1939.11	0	0
XM_026478100.3	7847	7707.11	144.098	10.381
XM_026478101.3	6255	6115.11	33.9019	3.07816
XM_026478102.3	4900	4760.11	38.6374	4.50673
XM_026478103.3	1628	1488.11	27.3626	10.2093
XM_026478105.3	4341	4201.11	9	1.18946
XM_026478106.1	1359	1219.11	0	0
XM_026478107.1	1359	1219.11	0	0
XM_026478108.3	4405	4265.11	26.901	3.50194
XM_026478109.3	4078	3938.11	0	0
XM_026478110.3	4041	3901.11	9.09899	1.29502
XM_026478114.3	3144	3004.11	12.5288	2.31561
XM_026478122.3	5800	5660.11	0	0
XM_026478124.3	5185	5045.11	21.9976	2.4209
XM_026478126.3	4573	4433.11	263.508	33.0032
XM_026478127.3	1566	1426.11	45	17.5199
XM_026478128.3	1294	1154.11	99	47.6277
XM_026478129.3	1343	1203.11	15.8297	7.30533
XM_026478130.3	1386	1246.11	19.1703	8.54169
XM_026478131.3	1762	1622.11	0.0795055	0.0272137
XM_026478132.3	1759	1619.11	0.920495	0.315658
XM_026478133.2	3175	3035.11	4009.99	733.567
XM_026478135.3	3662	3522.11	15	2.36461
XM_026478136.3	3554	3414.11	199	32.3628
XM_026478139.3	2722	2582.11	49.6268	10.6712
XM_026478140.3	2348	2208.11	0	0
XM_026478142.3	4236	4096.11	9.35781	1.26845
XM_026478143.3	338	199.325	48	133.706
XM_026478144.3	8601	8461.11	30.0509	1.97197
XM_026478146.3	3833	3693.11	6.16812e-06	9.27324e-07
XM_026478150.3	2311	2171.11	79	20.203
XM_026478151.3	6755	6615.11	0	0
XM_026478153.3	7000	6860.11	0	0
XM_026478159.3	2152	2012.11	0	0
XM_026478163.3	9279	9139.11	2.75133	0.167151
XM_026478165.3	2434	2294.11	331.959	80.3418
XM_026478167.3	1687	1547.11	0	0
XM_026478168.3	2138	1998.11	9	2.50089
XM_026478169.3	9315	9175.11	519.369	31.4293
XM_026478170.3	3852	3712.11	22.6735	3.39131
XM_026478173.3	4464	4324.11	11.2139	1.43989
XM_026478174.3	5197	5057.11	24.6978	2.7116
XM_026478175.3	8598	8458.11	58.3049	3.82739
XM_026478176.3	11857	11717.1	83.4088	3.95241
XM_026478179.3	8427	8287.11	313.668	21.0154
XM_026478180.3	843	703.105	0	0
XM_026478181.3	2987	2847.11	76	14.8211
XM_026478182.3	8430	8290.11	31.0258	2.07794
XM_026478183.3	10477	10337.1	474	25.4595
XM_026478185.3	3015	2875.11	0	0
XM_026478189.3	2391	2251.11	110.71	27.3062
XM_026478191.3	6588	6448.11	507.401	43.6907
XM_026478192.3	6767	6627.11	31.6828	2.65442
XM_026478193.3	6597	6457.11	105.497	9.07135
XM_026478194.3	6585	6445.11	366.625	31.5837
XM_026478195.3	5023	4883.11	9.7947	1.11369
XM_026478196.3	6484	6344.11	0	0
XM_026478199.3	4589	4449.11	928.849	115.916
XM_026478200.3	4000	3860.11	112.863	16.234
XM_026478202.3	21305	21165.1	0	0
XM_026478203.3	4061	3921.11	56.0507	7.93675
XM_026478206.2	939	799.105	0	0
XM_026478207.3	1835	1695.11	22	7.20603
XM_026478208.3	1465	1325.11	1378	577.39
XM_026478212.3	5507	5367.11	11	1.13795
XM_026478213.3	1113	973.105	0	0
XM_026478215.3	1955	1815.11	0	0
XM_026478216.3	3721	3581.11	18.0066	2.79181
XM_026478217.3	1659	1519.11	0	0
XM_026478218.3	4039	3899.11	21.658	3.08406
XM_026478219.3	6333	6193.11	123	11.0272
XM_026478220.3	4558	4418.11	7	0.879695
XM_026478221.1	1824	1684.11	0	0
XM_026478223.3	7229	7089.11	588.233	46.071
XM_026478225.3	4249	4109.11	28.6849	3.87593
XM_026478230.1	882	742.105	0	0
XM_026478231.3	2913	2773.11	0	0
XM_026478232.3	4392	4252.11	243.705	31.8222
XM_026478237.3	4071	3931.11	0	0
XM_026478240.3	2392	2252.11	0	0
XM_026478241.3	4790	4650.11	21.9008	2.61498
XM_026478243.3	7888	7748.11	73.354	5.25652
XM_026478244.3	2279	2139.11	2.14684	0.557234
XM_026478256.3	15206	15066.1	2.16918e-08	7.99402e-10
XM_026478257.3	2506	2366.11	11.5189	2.70302
XM_026478258.3	2525	2385.11	25.5199	5.94076
XM_026478259.3	6504	6364.11	290.556	25.3491
XM_026478260.3	2509	2369.11	20.4928	4.80272
XM_026478261.3	2458	2318.11	115.758	27.726
XM_026478262.3	3255	3115.11	19.7104	3.51312
XM_026478263.3	2242	2102.11	9	2.37716
XM_026478265.3	5688	5548.11	8.18371	0.818985
XM_026478267.3	6675	6535.11	21.1288	1.79511
XM_026478270.3	1033	893.105	29	18.0288
XM_026478271.3	1861	1721.11	146.49	47.2576
XM_026478272.3	4162	4022.11	71.907	9.92632
XM_026478273.3	930	790.105	919	645.804
XM_026478274.3	1809	1669.11	18.5399	6.16728
XM_026478276.3	5005	4865.11	0	0
XM_026478278.3	5047	4907.11	0	0
XM_026478279.3	5035	4895.11	21.4229	2.42989
XM_026478280.3	4894	4754.11	0	0
XM_026478282.3	8406	8266.11	0.000828968	5.5681e-05
XM_026478283.3	8394	8254.11	0	0
XM_026478284.3	8294	8154.11	78.6428	5.35492
XM_026478285.3	8279	8139.11	0	0
XM_026478290.3	4690	4550.11	95	11.5924
XM_026478291.3	7074	6934.11	46.5984	3.73122
XM_026478292.3	6933	6793.11	10.5727	0.864149
