target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1488.65	23	7.7594
XM_026478080.3	6046	5925.65	0	0
XM_026478083.3	2509	2388.65	0	0
XM_026478085.3	2434	2313.65	1	0.217068
XM_026478086.3	2425	2304.65	0	0
XM_026478087.3	2288	2167.65	0	0
XM_026478088.3	2224	2103.65	17	4.05853
XM_026478089.3	3098	2977.65	14.41	2.43043
XM_026478090.3	1357	1236.65	0	0
XM_026478091.3	1312	1191.65	4.14713	1.7478
XM_026478092.3	1300	1179.65	12.8529	5.47192
XM_026478094.3	1697	1576.65	0	0
XM_026478095.3	3596	3475.65	0	0
XM_026478097.3	993	872.649	0.0823876	0.0474149
XM_026478098.3	10841	10720.6	0	0
XM_026478099.3	2079	1958.65	0.181514	0.0465422
XM_026478100.3	7847	7726.65	9.87592	0.641917
XM_026478101.3	6255	6134.65	8.12408	0.665085
XM_026478102.3	4900	4779.65	4.01175	0.421532
XM_026478103.3	1628	1507.65	4.98825	1.66165
XM_026478105.3	4341	4220.65	1	0.118991
XM_026478106.1	1359	1238.65	0	0
XM_026478107.1	1359	1238.65	0	0
XM_026478108.3	4405	4284.65	15	1.7582
XM_026478109.3	4078	3957.65	0	0
XM_026478110.3	4041	3920.65	0	0
XM_026478114.3	3144	3023.65	0	0
XM_026478122.3	5800	5679.65	0	0
XM_026478124.3	5185	5064.65	0	0
XM_026478126.3	4573	4452.65	15	1.69186
XM_026478127.3	1566	1445.65	67	23.2758
XM_026478128.3	1294	1173.65	28	11.9815
XM_026478129.3	1343	1222.65	28	11.5014
XM_026478130.3	1386	1265.65	0	0
XM_026478131.3	1762	1641.65	0	0
XM_026478132.3	1759	1638.65	0	0
XM_026478133.2	3175	3054.65	242.58	39.8829
XM_026478135.3	3662	3541.65	0	0
XM_026478136.3	3554	3433.65	11	1.6089
XM_026478139.3	2722	2601.65	0	0
XM_026478140.3	2348	2227.65	20.1993	4.55389
XM_026478142.3	4236	4115.65	0	0
XM_026478143.3	338	217.876	84	193.625
XM_026478144.3	8601	8480.65	1.77866	0.105331
XM_026478146.3	3833	3712.65	14.9687	2.02486
XM_026478150.3	2311	2190.65	145	33.2421
XM_026478151.3	6755	6634.65	0	0
XM_026478153.3	7000	6879.65	45.8643	3.34812
XM_026478159.3	2152	2031.65	0	0
XM_026478163.3	9279	9158.65	0	0
XM_026478165.3	2434	2313.65	100.53	21.8218
XM_026478167.3	1687	1566.65	0	0
XM_026478168.3	2138	2017.65	7	1.74239
XM_026478169.3	9315	9194.65	67	3.65959
XM_026478170.3	3852	3731.65	15.1918	2.04456
XM_026478173.3	4464	4343.65	2.00707	0.23206
XM_026478174.3	5197	5076.65	0	0
XM_026478175.3	8598	8477.65	329.464	19.5176
XM_026478176.3	11857	11736.6	11.5874	0.495831
XM_026478179.3	8427	8306.65	593.08	35.8575
XM_026478180.3	843	722.649	0	0
XM_026478181.3	2987	2866.65	50	8.75968
XM_026478182.3	8430	8309.65	144.456	8.73062
XM_026478183.3	10477	10356.6	32	1.55176
XM_026478185.3	3015	2894.65	0	0
XM_026478189.3	2391	2270.65	18	3.98121
XM_026478191.3	6588	6467.65	0	0
XM_026478192.3	6767	6646.65	0	0
XM_026478193.3	6597	6476.65	0	0
XM_026478194.3	6585	6464.65	0	0
XM_026478195.3	5023	4902.65	3.11675	0.319274
XM_026478196.3	6484	6363.65	0.130318	0.0102847
XM_026478199.3	4589	4468.65	32.0665	3.60386
XM_026478200.3	4000	3879.65	208	26.9255
XM_026478202.3	21305	21184.6	7.20095	0.170711
XM_026478203.3	4061	3940.65	12.2734	1.56419
XM_026478206.2	939	818.649	0	0
XM_026478207.3	1835	1714.65	3	0.878696
XM_026478208.3	1465	1344.65	199	74.3253
XM_026478212.3	5507	5386.65	2	0.186468
XM_026478213.3	1113	992.649	0	0
XM_026478215.3	1955	1834.65	6.13317	1.6789
XM_026478216.3	3721	3600.65	62.471	8.71345
XM_026478217.3	1659	1538.65	0.0690884	0.0225506
XM_026478218.3	4039	3918.65	0	0
XM_026478219.3	6333	6212.65	75	6.06286
XM_026478220.3	4558	4437.65	1	0.113172
XM_026478221.1	1824	1703.65	0	0
XM_026478223.3	7229	7108.65	40	2.82596
XM_026478225.3	4249	4128.65	23.2886	2.83288
XM_026478230.1	882	761.649	0	0
XM_026478231.3	2913	2792.65	0	0
XM_026478232.3	4392	4271.65	82	9.64075
XM_026478237.3	4071	3950.65	39.365	5.0042
XM_026478240.3	2392	2271.65	0	0
XM_026478241.3	4790	4669.65	2.61115	0.280828
XM_026478243.3	7888	7767.65	7.22455	0.467104
XM_026478244.3	2279	2158.65	4.91334	1.14311
XM_026478256.3	15206	15085.6	2.38434e-07	7.93775e-09
XM_026478257.3	2506	2385.65	0	0
XM_026478258.3	2525	2404.65	0	0
XM_026478259.3	6504	6383.65	90.185	7.0951
XM_026478260.3	2509	2388.65	0	0
XM_026478261.3	2458	2337.65	0	0
XM_026478262.3	3255	3134.65	0	0
XM_026478263.3	2242	2121.65	18	4.26081
XM_026478265.3	5688	5567.65	4.95643	0.447085
XM_026478267.3	6675	6554.65	0	0
XM_026478270.3	1033	912.649	27	14.8577
XM_026478271.3	1861	1740.65	23.2605	6.7112
XM_026478272.3	4162	4041.65	38.8678	4.82974
XM_026478273.3	930	809.649	144	89.322
XM_026478274.3	1809	1688.65	2	0.594817
XM_026478276.3	5005	4884.65	0	0
XM_026478278.3	5047	4926.65	0	0
XM_026478279.3	5035	4914.65	0	0
XM_026478280.3	4894	4773.65	4.15902	0.437555
XM_026478282.3	8406	8285.65	3.14418e-08	1.90578e-09
XM_026478283.3	8394	8273.65	0	0
XM_026478284.3	8294	8173.65	36.1724	2.22256
XM_026478285.3	8279	8158.65	0	0
XM_026478290.3	4690	4569.65	20	2.19806
XM_026478291.3	7074	6953.65	50.95	3.6798
XM_026478292.3	6933	6812.65	10.05	0.740868
XM_026478293.3	6961	6840.65	0	0
XM_026478295.3	6712	6591.65	0	0
XM_026478296.3	9714	9593.65	0	0
XM_026478297.3	4637	4516.65	1.63989e-07	1.82344e-08
XM_026478298.3	4580	4459.65	46.8087	5.27131
XM_026478299.3	9699	9578.65	0	0
XM_026478300.3	4622	4501.65	0	0
XM_026478303.3	9076	8955.65	1.0506	0.058916
XM_026478308.3	9177	9056.65	7	0.388171
XM_026478309.3	1777	1656.65	14	4.24414
XM_026478311.3	1579	1458.65	15.1943	5.23144
XM_026478312.3	2647	2526.65	4	0.795074
XM_026478313.3	513	392.649	0	0
XM_026478317.3	5855	5734.65	41.9311	3.67217
XM_026478318.3	3547	3426.65	39	5.71594
XM_026478320.3	8741	8620.65	0	0
XM_026478321.3	3804	3683.65	398	54.2622
XM_026478322.3	2471	2350.65	0	0
XM_026478323.3	2809	2688.65	0	0
XM_026478326.3	5940	5819.65	5.58572	0.482031
XM_026478327.3	2519	2398.65	0	0
XM_026478328.3	9165	9044.65	0	0
XM_026478329.3	6861	6740.65	0	0
XM_026478331.3	1885	1764.65	12	3.4152
XM_026478335.3	2818	2697.65	12	2.23403
XM_026478337.3	3820	3699.65	0	0
XM_026478339.3	11121	11000.6	0	0
XM_026478340.3	11278	11157.6	17.0576	0.767784
XM_026478341.3	6045	5924.65	0	0
XM_026478347.3	3434	3313.65	0	0
XM_026478348.3	907	786.649	67	42.7746
XM_026478350.3	3299	3178.65	0	0
XM_026478352.3	1414	1293.65	0	0
XM_026478353.3	1391	1270.65	12	4.74295
XM_026478355.3	1613	1492.65	24.6757	8.3024
XM_026478356.3	1219	1098.65	37.3243	17.0618
XM_026478358.3	1976	1855.65	16.7596	4.53586
XM_026478361.3	335	214.898	0	0
XM_026478362.3	1440	1319.65	3862	1469.76
XM_026478365.3	1806	1685.65	0	0
XM_026478366.3	2953	2832.65	3	0.531889
XM_026478368.3	1990	1869.65	10.5515	2.8343
XM_026478371.3	2783	2662.65	22.1173	4.17169
XM_026478372.3	2782	2661.65	66.8827	12.6199
XM_026478373.3	3090	2969.65	0	0
XM_026478374.3	2298	2177.65	0	0
XM_026478375.3	2175	2054.65	0	0
XM_026478376.3	1983	1862.65	0	0
XM_026478377.2	1899	1778.65	0	0
XM_026478378.2	1782	1661.65	0	0
XM_026478379.3	1764	1643.65	0	0
XM_026478380.3	605	484.649	36	37.305
XM_026478382.3	1944	1823.65	44.5451	12.2674
XM_026478383.3	1914	1793.65	0	0
XM_026478386.3	2059	1938.65	31	8.03073
XM_026478387.3	5606	5485.65	0	0
XM_026478388.3	5437	5316.65	0	0
XM_026478389.3	4186	4065.65	11	1.3588
XM_026478391.3	7161	7040.65	237	16.9055
